Epoch 00 	 train_loss 0.135 	 val_acc 0.176 	 macro_f1 0.313 	 micro_f1 0.410 	 weighted_f1 0.366
Epoch 01 	 train_loss 0.105 	 val_acc 0.200 	 macro_f1 0.372 	 micro_f1 0.452 	 weighted_f1 0.415
Epoch 02 	 train_loss 0.102 	 val_acc 0.208 	 macro_f1 0.391 	 micro_f1 0.463 	 weighted_f1 0.428
Epoch 03 	 train_loss 0.101 	 val_acc 0.213 	 macro_f1 0.401 	 micro_f1 0.471 	 weighted_f1 0.438
Epoch 04 	 train_loss 0.101 	 val_acc 0.216 	 macro_f1 0.408 	 micro_f1 0.475 	 weighted_f1 0.442
Epoch 05 	 train_loss 0.100 	 val_acc 0.217 	 macro_f1 0.409 	 micro_f1 0.476 	 weighted_f1 0.444
Epoch 06 	 train_loss 0.100 	 val_acc 0.218 	 macro_f1 0.411 	 micro_f1 0.476 	 weighted_f1 0.444
Epoch 07 	 train_loss 0.100 	 val_acc 0.219 	 macro_f1 0.416 	 micro_f1 0.481 	 weighted_f1 0.449
Epoch 08 	 train_loss 0.099 	 val_acc 0.220 	 macro_f1 0.418 	 micro_f1 0.481 	 weighted_f1 0.450
Epoch 09 	 train_loss 0.099 	 val_acc 0.220 	 macro_f1 0.419 	 micro_f1 0.481 	 weighted_f1 0.450
Epoch 10 	 train_loss 0.099 	 val_acc 0.221 	 macro_f1 0.423 	 micro_f1 0.484 	 weighted_f1 0.455
Epoch 11 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.424 	 micro_f1 0.487 	 weighted_f1 0.457
Epoch 12 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.425 	 micro_f1 0.486 	 weighted_f1 0.456
Epoch 13 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.425 	 micro_f1 0.487 	 weighted_f1 0.456
Epoch 14 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.428 	 micro_f1 0.490 	 weighted_f1 0.461
Epoch 15 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.427 	 micro_f1 0.489 	 weighted_f1 0.458
Epoch 16 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.427 	 micro_f1 0.488 	 weighted_f1 0.458
Epoch 17 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.425 	 micro_f1 0.487 	 weighted_f1 0.455
Epoch 18 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.428 	 micro_f1 0.491 	 weighted_f1 0.459
Epoch 19 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.428 	 micro_f1 0.489 	 weighted_f1 0.459
Epoch 20 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.427 	 micro_f1 0.487 	 weighted_f1 0.456
Epoch 21 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.427 	 micro_f1 0.488 	 weighted_f1 0.457
Epoch 22 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.427 	 micro_f1 0.490 	 weighted_f1 0.460
Epoch 23 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.431 	 micro_f1 0.490 	 weighted_f1 0.460
Epoch 24 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.430 	 micro_f1 0.490 	 weighted_f1 0.460
Epoch 25 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.432 	 micro_f1 0.489 	 weighted_f1 0.460
Epoch 26 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.461
Epoch 27 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.429 	 micro_f1 0.491 	 weighted_f1 0.460
