Epoch 00 	 train_loss 0.129 	 val_acc 0.173 	 macro_f1 0.305 	 micro_f1 0.398 	 weighted_f1 0.356
Epoch 01 	 train_loss 0.095 	 val_acc 0.195 	 macro_f1 0.357 	 micro_f1 0.436 	 weighted_f1 0.399
Epoch 02 	 train_loss 0.093 	 val_acc 0.203 	 macro_f1 0.374 	 micro_f1 0.448 	 weighted_f1 0.413
Epoch 03 	 train_loss 0.091 	 val_acc 0.208 	 macro_f1 0.382 	 micro_f1 0.455 	 weighted_f1 0.420
Epoch 04 	 train_loss 0.091 	 val_acc 0.210 	 macro_f1 0.388 	 micro_f1 0.459 	 weighted_f1 0.424
Epoch 05 	 train_loss 0.090 	 val_acc 0.211 	 macro_f1 0.391 	 micro_f1 0.459 	 weighted_f1 0.426
Epoch 06 	 train_loss 0.090 	 val_acc 0.213 	 macro_f1 0.394 	 micro_f1 0.463 	 weighted_f1 0.430
Epoch 07 	 train_loss 0.089 	 val_acc 0.214 	 macro_f1 0.398 	 micro_f1 0.465 	 weighted_f1 0.432
Epoch 08 	 train_loss 0.089 	 val_acc 0.217 	 macro_f1 0.400 	 micro_f1 0.467 	 weighted_f1 0.433
Epoch 09 	 train_loss 0.089 	 val_acc 0.215 	 macro_f1 0.399 	 micro_f1 0.467 	 weighted_f1 0.433
Epoch 10 	 train_loss 0.089 	 val_acc 0.219 	 macro_f1 0.403 	 micro_f1 0.471 	 weighted_f1 0.437
Epoch 11 	 train_loss 0.089 	 val_acc 0.219 	 macro_f1 0.407 	 micro_f1 0.473 	 weighted_f1 0.440
Epoch 12 	 train_loss 0.089 	 val_acc 0.220 	 macro_f1 0.404 	 micro_f1 0.473 	 weighted_f1 0.439
Epoch 13 	 train_loss 0.089 	 val_acc 0.219 	 macro_f1 0.404 	 micro_f1 0.470 	 weighted_f1 0.438
Epoch 14 	 train_loss 0.088 	 val_acc 0.219 	 macro_f1 0.406 	 micro_f1 0.473 	 weighted_f1 0.440
Epoch 15 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.409 	 micro_f1 0.473 	 weighted_f1 0.441
Epoch 16 	 train_loss 0.088 	 val_acc 0.219 	 macro_f1 0.408 	 micro_f1 0.472 	 weighted_f1 0.440
Epoch 17 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.410 	 micro_f1 0.473 	 weighted_f1 0.441
Epoch 18 	 train_loss 0.088 	 val_acc 0.220 	 macro_f1 0.411 	 micro_f1 0.473 	 weighted_f1 0.442
Epoch 19 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.408 	 micro_f1 0.474 	 weighted_f1 0.442
Epoch 20 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.412 	 micro_f1 0.475 	 weighted_f1 0.444
Epoch 21 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.410 	 micro_f1 0.473 	 weighted_f1 0.442
Epoch 22 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.412 	 micro_f1 0.474 	 weighted_f1 0.442
Epoch 23 	 train_loss 0.088 	 val_acc 0.220 	 macro_f1 0.410 	 micro_f1 0.473 	 weighted_f1 0.442
Epoch 24 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.409 	 micro_f1 0.473 	 weighted_f1 0.440
Epoch 25 	 train_loss 0.088 	 val_acc 0.223 	 macro_f1 0.411 	 micro_f1 0.476 	 weighted_f1 0.444
Epoch 26 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.410 	 micro_f1 0.476 	 weighted_f1 0.443
Epoch 27 	 train_loss 0.088 	 val_acc 0.222 	 macro_f1 0.412 	 micro_f1 0.473 	 weighted_f1 0.442
Epoch 28 	 train_loss 0.088 	 val_acc 0.222 	 macro_f1 0.414 	 micro_f1 0.477 	 weighted_f1 0.445
Epoch 29 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.410 	 micro_f1 0.471 	 weighted_f1 0.440
Epoch 30 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.414 	 micro_f1 0.476 	 weighted_f1 0.445
Epoch 31 	 train_loss 0.088 	 val_acc 0.222 	 macro_f1 0.412 	 micro_f1 0.477 	 weighted_f1 0.445
Epoch 32 	 train_loss 0.088 	 val_acc 0.222 	 macro_f1 0.413 	 micro_f1 0.474 	 weighted_f1 0.443
Epoch 33 	 train_loss 0.088 	 val_acc 0.222 	 macro_f1 0.407 	 micro_f1 0.474 	 weighted_f1 0.440
Epoch 34 	 train_loss 0.088 	 val_acc 0.223 	 macro_f1 0.409 	 micro_f1 0.474 	 weighted_f1 0.440
Epoch 35 	 train_loss 0.088 	 val_acc 0.221 	 macro_f1 0.411 	 micro_f1 0.470 	 weighted_f1 0.441
====== BEST EPOCH 25 ======

Epoch 25 	 train_loss 0.088 	 val_acc 0.223 	 macro_f1 0.411 	 micro_f1 0.476 	 weighted_f1 0.444
