Epoch 00 	 train_loss 0.136 	 val_acc 0.177 	 macro_f1 0.315 	 micro_f1 0.411 	 weighted_f1 0.367
Epoch 01 	 train_loss 0.105 	 val_acc 0.201 	 macro_f1 0.374 	 micro_f1 0.453 	 weighted_f1 0.416
Epoch 02 	 train_loss 0.102 	 val_acc 0.207 	 macro_f1 0.391 	 micro_f1 0.463 	 weighted_f1 0.428
Epoch 03 	 train_loss 0.101 	 val_acc 0.212 	 macro_f1 0.399 	 micro_f1 0.470 	 weighted_f1 0.436
Epoch 04 	 train_loss 0.101 	 val_acc 0.214 	 macro_f1 0.408 	 micro_f1 0.475 	 weighted_f1 0.442
Epoch 05 	 train_loss 0.100 	 val_acc 0.216 	 macro_f1 0.411 	 micro_f1 0.477 	 weighted_f1 0.445
Epoch 06 	 train_loss 0.100 	 val_acc 0.217 	 macro_f1 0.414 	 micro_f1 0.479 	 weighted_f1 0.448
Epoch 07 	 train_loss 0.100 	 val_acc 0.220 	 macro_f1 0.417 	 micro_f1 0.482 	 weighted_f1 0.449
Epoch 08 	 train_loss 0.099 	 val_acc 0.220 	 macro_f1 0.419 	 micro_f1 0.483 	 weighted_f1 0.450
Epoch 09 	 train_loss 0.099 	 val_acc 0.220 	 macro_f1 0.419 	 micro_f1 0.482 	 weighted_f1 0.450
Epoch 10 	 train_loss 0.099 	 val_acc 0.221 	 macro_f1 0.421 	 micro_f1 0.483 	 weighted_f1 0.451
Epoch 11 	 train_loss 0.099 	 val_acc 0.222 	 macro_f1 0.422 	 micro_f1 0.484 	 weighted_f1 0.453
Epoch 12 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.423 	 micro_f1 0.485 	 weighted_f1 0.454
Epoch 13 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.423 	 micro_f1 0.484 	 weighted_f1 0.454
Epoch 14 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.423 	 micro_f1 0.484 	 weighted_f1 0.453
Epoch 15 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.425 	 micro_f1 0.486 	 weighted_f1 0.455
Epoch 16 	 train_loss 0.099 	 val_acc 0.223 	 macro_f1 0.427 	 micro_f1 0.485 	 weighted_f1 0.455
Epoch 17 	 train_loss 0.099 	 val_acc 0.224 	 macro_f1 0.424 	 micro_f1 0.486 	 weighted_f1 0.455
Epoch 18 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.424 	 micro_f1 0.486 	 weighted_f1 0.455
Epoch 19 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.425 	 micro_f1 0.487 	 weighted_f1 0.456
Epoch 20 	 train_loss 0.099 	 val_acc 0.226 	 macro_f1 0.427 	 micro_f1 0.488 	 weighted_f1 0.457
Epoch 21 	 train_loss 0.099 	 val_acc 0.225 	 macro_f1 0.428 	 micro_f1 0.487 	 weighted_f1 0.458
Epoch 22 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.431 	 micro_f1 0.492 	 weighted_f1 0.461
Epoch 23 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.429 	 micro_f1 0.491 	 weighted_f1 0.460
Epoch 24 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.432 	 micro_f1 0.490 	 weighted_f1 0.461
Epoch 25 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.431 	 micro_f1 0.490 	 weighted_f1 0.460
Epoch 26 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.432 	 micro_f1 0.493 	 weighted_f1 0.463
Epoch 27 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.428 	 micro_f1 0.488 	 weighted_f1 0.457
Epoch 28 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.428 	 micro_f1 0.488 	 weighted_f1 0.459
Epoch 29 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.432 	 micro_f1 0.492 	 weighted_f1 0.461
Epoch 30 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.460
Epoch 31 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.429 	 micro_f1 0.491 	 weighted_f1 0.459
Epoch 32 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.432 	 micro_f1 0.489 	 weighted_f1 0.460
Epoch 33 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.432 	 micro_f1 0.491 	 weighted_f1 0.462
Epoch 34 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.433 	 micro_f1 0.495 	 weighted_f1 0.463
Epoch 35 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.460
Epoch 36 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.460
Epoch 37 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.459
Epoch 38 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.431 	 micro_f1 0.493 	 weighted_f1 0.461
Epoch 39 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.431 	 micro_f1 0.489 	 weighted_f1 0.459
Epoch 40 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.427 	 micro_f1 0.489 	 weighted_f1 0.457
Epoch 41 	 train_loss 0.098 	 val_acc 0.225 	 macro_f1 0.433 	 micro_f1 0.491 	 weighted_f1 0.462
Epoch 42 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.430 	 micro_f1 0.487 	 weighted_f1 0.457
Epoch 43 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.432 	 micro_f1 0.492 	 weighted_f1 0.461
Epoch 44 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.428 	 micro_f1 0.488 	 weighted_f1 0.458
Epoch 45 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.435 	 micro_f1 0.493 	 weighted_f1 0.464
Epoch 46 	 train_loss 0.098 	 val_acc 0.226 	 macro_f1 0.433 	 micro_f1 0.492 	 weighted_f1 0.463
====== BEST EPOCH 36 ======

Epoch 36 	 train_loss 0.098 	 val_acc 0.227 	 macro_f1 0.431 	 micro_f1 0.491 	 weighted_f1 0.460
