Epoch 00 	 train_loss 0.119 	 val_acc 0.269 	 macro_f1 0.498 	 micro_f1 0.546 	 weighted_f1 0.521
Epoch 01 	 train_loss 0.090 	 val_acc 0.293 	 macro_f1 0.543 	 micro_f1 0.579 	 weighted_f1 0.558
Epoch 02 	 train_loss 0.087 	 val_acc 0.303 	 macro_f1 0.559 	 micro_f1 0.591 	 weighted_f1 0.572
Epoch 03 	 train_loss 0.086 	 val_acc 0.309 	 macro_f1 0.568 	 micro_f1 0.598 	 weighted_f1 0.578
Epoch 04 	 train_loss 0.086 	 val_acc 0.313 	 macro_f1 0.574 	 micro_f1 0.601 	 weighted_f1 0.582
Epoch 05 	 train_loss 0.085 	 val_acc 0.315 	 macro_f1 0.579 	 micro_f1 0.605 	 weighted_f1 0.587
Epoch 06 	 train_loss 0.085 	 val_acc 0.317 	 macro_f1 0.581 	 micro_f1 0.606 	 weighted_f1 0.589
Epoch 07 	 train_loss 0.085 	 val_acc 0.318 	 macro_f1 0.581 	 micro_f1 0.607 	 weighted_f1 0.588
Epoch 08 	 train_loss 0.085 	 val_acc 0.319 	 macro_f1 0.584 	 micro_f1 0.608 	 weighted_f1 0.591
Epoch 09 	 train_loss 0.084 	 val_acc 0.320 	 macro_f1 0.587 	 micro_f1 0.612 	 weighted_f1 0.595
Epoch 10 	 train_loss 0.084 	 val_acc 0.321 	 macro_f1 0.588 	 micro_f1 0.612 	 weighted_f1 0.594
Epoch 11 	 train_loss 0.084 	 val_acc 0.322 	 macro_f1 0.589 	 micro_f1 0.614 	 weighted_f1 0.596
Epoch 12 	 train_loss 0.084 	 val_acc 0.323 	 macro_f1 0.590 	 micro_f1 0.614 	 weighted_f1 0.597
Epoch 13 	 train_loss 0.084 	 val_acc 0.322 	 macro_f1 0.590 	 micro_f1 0.613 	 weighted_f1 0.595
Epoch 14 	 train_loss 0.084 	 val_acc 0.323 	 macro_f1 0.590 	 micro_f1 0.614 	 weighted_f1 0.596
Epoch 15 	 train_loss 0.084 	 val_acc 0.323 	 macro_f1 0.593 	 micro_f1 0.617 	 weighted_f1 0.600
Epoch 16 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.592 	 micro_f1 0.616 	 weighted_f1 0.599
Epoch 17 	 train_loss 0.084 	 val_acc 0.324 	 macro_f1 0.593 	 micro_f1 0.615 	 weighted_f1 0.598
Epoch 18 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.595 	 micro_f1 0.617 	 weighted_f1 0.601
Epoch 19 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.593 	 micro_f1 0.616 	 weighted_f1 0.598
Epoch 20 	 train_loss 0.084 	 val_acc 0.326 	 macro_f1 0.594 	 micro_f1 0.617 	 weighted_f1 0.601
Epoch 21 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.594 	 micro_f1 0.616 	 weighted_f1 0.599
Epoch 22 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.594 	 micro_f1 0.616 	 weighted_f1 0.599
Epoch 23 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.595 	 micro_f1 0.618 	 weighted_f1 0.600
Epoch 24 	 train_loss 0.084 	 val_acc 0.326 	 macro_f1 0.596 	 micro_f1 0.617 	 weighted_f1 0.601
Epoch 25 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.595 	 micro_f1 0.618 	 weighted_f1 0.600
Epoch 26 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.594 	 micro_f1 0.617 	 weighted_f1 0.599
Epoch 27 	 train_loss 0.084 	 val_acc 0.326 	 macro_f1 0.592 	 micro_f1 0.616 	 weighted_f1 0.598
Epoch 28 	 train_loss 0.083 	 val_acc 0.325 	 macro_f1 0.595 	 micro_f1 0.618 	 weighted_f1 0.601
Epoch 29 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.593 	 micro_f1 0.616 	 weighted_f1 0.599
Epoch 30 	 train_loss 0.084 	 val_acc 0.326 	 macro_f1 0.600 	 micro_f1 0.620 	 weighted_f1 0.604
Epoch 31 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.595 	 micro_f1 0.617 	 weighted_f1 0.599
Epoch 32 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.598 	 micro_f1 0.620 	 weighted_f1 0.604
Epoch 33 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.594 	 micro_f1 0.615 	 weighted_f1 0.598
Epoch 34 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.597 	 micro_f1 0.618 	 weighted_f1 0.602
Epoch 35 	 train_loss 0.084 	 val_acc 0.325 	 macro_f1 0.596 	 micro_f1 0.619 	 weighted_f1 0.602
Epoch 36 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.596 	 micro_f1 0.618 	 weighted_f1 0.601
Epoch 37 	 train_loss 0.083 	 val_acc 0.327 	 macro_f1 0.596 	 micro_f1 0.618 	 weighted_f1 0.601
Epoch 38 	 train_loss 0.083 	 val_acc 0.326 	 macro_f1 0.596 	 micro_f1 0.617 	 weighted_f1 0.599
Epoch 39 	 train_loss 0.083 	 val_acc 0.326 	 macro_f1 0.596 	 micro_f1 0.619 	 weighted_f1 0.602
====== BEST EPOCH 29 ======

Epoch 29 	 train_loss 0.084 	 val_acc 0.327 	 macro_f1 0.593 	 micro_f1 0.616 	 weighted_f1 0.599
