Epoch 00 	 train_loss 0.108 	 val_acc 0.268 	 macro_f1 0.487 	 micro_f1 0.536 	 weighted_f1 0.511
Epoch 01 	 train_loss 0.078 	 val_acc 0.292 	 macro_f1 0.531 	 micro_f1 0.569 	 weighted_f1 0.547
Epoch 02 	 train_loss 0.075 	 val_acc 0.302 	 macro_f1 0.546 	 micro_f1 0.581 	 weighted_f1 0.560
Epoch 03 	 train_loss 0.074 	 val_acc 0.308 	 macro_f1 0.554 	 micro_f1 0.588 	 weighted_f1 0.567
Epoch 04 	 train_loss 0.073 	 val_acc 0.311 	 macro_f1 0.562 	 micro_f1 0.593 	 weighted_f1 0.573
Epoch 05 	 train_loss 0.073 	 val_acc 0.314 	 macro_f1 0.564 	 micro_f1 0.593 	 weighted_f1 0.573
Epoch 06 	 train_loss 0.072 	 val_acc 0.316 	 macro_f1 0.569 	 micro_f1 0.597 	 weighted_f1 0.578
Epoch 07 	 train_loss 0.072 	 val_acc 0.319 	 macro_f1 0.572 	 micro_f1 0.601 	 weighted_f1 0.581
Epoch 08 	 train_loss 0.072 	 val_acc 0.319 	 macro_f1 0.572 	 micro_f1 0.602 	 weighted_f1 0.582
Epoch 09 	 train_loss 0.071 	 val_acc 0.321 	 macro_f1 0.578 	 micro_f1 0.604 	 weighted_f1 0.585
Epoch 10 	 train_loss 0.071 	 val_acc 0.321 	 macro_f1 0.575 	 micro_f1 0.602 	 weighted_f1 0.583
Epoch 11 	 train_loss 0.071 	 val_acc 0.321 	 macro_f1 0.576 	 micro_f1 0.604 	 weighted_f1 0.584
Epoch 12 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.581 	 micro_f1 0.607 	 weighted_f1 0.587
Epoch 13 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.579 	 micro_f1 0.606 	 weighted_f1 0.587
Epoch 14 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.581 	 micro_f1 0.606 	 weighted_f1 0.587
Epoch 15 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.578 	 micro_f1 0.605 	 weighted_f1 0.585
Epoch 16 	 train_loss 0.071 	 val_acc 0.325 	 macro_f1 0.585 	 micro_f1 0.610 	 weighted_f1 0.592
Epoch 17 	 train_loss 0.071 	 val_acc 0.324 	 macro_f1 0.580 	 micro_f1 0.607 	 weighted_f1 0.588
Epoch 18 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.579 	 micro_f1 0.607 	 weighted_f1 0.587
Epoch 19 	 train_loss 0.071 	 val_acc 0.324 	 macro_f1 0.582 	 micro_f1 0.608 	 weighted_f1 0.589
Epoch 20 	 train_loss 0.071 	 val_acc 0.323 	 macro_f1 0.578 	 micro_f1 0.605 	 weighted_f1 0.586
