Epoch 00 	 train_loss 0.132 	 val_acc 0.202 	 macro_f1 0.406 	 micro_f1 0.465 	 weighted_f1 0.439
Epoch 01 	 train_loss 0.105 	 val_acc 0.207 	 macro_f1 0.414 	 micro_f1 0.473 	 weighted_f1 0.447
Epoch 02 	 train_loss 0.103 	 val_acc 0.212 	 macro_f1 0.424 	 micro_f1 0.482 	 weighted_f1 0.454
Epoch 03 	 train_loss 0.103 	 val_acc 0.210 	 macro_f1 0.422 	 micro_f1 0.478 	 weighted_f1 0.453
Epoch 04 	 train_loss 0.103 	 val_acc 0.214 	 macro_f1 0.428 	 micro_f1 0.484 	 weighted_f1 0.458
Epoch 05 	 train_loss 0.103 	 val_acc 0.215 	 macro_f1 0.431 	 micro_f1 0.484 	 weighted_f1 0.457
Epoch 06 	 train_loss 0.102 	 val_acc 0.217 	 macro_f1 0.430 	 micro_f1 0.484 	 weighted_f1 0.458
Epoch 07 	 train_loss 0.102 	 val_acc 0.211 	 macro_f1 0.422 	 micro_f1 0.479 	 weighted_f1 0.450
Epoch 08 	 train_loss 0.102 	 val_acc 0.214 	 macro_f1 0.428 	 micro_f1 0.485 	 weighted_f1 0.457
Epoch 09 	 train_loss 0.102 	 val_acc 0.216 	 macro_f1 0.427 	 micro_f1 0.485 	 weighted_f1 0.460
Epoch 10 	 train_loss 0.102 	 val_acc 0.217 	 macro_f1 0.431 	 micro_f1 0.485 	 weighted_f1 0.460
Epoch 11 	 train_loss 0.102 	 val_acc 0.213 	 macro_f1 0.438 	 micro_f1 0.490 	 weighted_f1 0.465
Epoch 12 	 train_loss 0.102 	 val_acc 0.214 	 macro_f1 0.431 	 micro_f1 0.485 	 weighted_f1 0.461
Epoch 13 	 train_loss 0.102 	 val_acc 0.216 	 macro_f1 0.425 	 micro_f1 0.481 	 weighted_f1 0.455
Epoch 14 	 train_loss 0.102 	 val_acc 0.218 	 macro_f1 0.431 	 micro_f1 0.487 	 weighted_f1 0.460
Epoch 15 	 train_loss 0.102 	 val_acc 0.215 	 macro_f1 0.427 	 micro_f1 0.482 	 weighted_f1 0.454
Epoch 16 	 train_loss 0.102 	 val_acc 0.221 	 macro_f1 0.430 	 micro_f1 0.489 	 weighted_f1 0.460
Epoch 17 	 train_loss 0.102 	 val_acc 0.218 	 macro_f1 0.433 	 micro_f1 0.489 	 weighted_f1 0.460
Epoch 18 	 train_loss 0.101 	 val_acc 0.216 	 macro_f1 0.432 	 micro_f1 0.485 	 weighted_f1 0.460
Epoch 19 	 train_loss 0.101 	 val_acc 0.218 	 macro_f1 0.433 	 micro_f1 0.489 	 weighted_f1 0.462
Epoch 20 	 train_loss 0.101 	 val_acc 0.220 	 macro_f1 0.436 	 micro_f1 0.494 	 weighted_f1 0.467
Epoch 21 	 train_loss 0.101 	 val_acc 0.218 	 macro_f1 0.438 	 micro_f1 0.492 	 weighted_f1 0.469
Epoch 22 	 train_loss 0.101 	 val_acc 0.218 	 macro_f1 0.429 	 micro_f1 0.484 	 weighted_f1 0.457
Epoch 23 	 train_loss 0.101 	 val_acc 0.214 	 macro_f1 0.429 	 micro_f1 0.486 	 weighted_f1 0.456
Epoch 24 	 train_loss 0.101 	 val_acc 0.219 	 macro_f1 0.426 	 micro_f1 0.487 	 weighted_f1 0.457
Epoch 25 	 train_loss 0.101 	 val_acc 0.216 	 macro_f1 0.433 	 micro_f1 0.485 	 weighted_f1 0.458
Epoch 26 	 train_loss 0.101 	 val_acc 0.210 	 macro_f1 0.422 	 micro_f1 0.474 	 weighted_f1 0.445
====== BEST EPOCH 16 ======

Epoch 16 	 train_loss 0.102 	 val_acc 0.221 	 macro_f1 0.430 	 micro_f1 0.489 	 weighted_f1 0.460
