Epoch 00 	 train_loss 0.124 	 val_acc 0.199 	 macro_f1 0.394 	 micro_f1 0.459 	 weighted_f1 0.430
Epoch 01 	 train_loss 0.096 	 val_acc 0.206 	 macro_f1 0.407 	 micro_f1 0.467 	 weighted_f1 0.439
Epoch 02 	 train_loss 0.094 	 val_acc 0.207 	 macro_f1 0.401 	 micro_f1 0.464 	 weighted_f1 0.435
Epoch 03 	 train_loss 0.093 	 val_acc 0.209 	 macro_f1 0.405 	 micro_f1 0.466 	 weighted_f1 0.436
Epoch 04 	 train_loss 0.093 	 val_acc 0.209 	 macro_f1 0.407 	 micro_f1 0.463 	 weighted_f1 0.437
Epoch 05 	 train_loss 0.093 	 val_acc 0.211 	 macro_f1 0.405 	 micro_f1 0.465 	 weighted_f1 0.433
Epoch 06 	 train_loss 0.093 	 val_acc 0.212 	 macro_f1 0.411 	 micro_f1 0.472 	 weighted_f1 0.442
Epoch 07 	 train_loss 0.093 	 val_acc 0.211 	 macro_f1 0.409 	 micro_f1 0.469 	 weighted_f1 0.439
Epoch 08 	 train_loss 0.093 	 val_acc 0.214 	 macro_f1 0.416 	 micro_f1 0.475 	 weighted_f1 0.448
Epoch 09 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.410 	 micro_f1 0.467 	 weighted_f1 0.436
Epoch 10 	 train_loss 0.092 	 val_acc 0.214 	 macro_f1 0.412 	 micro_f1 0.471 	 weighted_f1 0.442
Epoch 11 	 train_loss 0.092 	 val_acc 0.208 	 macro_f1 0.410 	 micro_f1 0.466 	 weighted_f1 0.438
Epoch 12 	 train_loss 0.092 	 val_acc 0.214 	 macro_f1 0.409 	 micro_f1 0.473 	 weighted_f1 0.444
Epoch 13 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.412 	 micro_f1 0.468 	 weighted_f1 0.442
Epoch 14 	 train_loss 0.092 	 val_acc 0.215 	 macro_f1 0.414 	 micro_f1 0.474 	 weighted_f1 0.445
Epoch 15 	 train_loss 0.092 	 val_acc 0.209 	 macro_f1 0.402 	 micro_f1 0.461 	 weighted_f1 0.429
Epoch 16 	 train_loss 0.092 	 val_acc 0.215 	 macro_f1 0.415 	 micro_f1 0.473 	 weighted_f1 0.444
Epoch 17 	 train_loss 0.092 	 val_acc 0.214 	 macro_f1 0.414 	 micro_f1 0.469 	 weighted_f1 0.442
Epoch 18 	 train_loss 0.092 	 val_acc 0.216 	 macro_f1 0.414 	 micro_f1 0.474 	 weighted_f1 0.443
Epoch 19 	 train_loss 0.091 	 val_acc 0.214 	 macro_f1 0.409 	 micro_f1 0.471 	 weighted_f1 0.439
Epoch 20 	 train_loss 0.091 	 val_acc 0.217 	 macro_f1 0.419 	 micro_f1 0.477 	 weighted_f1 0.448
Epoch 21 	 train_loss 0.091 	 val_acc 0.213 	 macro_f1 0.408 	 micro_f1 0.469 	 weighted_f1 0.436
Epoch 22 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.414 	 micro_f1 0.472 	 weighted_f1 0.441
Epoch 23 	 train_loss 0.091 	 val_acc 0.212 	 macro_f1 0.408 	 micro_f1 0.469 	 weighted_f1 0.437
Epoch 24 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.418 	 micro_f1 0.474 	 weighted_f1 0.447
Epoch 25 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.411 	 micro_f1 0.472 	 weighted_f1 0.443
Epoch 26 	 train_loss 0.091 	 val_acc 0.209 	 macro_f1 0.409 	 micro_f1 0.472 	 weighted_f1 0.439
Epoch 27 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.416 	 micro_f1 0.472 	 weighted_f1 0.445
Epoch 28 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.416 	 micro_f1 0.475 	 weighted_f1 0.444
Epoch 29 	 train_loss 0.091 	 val_acc 0.210 	 macro_f1 0.405 	 micro_f1 0.463 	 weighted_f1 0.431
Epoch 30 	 train_loss 0.091 	 val_acc 0.219 	 macro_f1 0.420 	 micro_f1 0.476 	 weighted_f1 0.447
Epoch 31 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.414 	 micro_f1 0.478 	 weighted_f1 0.445
Epoch 32 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.413 	 micro_f1 0.468 	 weighted_f1 0.439
Epoch 33 	 train_loss 0.091 	 val_acc 0.214 	 macro_f1 0.410 	 micro_f1 0.469 	 weighted_f1 0.439
Epoch 34 	 train_loss 0.091 	 val_acc 0.213 	 macro_f1 0.418 	 micro_f1 0.474 	 weighted_f1 0.444
Epoch 35 	 train_loss 0.091 	 val_acc 0.213 	 macro_f1 0.404 	 micro_f1 0.466 	 weighted_f1 0.434
Epoch 36 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.414 	 micro_f1 0.475 	 weighted_f1 0.443
Epoch 37 	 train_loss 0.091 	 val_acc 0.218 	 macro_f1 0.415 	 micro_f1 0.478 	 weighted_f1 0.447
Epoch 38 	 train_loss 0.091 	 val_acc 0.214 	 macro_f1 0.412 	 micro_f1 0.467 	 weighted_f1 0.441
Epoch 39 	 train_loss 0.090 	 val_acc 0.215 	 macro_f1 0.405 	 micro_f1 0.468 	 weighted_f1 0.437
Epoch 40 	 train_loss 0.090 	 val_acc 0.217 	 macro_f1 0.421 	 micro_f1 0.480 	 weighted_f1 0.451
====== BEST EPOCH 30 ======

Epoch 30 	 train_loss 0.091 	 val_acc 0.219 	 macro_f1 0.420 	 micro_f1 0.476 	 weighted_f1 0.447
