Epoch 00 	 train_loss 0.143 	 val_acc 0.171 	 macro_f1 0.346 	 micro_f1 0.421 	 weighted_f1 0.387
Epoch 01 	 train_loss 0.110 	 val_acc 0.182 	 macro_f1 0.361 	 micro_f1 0.434 	 weighted_f1 0.401
Epoch 02 	 train_loss 0.108 	 val_acc 0.183 	 macro_f1 0.364 	 micro_f1 0.437 	 weighted_f1 0.402
Epoch 03 	 train_loss 0.108 	 val_acc 0.184 	 macro_f1 0.363 	 micro_f1 0.439 	 weighted_f1 0.404
Epoch 04 	 train_loss 0.107 	 val_acc 0.188 	 macro_f1 0.370 	 micro_f1 0.442 	 weighted_f1 0.409
Epoch 05 	 train_loss 0.107 	 val_acc 0.184 	 macro_f1 0.372 	 micro_f1 0.438 	 weighted_f1 0.406
Epoch 06 	 train_loss 0.107 	 val_acc 0.184 	 macro_f1 0.373 	 micro_f1 0.438 	 weighted_f1 0.407
Epoch 07 	 train_loss 0.107 	 val_acc 0.188 	 macro_f1 0.378 	 micro_f1 0.448 	 weighted_f1 0.416
Epoch 08 	 train_loss 0.107 	 val_acc 0.185 	 macro_f1 0.372 	 micro_f1 0.437 	 weighted_f1 0.406
Epoch 09 	 train_loss 0.107 	 val_acc 0.188 	 macro_f1 0.379 	 micro_f1 0.445 	 weighted_f1 0.415
Epoch 10 	 train_loss 0.107 	 val_acc 0.186 	 macro_f1 0.378 	 micro_f1 0.445 	 weighted_f1 0.413
Epoch 11 	 train_loss 0.107 	 val_acc 0.188 	 macro_f1 0.372 	 micro_f1 0.442 	 weighted_f1 0.408
Epoch 12 	 train_loss 0.107 	 val_acc 0.190 	 macro_f1 0.382 	 micro_f1 0.452 	 weighted_f1 0.419
Epoch 13 	 train_loss 0.107 	 val_acc 0.187 	 macro_f1 0.373 	 micro_f1 0.436 	 weighted_f1 0.404
Epoch 14 	 train_loss 0.106 	 val_acc 0.185 	 macro_f1 0.371 	 micro_f1 0.438 	 weighted_f1 0.406
Epoch 15 	 train_loss 0.106 	 val_acc 0.190 	 macro_f1 0.379 	 micro_f1 0.446 	 weighted_f1 0.411
Epoch 16 	 train_loss 0.106 	 val_acc 0.190 	 macro_f1 0.372 	 micro_f1 0.444 	 weighted_f1 0.409
Epoch 17 	 train_loss 0.106 	 val_acc 0.190 	 macro_f1 0.378 	 micro_f1 0.446 	 weighted_f1 0.415
Epoch 18 	 train_loss 0.106 	 val_acc 0.189 	 macro_f1 0.376 	 micro_f1 0.444 	 weighted_f1 0.410
