Epoch 00 	 train_loss 0.135 	 val_acc 0.171 	 macro_f1 0.335 	 micro_f1 0.411 	 weighted_f1 0.378
Epoch 01 	 train_loss 0.101 	 val_acc 0.177 	 macro_f1 0.346 	 micro_f1 0.416 	 weighted_f1 0.384
Epoch 02 	 train_loss 0.100 	 val_acc 0.181 	 macro_f1 0.349 	 micro_f1 0.420 	 weighted_f1 0.387
Epoch 03 	 train_loss 0.099 	 val_acc 0.181 	 macro_f1 0.350 	 micro_f1 0.424 	 weighted_f1 0.390
Epoch 04 	 train_loss 0.099 	 val_acc 0.183 	 macro_f1 0.353 	 micro_f1 0.424 	 weighted_f1 0.392
Epoch 05 	 train_loss 0.099 	 val_acc 0.181 	 macro_f1 0.350 	 micro_f1 0.420 	 weighted_f1 0.386
Epoch 06 	 train_loss 0.098 	 val_acc 0.184 	 macro_f1 0.356 	 micro_f1 0.430 	 weighted_f1 0.394
Epoch 07 	 train_loss 0.098 	 val_acc 0.184 	 macro_f1 0.360 	 micro_f1 0.428 	 weighted_f1 0.397
Epoch 08 	 train_loss 0.098 	 val_acc 0.188 	 macro_f1 0.355 	 micro_f1 0.429 	 weighted_f1 0.393
Epoch 09 	 train_loss 0.098 	 val_acc 0.185 	 macro_f1 0.362 	 micro_f1 0.431 	 weighted_f1 0.398
Epoch 10 	 train_loss 0.098 	 val_acc 0.185 	 macro_f1 0.357 	 micro_f1 0.427 	 weighted_f1 0.395
Epoch 11 	 train_loss 0.098 	 val_acc 0.179 	 macro_f1 0.353 	 micro_f1 0.420 	 weighted_f1 0.389
Epoch 12 	 train_loss 0.098 	 val_acc 0.183 	 macro_f1 0.355 	 micro_f1 0.428 	 weighted_f1 0.392
Epoch 13 	 train_loss 0.097 	 val_acc 0.184 	 macro_f1 0.358 	 micro_f1 0.427 	 weighted_f1 0.396
Epoch 14 	 train_loss 0.097 	 val_acc 0.186 	 macro_f1 0.359 	 micro_f1 0.427 	 weighted_f1 0.393
Epoch 15 	 train_loss 0.097 	 val_acc 0.184 	 macro_f1 0.351 	 micro_f1 0.424 	 weighted_f1 0.387
Epoch 16 	 train_loss 0.097 	 val_acc 0.184 	 macro_f1 0.360 	 micro_f1 0.430 	 weighted_f1 0.396
Epoch 17 	 train_loss 0.097 	 val_acc 0.187 	 macro_f1 0.364 	 micro_f1 0.430 	 weighted_f1 0.399
Epoch 18 	 train_loss 0.097 	 val_acc 0.188 	 macro_f1 0.356 	 micro_f1 0.430 	 weighted_f1 0.394
====== BEST EPOCH 08 ======

Epoch 08 	 train_loss 0.098 	 val_acc 0.188 	 macro_f1 0.355 	 micro_f1 0.429 	 weighted_f1 0.393
