Epoch 00 	 train_loss 0.1354 	 val_acc 0.1750 	 macro_f1 0.3152
Epoch 01 	 train_loss 0.1045 	 val_acc 0.1982 	 macro_f1 0.3716
Epoch 02 	 train_loss 0.1022 	 val_acc 0.2066 	 macro_f1 0.3900
Epoch 03 	 train_loss 0.1012 	 val_acc 0.2120 	 macro_f1 0.4019
Epoch 04 	 train_loss 0.1005 	 val_acc 0.2151 	 macro_f1 0.4084
Epoch 05 	 train_loss 0.1001 	 val_acc 0.2156 	 macro_f1 0.4090
Epoch 06 	 train_loss 0.0998 	 val_acc 0.2178 	 macro_f1 0.4138
Epoch 07 	 train_loss 0.0996 	 val_acc 0.2194 	 macro_f1 0.4151
Epoch 08 	 train_loss 0.0994 	 val_acc 0.2199 	 macro_f1 0.4161
Epoch 09 	 train_loss 0.0992 	 val_acc 0.2204 	 macro_f1 0.4170
Epoch 10 	 train_loss 0.0991 	 val_acc 0.2205 	 macro_f1 0.4207
Epoch 11 	 train_loss 0.0990 	 val_acc 0.2219 	 macro_f1 0.4224
Epoch 12 	 train_loss 0.0989 	 val_acc 0.2225 	 macro_f1 0.4247
Epoch 13 	 train_loss 0.0989 	 val_acc 0.2232 	 macro_f1 0.4224
Epoch 14 	 train_loss 0.0988 	 val_acc 0.2241 	 macro_f1 0.4270
Epoch 15 	 train_loss 0.0987 	 val_acc 0.2239 	 macro_f1 0.4267
Epoch 16 	 train_loss 0.0987 	 val_acc 0.2238 	 macro_f1 0.4266
Epoch 17 	 train_loss 0.0986 	 val_acc 0.2252 	 macro_f1 0.4284
Epoch 18 	 train_loss 0.0986 	 val_acc 0.2249 	 macro_f1 0.4290
Epoch 19 	 train_loss 0.0985 	 val_acc 0.2252 	 macro_f1 0.4309
Epoch 20 	 train_loss 0.0985 	 val_acc 0.2254 	 macro_f1 0.4275
Epoch 21 	 train_loss 0.0985 	 val_acc 0.2250 	 macro_f1 0.4289
Epoch 22 	 train_loss 0.0984 	 val_acc 0.2241 	 macro_f1 0.4273
Epoch 23 	 train_loss 0.0984 	 val_acc 0.2265 	 macro_f1 0.4304
Epoch 24 	 train_loss 0.0984 	 val_acc 0.2258 	 macro_f1 0.4324
Epoch 25 	 train_loss 0.0984 	 val_acc 0.2258 	 macro_f1 0.4311
Epoch 26 	 train_loss 0.0983 	 val_acc 0.2261 	 macro_f1 0.4306
Epoch 27 	 train_loss 0.0983 	 val_acc 0.2259 	 macro_f1 0.4285
Epoch 28 	 train_loss 0.0982 	 val_acc 0.2263 	 macro_f1 0.4311
Epoch 29 	 train_loss 0.0983 	 val_acc 0.2265 	 macro_f1 0.4304
Epoch 30 	 train_loss 0.0982 	 val_acc 0.2248 	 macro_f1 0.4273
Epoch 31 	 train_loss 0.0982 	 val_acc 0.2264 	 macro_f1 0.4298
Epoch 32 	 train_loss 0.0982 	 val_acc 0.2261 	 macro_f1 0.4286
Epoch 33 	 train_loss 0.0982 	 val_acc 0.2257 	 macro_f1 0.4309
======
Best epoch 33 	 val_acc 0.2265 	 macro_f1 0.4304
