Epoch 00 	 train_loss 0.1354 	 val_acc 0.1767 	 macro_f1 0.3150
Epoch 01 	 train_loss 0.1045 	 val_acc 0.1999 	 macro_f1 0.3730
Epoch 02 	 train_loss 0.1021 	 val_acc 0.2079 	 macro_f1 0.3913
Epoch 03 	 train_loss 0.1011 	 val_acc 0.2116 	 macro_f1 0.4009
Epoch 04 	 train_loss 0.1006 	 val_acc 0.2140 	 macro_f1 0.4051
Epoch 05 	 train_loss 0.1001 	 val_acc 0.2167 	 macro_f1 0.4096
Epoch 06 	 train_loss 0.0999 	 val_acc 0.2177 	 macro_f1 0.4140
Epoch 07 	 train_loss 0.0996 	 val_acc 0.2206 	 macro_f1 0.4168
Epoch 08 	 train_loss 0.0994 	 val_acc 0.2212 	 macro_f1 0.4197
Epoch 09 	 train_loss 0.0993 	 val_acc 0.2208 	 macro_f1 0.4190
Epoch 10 	 train_loss 0.0991 	 val_acc 0.2219 	 macro_f1 0.4214
Epoch 11 	 train_loss 0.0990 	 val_acc 0.2205 	 macro_f1 0.4186
Epoch 12 	 train_loss 0.0989 	 val_acc 0.2230 	 macro_f1 0.4243
Epoch 13 	 train_loss 0.0988 	 val_acc 0.2227 	 macro_f1 0.4235
Epoch 14 	 train_loss 0.0988 	 val_acc 0.2226 	 macro_f1 0.4246
Epoch 15 	 train_loss 0.0987 	 val_acc 0.2231 	 macro_f1 0.4250
Epoch 16 	 train_loss 0.0987 	 val_acc 0.2229 	 macro_f1 0.4219
Epoch 17 	 train_loss 0.0986 	 val_acc 0.2255 	 macro_f1 0.4298
Epoch 18 	 train_loss 0.0986 	 val_acc 0.2246 	 macro_f1 0.4296
Epoch 19 	 train_loss 0.0985 	 val_acc 0.2247 	 macro_f1 0.4280
Epoch 20 	 train_loss 0.0985 	 val_acc 0.2246 	 macro_f1 0.4288
Epoch 21 	 train_loss 0.0985 	 val_acc 0.2241 	 macro_f1 0.4286
Epoch 22 	 train_loss 0.0984 	 val_acc 0.2248 	 macro_f1 0.4308
Epoch 23 	 train_loss 0.0984 	 val_acc 0.2255 	 macro_f1 0.4292
Epoch 24 	 train_loss 0.0984 	 val_acc 0.2262 	 macro_f1 0.4278
Epoch 25 	 train_loss 0.0984 	 val_acc 0.2261 	 macro_f1 0.4298
Epoch 26 	 train_loss 0.0983 	 val_acc 0.2266 	 macro_f1 0.4307
Epoch 27 	 train_loss 0.0983 	 val_acc 0.2249 	 macro_f1 0.4268
Epoch 28 	 train_loss 0.0983 	 val_acc 0.2266 	 macro_f1 0.4316
Epoch 29 	 train_loss 0.0982 	 val_acc 0.2253 	 macro_f1 0.4295
Epoch 30 	 train_loss 0.0982 	 val_acc 0.2254 	 macro_f1 0.4297
Epoch 31 	 train_loss 0.0982 	 val_acc 0.2261 	 macro_f1 0.4296
Epoch 32 	 train_loss 0.0982 	 val_acc 0.2258 	 macro_f1 0.4307
Epoch 33 	 train_loss 0.0982 	 val_acc 0.2263 	 macro_f1 0.4301
Epoch 34 	 train_loss 0.0981 	 val_acc 0.2262 	 macro_f1 0.4281
Epoch 35 	 train_loss 0.0982 	 val_acc 0.2258 	 macro_f1 0.4300
Epoch 36 	 train_loss 0.0981 	 val_acc 0.2255 	 macro_f1 0.4305
Epoch 37 	 train_loss 0.0981 	 val_acc 0.2261 	 macro_f1 0.4303
Epoch 38 	 train_loss 0.0981 	 val_acc 0.2260 	 macro_f1 0.4302
======
Best epoch 38 	 val_acc 0.2266 	 macro_f1 0.4316
