Epoch 00 	 train_loss 0.1194 	 val_acc 0.2688 	 macro_f1 0.4964
Epoch 01 	 train_loss 0.0897 	 val_acc 0.2941 	 macro_f1 0.5418
Epoch 02 	 train_loss 0.0874 	 val_acc 0.3039 	 macro_f1 0.5561
Epoch 03 	 train_loss 0.0864 	 val_acc 0.3092 	 macro_f1 0.5689
Epoch 04 	 train_loss 0.0856 	 val_acc 0.3115 	 macro_f1 0.5737
Epoch 05 	 train_loss 0.0853 	 val_acc 0.3145 	 macro_f1 0.5790
Epoch 06 	 train_loss 0.0850 	 val_acc 0.3175 	 macro_f1 0.5811
Epoch 07 	 train_loss 0.0847 	 val_acc 0.3184 	 macro_f1 0.5828
Epoch 08 	 train_loss 0.0845 	 val_acc 0.3208 	 macro_f1 0.5861
Epoch 09 	 train_loss 0.0843 	 val_acc 0.3208 	 macro_f1 0.5850
Epoch 10 	 train_loss 0.0842 	 val_acc 0.3213 	 macro_f1 0.5878
Epoch 11 	 train_loss 0.0840 	 val_acc 0.3223 	 macro_f1 0.5887
Epoch 12 	 train_loss 0.0840 	 val_acc 0.3228 	 macro_f1 0.5912
Epoch 13 	 train_loss 0.0839 	 val_acc 0.3233 	 macro_f1 0.5912
Epoch 14 	 train_loss 0.0839 	 val_acc 0.3246 	 macro_f1 0.5919
Epoch 15 	 train_loss 0.0838 	 val_acc 0.3247 	 macro_f1 0.5924
Epoch 16 	 train_loss 0.0837 	 val_acc 0.3250 	 macro_f1 0.5910
Epoch 17 	 train_loss 0.0837 	 val_acc 0.3248 	 macro_f1 0.5916
Epoch 18 	 train_loss 0.0837 	 val_acc 0.3239 	 macro_f1 0.5924
Epoch 19 	 train_loss 0.0836 	 val_acc 0.3254 	 macro_f1 0.5933
Epoch 20 	 train_loss 0.0836 	 val_acc 0.3247 	 macro_f1 0.5950
Epoch 21 	 train_loss 0.0835 	 val_acc 0.3268 	 macro_f1 0.5945
Epoch 22 	 train_loss 0.0835 	 val_acc 0.3254 	 macro_f1 0.5947
Epoch 23 	 train_loss 0.0834 	 val_acc 0.3263 	 macro_f1 0.5939
Epoch 24 	 train_loss 0.0834 	 val_acc 0.3253 	 macro_f1 0.5966
Epoch 25 	 train_loss 0.0834 	 val_acc 0.3266 	 macro_f1 0.5944
Epoch 26 	 train_loss 0.0833 	 val_acc 0.3266 	 macro_f1 0.5951
Epoch 27 	 train_loss 0.0833 	 val_acc 0.3264 	 macro_f1 0.5946
Epoch 28 	 train_loss 0.0833 	 val_acc 0.3264 	 macro_f1 0.5943
Epoch 29 	 train_loss 0.0833 	 val_acc 0.3263 	 macro_f1 0.5962
Epoch 30 	 train_loss 0.0832 	 val_acc 0.3272 	 macro_f1 0.5935
Epoch 31 	 train_loss 0.0832 	 val_acc 0.3265 	 macro_f1 0.5968
Epoch 32 	 train_loss 0.0832 	 val_acc 0.3265 	 macro_f1 0.5962
Epoch 33 	 train_loss 0.0832 	 val_acc 0.3278 	 macro_f1 0.5970
Epoch 34 	 train_loss 0.0831 	 val_acc 0.3270 	 macro_f1 0.5961
Epoch 35 	 train_loss 0.0831 	 val_acc 0.3274 	 macro_f1 0.5967
Epoch 36 	 train_loss 0.0831 	 val_acc 0.3271 	 macro_f1 0.5974
Epoch 37 	 train_loss 0.0831 	 val_acc 0.3271 	 macro_f1 0.5981
Epoch 38 	 train_loss 0.0831 	 val_acc 0.3271 	 macro_f1 0.5960
Epoch 39 	 train_loss 0.0830 	 val_acc 0.3268 	 macro_f1 0.5964
Epoch 40 	 train_loss 0.0830 	 val_acc 0.3272 	 macro_f1 0.5965
Epoch 41 	 train_loss 0.0830 	 val_acc 0.3270 	 macro_f1 0.5967
Epoch 42 	 train_loss 0.0830 	 val_acc 0.3277 	 macro_f1 0.5970
Epoch 43 	 train_loss 0.0830 	 val_acc 0.3276 	 macro_f1 0.5968
======
Best epoch 43 	 val_acc 0.3278 	 macro_f1 0.5970
