Epoch 00 	 train_loss 0.1088 	 val_acc 0.2659 	 macro_f1 0.4828
Epoch 01 	 train_loss 0.0778 	 val_acc 0.2921 	 macro_f1 0.5296
Epoch 02 	 train_loss 0.0752 	 val_acc 0.3018 	 macro_f1 0.5455
Epoch 03 	 train_loss 0.0739 	 val_acc 0.3078 	 macro_f1 0.5544
Epoch 04 	 train_loss 0.0731 	 val_acc 0.3108 	 macro_f1 0.5600
Epoch 05 	 train_loss 0.0726 	 val_acc 0.3135 	 macro_f1 0.5650
Epoch 06 	 train_loss 0.0722 	 val_acc 0.3161 	 macro_f1 0.5693
Epoch 07 	 train_loss 0.0719 	 val_acc 0.3183 	 macro_f1 0.5685
Epoch 08 	 train_loss 0.0716 	 val_acc 0.3196 	 macro_f1 0.5703
Epoch 09 	 train_loss 0.0714 	 val_acc 0.3204 	 macro_f1 0.5728
Epoch 10 	 train_loss 0.0712 	 val_acc 0.3206 	 macro_f1 0.5746
Epoch 11 	 train_loss 0.0711 	 val_acc 0.3218 	 macro_f1 0.5784
Epoch 12 	 train_loss 0.0710 	 val_acc 0.3220 	 macro_f1 0.5784
Epoch 13 	 train_loss 0.0709 	 val_acc 0.3231 	 macro_f1 0.5765
Epoch 14 	 train_loss 0.0708 	 val_acc 0.3235 	 macro_f1 0.5794
Epoch 15 	 train_loss 0.0707 	 val_acc 0.3230 	 macro_f1 0.5800
Epoch 16 	 train_loss 0.0706 	 val_acc 0.3237 	 macro_f1 0.5809
Epoch 17 	 train_loss 0.0706 	 val_acc 0.3244 	 macro_f1 0.5817
Epoch 18 	 train_loss 0.0705 	 val_acc 0.3241 	 macro_f1 0.5815
Epoch 19 	 train_loss 0.0705 	 val_acc 0.3253 	 macro_f1 0.5823
Epoch 20 	 train_loss 0.0704 	 val_acc 0.3241 	 macro_f1 0.5817
Epoch 21 	 train_loss 0.0704 	 val_acc 0.3244 	 macro_f1 0.5810
Epoch 22 	 train_loss 0.0703 	 val_acc 0.3253 	 macro_f1 0.5829
Epoch 23 	 train_loss 0.0703 	 val_acc 0.3249 	 macro_f1 0.5813
Epoch 24 	 train_loss 0.0702 	 val_acc 0.3257 	 macro_f1 0.5833
Epoch 25 	 train_loss 0.0702 	 val_acc 0.3261 	 macro_f1 0.5862
Epoch 26 	 train_loss 0.0702 	 val_acc 0.3254 	 macro_f1 0.5821
Epoch 27 	 train_loss 0.0701 	 val_acc 0.3255 	 macro_f1 0.5809
Epoch 28 	 train_loss 0.0701 	 val_acc 0.3250 	 macro_f1 0.5828
Epoch 29 	 train_loss 0.0701 	 val_acc 0.3261 	 macro_f1 0.5827
Epoch 30 	 train_loss 0.0700 	 val_acc 0.3254 	 macro_f1 0.5836
Epoch 31 	 train_loss 0.0700 	 val_acc 0.3257 	 macro_f1 0.5841
Epoch 32 	 train_loss 0.0700 	 val_acc 0.3263 	 macro_f1 0.5838
Epoch 33 	 train_loss 0.0699 	 val_acc 0.3265 	 macro_f1 0.5851
Epoch 34 	 train_loss 0.0699 	 val_acc 0.3265 	 macro_f1 0.5826
Epoch 35 	 train_loss 0.0699 	 val_acc 0.3266 	 macro_f1 0.5845
Epoch 36 	 train_loss 0.0698 	 val_acc 0.3259 	 macro_f1 0.5835
Epoch 37 	 train_loss 0.0698 	 val_acc 0.3262 	 macro_f1 0.5843
Epoch 38 	 train_loss 0.0698 	 val_acc 0.3263 	 macro_f1 0.5842
Epoch 39 	 train_loss 0.0698 	 val_acc 0.3264 	 macro_f1 0.5846
Epoch 40 	 train_loss 0.0698 	 val_acc 0.3265 	 macro_f1 0.5840
Epoch 41 	 train_loss 0.0697 	 val_acc 0.3267 	 macro_f1 0.5843
Epoch 42 	 train_loss 0.0697 	 val_acc 0.3265 	 macro_f1 0.5840
Epoch 43 	 train_loss 0.0697 	 val_acc 0.3268 	 macro_f1 0.5849
Epoch 44 	 train_loss 0.0697 	 val_acc 0.3266 	 macro_f1 0.5842
Epoch 45 	 train_loss 0.0697 	 val_acc 0.3266 	 macro_f1 0.5842
Epoch 46 	 train_loss 0.0697 	 val_acc 0.3265 	 macro_f1 0.5842
Epoch 47 	 train_loss 0.0697 	 val_acc 0.3265 	 macro_f1 0.5842
Epoch 48 	 train_loss 0.0696 	 val_acc 0.3265 	 macro_f1 0.5842
Epoch 49 	 train_loss 0.0696 	 val_acc 0.3265 	 macro_f1 0.5842
Epoch 50 	 train_loss 0.0696 	 val_acc 0.3265 	 macro_f1 0.5842
Epoch 51 	 train_loss 0.0696 	 val_acc 0.3265 	 macro_f1 0.5843
Epoch 52 	 train_loss 0.0696 	 val_acc 0.3265 	 macro_f1 0.5843
Epoch 53 	 train_loss 0.0697 	 val_acc 0.3265 	 macro_f1 0.5845
======
Best epoch 53 	 val_acc 0.3268 	 macro_f1 0.5849
