Epoch 00 	 train_loss 0.1192 	 val_acc 0.2681 	 macro_f1 0.4954
Epoch 01 	 train_loss 0.0897 	 val_acc 0.2923 	 macro_f1 0.5411
Epoch 02 	 train_loss 0.0874 	 val_acc 0.3026 	 macro_f1 0.5566
Epoch 03 	 train_loss 0.0864 	 val_acc 0.3082 	 macro_f1 0.5673
Epoch 04 	 train_loss 0.0857 	 val_acc 0.3122 	 macro_f1 0.5740
Epoch 05 	 train_loss 0.0853 	 val_acc 0.3146 	 macro_f1 0.5777
Epoch 06 	 train_loss 0.0850 	 val_acc 0.3171 	 macro_f1 0.5782
Epoch 07 	 train_loss 0.0847 	 val_acc 0.3181 	 macro_f1 0.5821
Epoch 08 	 train_loss 0.0845 	 val_acc 0.3207 	 macro_f1 0.5849
Epoch 09 	 train_loss 0.0843 	 val_acc 0.3209 	 macro_f1 0.5862
Epoch 10 	 train_loss 0.0843 	 val_acc 0.3208 	 macro_f1 0.5881
Epoch 11 	 train_loss 0.0841 	 val_acc 0.3225 	 macro_f1 0.5884
Epoch 12 	 train_loss 0.0840 	 val_acc 0.3235 	 macro_f1 0.5911
Epoch 13 	 train_loss 0.0839 	 val_acc 0.3225 	 macro_f1 0.5895
Epoch 14 	 train_loss 0.0839 	 val_acc 0.3238 	 macro_f1 0.5913
Epoch 15 	 train_loss 0.0838 	 val_acc 0.3238 	 macro_f1 0.5934
Epoch 16 	 train_loss 0.0837 	 val_acc 0.3246 	 macro_f1 0.5927
Epoch 17 	 train_loss 0.0837 	 val_acc 0.3245 	 macro_f1 0.5919
Epoch 18 	 train_loss 0.0836 	 val_acc 0.3243 	 macro_f1 0.5916
Epoch 19 	 train_loss 0.0836 	 val_acc 0.3247 	 macro_f1 0.5916
Epoch 20 	 train_loss 0.0836 	 val_acc 0.3257 	 macro_f1 0.5954
Epoch 21 	 train_loss 0.0836 	 val_acc 0.3260 	 macro_f1 0.5924
Epoch 22 	 train_loss 0.0835 	 val_acc 0.3260 	 macro_f1 0.5932
Epoch 23 	 train_loss 0.0834 	 val_acc 0.3265 	 macro_f1 0.5965
Epoch 24 	 train_loss 0.0834 	 val_acc 0.3265 	 macro_f1 0.5956
Epoch 25 	 train_loss 0.0834 	 val_acc 0.3262 	 macro_f1 0.5955
Epoch 26 	 train_loss 0.0834 	 val_acc 0.3264 	 macro_f1 0.5947
Epoch 27 	 train_loss 0.0834 	 val_acc 0.3263 	 macro_f1 0.5950
Epoch 28 	 train_loss 0.0833 	 val_acc 0.3264 	 macro_f1 0.5969
Epoch 29 	 train_loss 0.0833 	 val_acc 0.3264 	 macro_f1 0.5951
Epoch 30 	 train_loss 0.0832 	 val_acc 0.3261 	 macro_f1 0.5956
Epoch 31 	 train_loss 0.0832 	 val_acc 0.3274 	 macro_f1 0.5949
Epoch 32 	 train_loss 0.0832 	 val_acc 0.3270 	 macro_f1 0.5957
Epoch 33 	 train_loss 0.0832 	 val_acc 0.3268 	 macro_f1 0.5942
Epoch 34 	 train_loss 0.0831 	 val_acc 0.3270 	 macro_f1 0.5961
Epoch 35 	 train_loss 0.0831 	 val_acc 0.3265 	 macro_f1 0.5971
Epoch 36 	 train_loss 0.0831 	 val_acc 0.3274 	 macro_f1 0.5951
Epoch 37 	 train_loss 0.0831 	 val_acc 0.3271 	 macro_f1 0.5960
Epoch 38 	 train_loss 0.0831 	 val_acc 0.3272 	 macro_f1 0.5960
Epoch 39 	 train_loss 0.0830 	 val_acc 0.3270 	 macro_f1 0.5958
Epoch 40 	 train_loss 0.0830 	 val_acc 0.3274 	 macro_f1 0.5974
Epoch 41 	 train_loss 0.0830 	 val_acc 0.3269 	 macro_f1 0.5966
======
Best epoch 41 	 val_acc 0.3274 	 macro_f1 0.5949
