Epoch 00 	 train_loss 0.1091 	 val_acc 0.2667 	 macro_f1 0.4848
Epoch 01 	 train_loss 0.0778 	 val_acc 0.2912 	 macro_f1 0.5299
Epoch 02 	 train_loss 0.0752 	 val_acc 0.3015 	 macro_f1 0.5442
Epoch 03 	 train_loss 0.0739 	 val_acc 0.3070 	 macro_f1 0.5557
Epoch 04 	 train_loss 0.0731 	 val_acc 0.3121 	 macro_f1 0.5613
Epoch 05 	 train_loss 0.0726 	 val_acc 0.3134 	 macro_f1 0.5642
Epoch 06 	 train_loss 0.0722 	 val_acc 0.3164 	 macro_f1 0.5679
Epoch 07 	 train_loss 0.0719 	 val_acc 0.3173 	 macro_f1 0.5695
Epoch 08 	 train_loss 0.0716 	 val_acc 0.3194 	 macro_f1 0.5733
Epoch 09 	 train_loss 0.0714 	 val_acc 0.3196 	 macro_f1 0.5707
Epoch 10 	 train_loss 0.0713 	 val_acc 0.3203 	 macro_f1 0.5739
Epoch 11 	 train_loss 0.0711 	 val_acc 0.3220 	 macro_f1 0.5772
Epoch 12 	 train_loss 0.0710 	 val_acc 0.3214 	 macro_f1 0.5754
Epoch 13 	 train_loss 0.0709 	 val_acc 0.3222 	 macro_f1 0.5744
Epoch 14 	 train_loss 0.0708 	 val_acc 0.3228 	 macro_f1 0.5785
Epoch 15 	 train_loss 0.0707 	 val_acc 0.3237 	 macro_f1 0.5789
Epoch 16 	 train_loss 0.0707 	 val_acc 0.3227 	 macro_f1 0.5805
Epoch 17 	 train_loss 0.0706 	 val_acc 0.3239 	 macro_f1 0.5779
Epoch 18 	 train_loss 0.0705 	 val_acc 0.3238 	 macro_f1 0.5791
Epoch 19 	 train_loss 0.0705 	 val_acc 0.3246 	 macro_f1 0.5797
Epoch 20 	 train_loss 0.0704 	 val_acc 0.3260 	 macro_f1 0.5839
Epoch 21 	 train_loss 0.0704 	 val_acc 0.3246 	 macro_f1 0.5805
Epoch 22 	 train_loss 0.0703 	 val_acc 0.3257 	 macro_f1 0.5829
Epoch 23 	 train_loss 0.0703 	 val_acc 0.3255 	 macro_f1 0.5828
Epoch 24 	 train_loss 0.0702 	 val_acc 0.3255 	 macro_f1 0.5809
Epoch 25 	 train_loss 0.0702 	 val_acc 0.3254 	 macro_f1 0.5814
Epoch 26 	 train_loss 0.0702 	 val_acc 0.3268 	 macro_f1 0.5837
Epoch 27 	 train_loss 0.0701 	 val_acc 0.3259 	 macro_f1 0.5840
Epoch 28 	 train_loss 0.0701 	 val_acc 0.3258 	 macro_f1 0.5821
Epoch 29 	 train_loss 0.0701 	 val_acc 0.3254 	 macro_f1 0.5824
Epoch 30 	 train_loss 0.0700 	 val_acc 0.3262 	 macro_f1 0.5841
Epoch 31 	 train_loss 0.0700 	 val_acc 0.3259 	 macro_f1 0.5823
Epoch 32 	 train_loss 0.0700 	 val_acc 0.3270 	 macro_f1 0.5850
Epoch 33 	 train_loss 0.0699 	 val_acc 0.3264 	 macro_f1 0.5855
Epoch 34 	 train_loss 0.0699 	 val_acc 0.3267 	 macro_f1 0.5856
Epoch 35 	 train_loss 0.0699 	 val_acc 0.3259 	 macro_f1 0.5834
Epoch 36 	 train_loss 0.0698 	 val_acc 0.3259 	 macro_f1 0.5844
Epoch 37 	 train_loss 0.0698 	 val_acc 0.3266 	 macro_f1 0.5837
Epoch 38 	 train_loss 0.0698 	 val_acc 0.3264 	 macro_f1 0.5848
Epoch 39 	 train_loss 0.0698 	 val_acc 0.3265 	 macro_f1 0.5844
Epoch 40 	 train_loss 0.0698 	 val_acc 0.3269 	 macro_f1 0.5855
Epoch 41 	 train_loss 0.0697 	 val_acc 0.3256 	 macro_f1 0.5835
Epoch 42 	 train_loss 0.0697 	 val_acc 0.3265 	 macro_f1 0.5850
======
Best epoch 42 	 val_acc 0.3270 	 macro_f1 0.5850
