Epoch 00 	 train_loss 0.145 	 val_acc 0.206 	 macro_f1 0.372 	 micro_f1 0.432 	 weighted_f1 0.398
Epoch 01 	 train_loss 0.104 	 val_acc 0.243 	 macro_f1 0.451 	 micro_f1 0.490 	 weighted_f1 0.461
Epoch 02 	 train_loss 0.101 	 val_acc 0.254 	 macro_f1 0.475 	 micro_f1 0.508 	 weighted_f1 0.481
Epoch 03 	 train_loss 0.100 	 val_acc 0.260 	 macro_f1 0.484 	 micro_f1 0.516 	 weighted_f1 0.489
Epoch 04 	 train_loss 0.099 	 val_acc 0.264 	 macro_f1 0.493 	 micro_f1 0.522 	 weighted_f1 0.496
Epoch 05 	 train_loss 0.098 	 val_acc 0.267 	 macro_f1 0.496 	 micro_f1 0.526 	 weighted_f1 0.499
Epoch 06 	 train_loss 0.098 	 val_acc 0.269 	 macro_f1 0.502 	 micro_f1 0.530 	 weighted_f1 0.504
Epoch 07 	 train_loss 0.098 	 val_acc 0.271 	 macro_f1 0.504 	 micro_f1 0.531 	 weighted_f1 0.506
Epoch 08 	 train_loss 0.097 	 val_acc 0.272 	 macro_f1 0.506 	 micro_f1 0.532 	 weighted_f1 0.506
Epoch 09 	 train_loss 0.097 	 val_acc 0.272 	 macro_f1 0.508 	 micro_f1 0.534 	 weighted_f1 0.509
Epoch 10 	 train_loss 0.097 	 val_acc 0.273 	 macro_f1 0.509 	 micro_f1 0.535 	 weighted_f1 0.510
Epoch 11 	 train_loss 0.097 	 val_acc 0.274 	 macro_f1 0.509 	 micro_f1 0.535 	 weighted_f1 0.510
Epoch 12 	 train_loss 0.097 	 val_acc 0.275 	 macro_f1 0.508 	 micro_f1 0.535 	 weighted_f1 0.509
Epoch 13 	 train_loss 0.097 	 val_acc 0.276 	 macro_f1 0.512 	 micro_f1 0.538 	 weighted_f1 0.513
Epoch 14 	 train_loss 0.096 	 val_acc 0.276 	 macro_f1 0.513 	 micro_f1 0.539 	 weighted_f1 0.514
Epoch 15 	 train_loss 0.096 	 val_acc 0.275 	 macro_f1 0.514 	 micro_f1 0.538 	 weighted_f1 0.513
Epoch 16 	 train_loss 0.096 	 val_acc 0.276 	 macro_f1 0.514 	 micro_f1 0.538 	 weighted_f1 0.513
Epoch 17 	 train_loss 0.096 	 val_acc 0.276 	 macro_f1 0.515 	 micro_f1 0.539 	 weighted_f1 0.515
Epoch 18 	 train_loss 0.096 	 val_acc 0.277 	 macro_f1 0.513 	 micro_f1 0.539 	 weighted_f1 0.513
Epoch 19 	 train_loss 0.096 	 val_acc 0.277 	 macro_f1 0.516 	 micro_f1 0.540 	 weighted_f1 0.516
Epoch 20 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.514 	 micro_f1 0.540 	 weighted_f1 0.513
Epoch 21 	 train_loss 0.096 	 val_acc 0.277 	 macro_f1 0.515 	 micro_f1 0.539 	 weighted_f1 0.513
Epoch 22 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.517 	 micro_f1 0.541 	 weighted_f1 0.517
Epoch 23 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.519 	 micro_f1 0.542 	 weighted_f1 0.518
Epoch 24 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.516 	 micro_f1 0.540 	 weighted_f1 0.515
Epoch 25 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.519 	 micro_f1 0.542 	 weighted_f1 0.518
Epoch 26 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.516 	 micro_f1 0.540 	 weighted_f1 0.516
Epoch 27 	 train_loss 0.096 	 val_acc 0.279 	 macro_f1 0.518 	 micro_f1 0.542 	 weighted_f1 0.516
Epoch 28 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.516 	 micro_f1 0.541 	 weighted_f1 0.515
Epoch 29 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.520 	 micro_f1 0.542 	 weighted_f1 0.519
Epoch 30 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.515 	 micro_f1 0.540 	 weighted_f1 0.513
Epoch 31 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.518 	 micro_f1 0.542 	 weighted_f1 0.518
Epoch 32 	 train_loss 0.096 	 val_acc 0.278 	 macro_f1 0.517 	 micro_f1 0.540 	 weighted_f1 0.515
