Epoch 00 	 train_loss 0.136 	 val_acc 0.205 	 macro_f1 0.368 	 micro_f1 0.428 	 weighted_f1 0.394
Epoch 01 	 train_loss 0.095 	 val_acc 0.240 	 macro_f1 0.441 	 micro_f1 0.482 	 weighted_f1 0.453
Epoch 02 	 train_loss 0.091 	 val_acc 0.252 	 macro_f1 0.463 	 micro_f1 0.499 	 weighted_f1 0.471
Epoch 03 	 train_loss 0.090 	 val_acc 0.257 	 macro_f1 0.472 	 micro_f1 0.506 	 weighted_f1 0.478
Epoch 04 	 train_loss 0.089 	 val_acc 0.261 	 macro_f1 0.479 	 micro_f1 0.511 	 weighted_f1 0.483
Epoch 05 	 train_loss 0.088 	 val_acc 0.264 	 macro_f1 0.484 	 micro_f1 0.516 	 weighted_f1 0.489
Epoch 06 	 train_loss 0.088 	 val_acc 0.266 	 macro_f1 0.487 	 micro_f1 0.518 	 weighted_f1 0.491
Epoch 07 	 train_loss 0.087 	 val_acc 0.267 	 macro_f1 0.489 	 micro_f1 0.519 	 weighted_f1 0.492
Epoch 08 	 train_loss 0.087 	 val_acc 0.268 	 macro_f1 0.492 	 micro_f1 0.522 	 weighted_f1 0.495
Epoch 09 	 train_loss 0.087 	 val_acc 0.270 	 macro_f1 0.493 	 micro_f1 0.523 	 weighted_f1 0.496
Epoch 10 	 train_loss 0.087 	 val_acc 0.270 	 macro_f1 0.492 	 micro_f1 0.522 	 weighted_f1 0.496
Epoch 11 	 train_loss 0.086 	 val_acc 0.271 	 macro_f1 0.496 	 micro_f1 0.525 	 weighted_f1 0.497
Epoch 12 	 train_loss 0.086 	 val_acc 0.271 	 macro_f1 0.498 	 micro_f1 0.525 	 weighted_f1 0.500
Epoch 13 	 train_loss 0.086 	 val_acc 0.272 	 macro_f1 0.499 	 micro_f1 0.526 	 weighted_f1 0.499
Epoch 14 	 train_loss 0.086 	 val_acc 0.272 	 macro_f1 0.499 	 micro_f1 0.527 	 weighted_f1 0.500
Epoch 15 	 train_loss 0.086 	 val_acc 0.273 	 macro_f1 0.500 	 micro_f1 0.528 	 weighted_f1 0.502
Epoch 16 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.500 	 micro_f1 0.529 	 weighted_f1 0.502
Epoch 17 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.500 	 micro_f1 0.529 	 weighted_f1 0.502
Epoch 18 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.529 	 weighted_f1 0.502
Epoch 19 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.504 	 micro_f1 0.531 	 weighted_f1 0.504
Epoch 20 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.529 	 weighted_f1 0.503
Epoch 21 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.503 	 micro_f1 0.530 	 weighted_f1 0.503
Epoch 22 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.502 	 micro_f1 0.528 	 weighted_f1 0.502
Epoch 23 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.502 	 micro_f1 0.528 	 weighted_f1 0.501
Epoch 24 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.528 	 weighted_f1 0.501
Epoch 25 	 train_loss 0.086 	 val_acc 0.276 	 macro_f1 0.504 	 micro_f1 0.532 	 weighted_f1 0.506
Epoch 26 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.504 	 micro_f1 0.530 	 weighted_f1 0.503
Epoch 27 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.505 	 micro_f1 0.531 	 weighted_f1 0.506
Epoch 28 	 train_loss 0.086 	 val_acc 0.275 	 macro_f1 0.503 	 micro_f1 0.528 	 weighted_f1 0.503
Epoch 29 	 train_loss 0.086 	 val_acc 0.276 	 macro_f1 0.503 	 micro_f1 0.530 	 weighted_f1 0.503
Epoch 30 	 train_loss 0.086 	 val_acc 0.277 	 macro_f1 0.504 	 micro_f1 0.532 	 weighted_f1 0.506
Epoch 31 	 train_loss 0.086 	 val_acc 0.276 	 macro_f1 0.506 	 micro_f1 0.533 	 weighted_f1 0.506
