Epoch 00 	 train_loss 0.138 	 val_acc 0.204 	 macro_f1 0.368 	 micro_f1 0.425 	 weighted_f1 0.393
Epoch 01 	 train_loss 0.095 	 val_acc 0.240 	 macro_f1 0.442 	 micro_f1 0.481 	 weighted_f1 0.453
Epoch 02 	 train_loss 0.091 	 val_acc 0.251 	 macro_f1 0.462 	 micro_f1 0.497 	 weighted_f1 0.469
Epoch 03 	 train_loss 0.090 	 val_acc 0.256 	 macro_f1 0.473 	 micro_f1 0.506 	 weighted_f1 0.478
Epoch 04 	 train_loss 0.089 	 val_acc 0.261 	 macro_f1 0.479 	 micro_f1 0.511 	 weighted_f1 0.484
Epoch 05 	 train_loss 0.088 	 val_acc 0.264 	 macro_f1 0.485 	 micro_f1 0.515 	 weighted_f1 0.489
Epoch 06 	 train_loss 0.088 	 val_acc 0.265 	 macro_f1 0.487 	 micro_f1 0.518 	 weighted_f1 0.491
Epoch 07 	 train_loss 0.087 	 val_acc 0.267 	 macro_f1 0.489 	 micro_f1 0.520 	 weighted_f1 0.493
Epoch 08 	 train_loss 0.087 	 val_acc 0.268 	 macro_f1 0.491 	 micro_f1 0.521 	 weighted_f1 0.494
Epoch 09 	 train_loss 0.087 	 val_acc 0.269 	 macro_f1 0.494 	 micro_f1 0.523 	 weighted_f1 0.497
Epoch 10 	 train_loss 0.087 	 val_acc 0.270 	 macro_f1 0.494 	 micro_f1 0.523 	 weighted_f1 0.496
Epoch 11 	 train_loss 0.087 	 val_acc 0.271 	 macro_f1 0.496 	 micro_f1 0.526 	 weighted_f1 0.499
Epoch 12 	 train_loss 0.086 	 val_acc 0.271 	 macro_f1 0.498 	 micro_f1 0.526 	 weighted_f1 0.500
Epoch 13 	 train_loss 0.086 	 val_acc 0.272 	 macro_f1 0.496 	 micro_f1 0.526 	 weighted_f1 0.498
Epoch 14 	 train_loss 0.086 	 val_acc 0.273 	 macro_f1 0.499 	 micro_f1 0.526 	 weighted_f1 0.500
Epoch 15 	 train_loss 0.086 	 val_acc 0.273 	 macro_f1 0.499 	 micro_f1 0.525 	 weighted_f1 0.498
Epoch 16 	 train_loss 0.086 	 val_acc 0.273 	 macro_f1 0.502 	 micro_f1 0.529 	 weighted_f1 0.502
Epoch 17 	 train_loss 0.086 	 val_acc 0.272 	 macro_f1 0.498 	 micro_f1 0.526 	 weighted_f1 0.498
Epoch 18 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.529 	 weighted_f1 0.502
Epoch 19 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.528 	 weighted_f1 0.502
Epoch 20 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.501 	 micro_f1 0.528 	 weighted_f1 0.501
Epoch 21 	 train_loss 0.086 	 val_acc 0.274 	 macro_f1 0.505 	 micro_f1 0.531 	 weighted_f1 0.505
