Epoch 00 	 train_loss 0.142 	 val_acc 0.149 	 macro_f1 0.229 	 micro_f1 0.336 	 weighted_f1 0.283
Epoch 01 	 train_loss 0.101 	 val_acc 0.177 	 macro_f1 0.284 	 micro_f1 0.385 	 weighted_f1 0.335
Epoch 02 	 train_loss 0.098 	 val_acc 0.186 	 macro_f1 0.307 	 micro_f1 0.403 	 weighted_f1 0.355
Epoch 03 	 train_loss 0.096 	 val_acc 0.194 	 macro_f1 0.326 	 micro_f1 0.419 	 weighted_f1 0.372
Epoch 04 	 train_loss 0.095 	 val_acc 0.198 	 macro_f1 0.334 	 micro_f1 0.425 	 weighted_f1 0.379
Epoch 05 	 train_loss 0.095 	 val_acc 0.199 	 macro_f1 0.337 	 micro_f1 0.427 	 weighted_f1 0.380
Epoch 06 	 train_loss 0.094 	 val_acc 0.202 	 macro_f1 0.343 	 micro_f1 0.431 	 weighted_f1 0.386
Epoch 07 	 train_loss 0.094 	 val_acc 0.202 	 macro_f1 0.346 	 micro_f1 0.433 	 weighted_f1 0.388
Epoch 08 	 train_loss 0.094 	 val_acc 0.202 	 macro_f1 0.343 	 micro_f1 0.431 	 weighted_f1 0.387
Epoch 09 	 train_loss 0.093 	 val_acc 0.203 	 macro_f1 0.348 	 micro_f1 0.433 	 weighted_f1 0.389
Epoch 10 	 train_loss 0.093 	 val_acc 0.206 	 macro_f1 0.352 	 micro_f1 0.438 	 weighted_f1 0.394
Epoch 11 	 train_loss 0.093 	 val_acc 0.206 	 macro_f1 0.356 	 micro_f1 0.439 	 weighted_f1 0.396
Epoch 12 	 train_loss 0.093 	 val_acc 0.207 	 macro_f1 0.356 	 micro_f1 0.439 	 weighted_f1 0.395
Epoch 13 	 train_loss 0.093 	 val_acc 0.209 	 macro_f1 0.361 	 micro_f1 0.441 	 weighted_f1 0.400
Epoch 14 	 train_loss 0.092 	 val_acc 0.208 	 macro_f1 0.355 	 micro_f1 0.439 	 weighted_f1 0.397
Epoch 15 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.360 	 micro_f1 0.443 	 weighted_f1 0.400
Epoch 16 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.363 	 micro_f1 0.447 	 weighted_f1 0.403
Epoch 17 	 train_loss 0.092 	 val_acc 0.210 	 macro_f1 0.362 	 micro_f1 0.445 	 weighted_f1 0.401
Epoch 18 	 train_loss 0.092 	 val_acc 0.212 	 macro_f1 0.365 	 micro_f1 0.444 	 weighted_f1 0.403
Epoch 19 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.369 	 micro_f1 0.448 	 weighted_f1 0.408
Epoch 20 	 train_loss 0.092 	 val_acc 0.214 	 macro_f1 0.369 	 micro_f1 0.450 	 weighted_f1 0.408
Epoch 21 	 train_loss 0.091 	 val_acc 0.213 	 macro_f1 0.367 	 micro_f1 0.450 	 weighted_f1 0.408
Epoch 22 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.370 	 micro_f1 0.451 	 weighted_f1 0.410
Epoch 23 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.371 	 micro_f1 0.449 	 weighted_f1 0.410
Epoch 24 	 train_loss 0.091 	 val_acc 0.214 	 macro_f1 0.368 	 micro_f1 0.450 	 weighted_f1 0.409
Epoch 25 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.367 	 micro_f1 0.450 	 weighted_f1 0.408
Epoch 26 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.370 	 micro_f1 0.451 	 weighted_f1 0.411
Epoch 27 	 train_loss 0.091 	 val_acc 0.219 	 macro_f1 0.376 	 micro_f1 0.457 	 weighted_f1 0.415
Epoch 28 	 train_loss 0.091 	 val_acc 0.217 	 macro_f1 0.374 	 micro_f1 0.452 	 weighted_f1 0.412
Epoch 29 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.375 	 micro_f1 0.452 	 weighted_f1 0.413
Epoch 30 	 train_loss 0.090 	 val_acc 0.217 	 macro_f1 0.376 	 micro_f1 0.454 	 weighted_f1 0.414
Epoch 31 	 train_loss 0.090 	 val_acc 0.216 	 macro_f1 0.372 	 micro_f1 0.451 	 weighted_f1 0.412
