Epoch 00 	 train_loss 0.151 	 val_acc 0.131 	 macro_f1 0.198 	 micro_f1 0.301 	 weighted_f1 0.249
Epoch 01 	 train_loss 0.111 	 val_acc 0.165 	 macro_f1 0.259 	 micro_f1 0.361 	 weighted_f1 0.310
Epoch 02 	 train_loss 0.108 	 val_acc 0.177 	 macro_f1 0.284 	 micro_f1 0.383 	 weighted_f1 0.334
Epoch 03 	 train_loss 0.107 	 val_acc 0.183 	 macro_f1 0.299 	 micro_f1 0.393 	 weighted_f1 0.347
Epoch 04 	 train_loss 0.106 	 val_acc 0.186 	 macro_f1 0.308 	 micro_f1 0.400 	 weighted_f1 0.353
Epoch 05 	 train_loss 0.105 	 val_acc 0.189 	 macro_f1 0.317 	 micro_f1 0.405 	 weighted_f1 0.360
Epoch 06 	 train_loss 0.104 	 val_acc 0.190 	 macro_f1 0.321 	 micro_f1 0.410 	 weighted_f1 0.364
Epoch 07 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.323 	 micro_f1 0.410 	 weighted_f1 0.365
Epoch 08 	 train_loss 0.104 	 val_acc 0.194 	 macro_f1 0.329 	 micro_f1 0.413 	 weighted_f1 0.370
Epoch 09 	 train_loss 0.104 	 val_acc 0.195 	 macro_f1 0.328 	 micro_f1 0.414 	 weighted_f1 0.370
Epoch 10 	 train_loss 0.103 	 val_acc 0.199 	 macro_f1 0.336 	 micro_f1 0.421 	 weighted_f1 0.378
Epoch 11 	 train_loss 0.103 	 val_acc 0.196 	 macro_f1 0.330 	 micro_f1 0.415 	 weighted_f1 0.372
Epoch 12 	 train_loss 0.103 	 val_acc 0.199 	 macro_f1 0.337 	 micro_f1 0.422 	 weighted_f1 0.378
Epoch 13 	 train_loss 0.103 	 val_acc 0.199 	 macro_f1 0.339 	 micro_f1 0.424 	 weighted_f1 0.380
Epoch 14 	 train_loss 0.103 	 val_acc 0.202 	 macro_f1 0.344 	 micro_f1 0.427 	 weighted_f1 0.384
Epoch 15 	 train_loss 0.102 	 val_acc 0.200 	 macro_f1 0.342 	 micro_f1 0.426 	 weighted_f1 0.383
Epoch 16 	 train_loss 0.102 	 val_acc 0.203 	 macro_f1 0.343 	 micro_f1 0.428 	 weighted_f1 0.386
Epoch 17 	 train_loss 0.102 	 val_acc 0.203 	 macro_f1 0.346 	 micro_f1 0.429 	 weighted_f1 0.387
Epoch 18 	 train_loss 0.102 	 val_acc 0.204 	 macro_f1 0.348 	 micro_f1 0.431 	 weighted_f1 0.389
Epoch 19 	 train_loss 0.102 	 val_acc 0.205 	 macro_f1 0.352 	 micro_f1 0.433 	 weighted_f1 0.391
