Epoch 00 	 train_loss 0.141 	 val_acc 0.192 	 macro_f1 0.299 	 micro_f1 0.400 	 weighted_f1 0.347
Epoch 01 	 train_loss 0.100 	 val_acc 0.245 	 macro_f1 0.400 	 micro_f1 0.480 	 weighted_f1 0.436
Epoch 02 	 train_loss 0.097 	 val_acc 0.262 	 macro_f1 0.439 	 micro_f1 0.506 	 weighted_f1 0.465
Epoch 03 	 train_loss 0.095 	 val_acc 0.272 	 macro_f1 0.460 	 micro_f1 0.518 	 weighted_f1 0.482
Epoch 04 	 train_loss 0.094 	 val_acc 0.279 	 macro_f1 0.470 	 micro_f1 0.528 	 weighted_f1 0.491
Epoch 05 	 train_loss 0.093 	 val_acc 0.286 	 macro_f1 0.481 	 micro_f1 0.536 	 weighted_f1 0.501
Epoch 06 	 train_loss 0.092 	 val_acc 0.289 	 macro_f1 0.490 	 micro_f1 0.541 	 weighted_f1 0.508
Epoch 07 	 train_loss 0.092 	 val_acc 0.289 	 macro_f1 0.484 	 micro_f1 0.538 	 weighted_f1 0.502
Epoch 08 	 train_loss 0.092 	 val_acc 0.292 	 macro_f1 0.490 	 micro_f1 0.542 	 weighted_f1 0.508
Epoch 09 	 train_loss 0.091 	 val_acc 0.296 	 macro_f1 0.499 	 micro_f1 0.548 	 weighted_f1 0.516
Epoch 10 	 train_loss 0.091 	 val_acc 0.297 	 macro_f1 0.501 	 micro_f1 0.551 	 weighted_f1 0.518
Epoch 11 	 train_loss 0.091 	 val_acc 0.300 	 macro_f1 0.503 	 micro_f1 0.553 	 weighted_f1 0.520
Epoch 12 	 train_loss 0.091 	 val_acc 0.297 	 macro_f1 0.497 	 micro_f1 0.547 	 weighted_f1 0.514
Epoch 13 	 train_loss 0.091 	 val_acc 0.299 	 macro_f1 0.504 	 micro_f1 0.552 	 weighted_f1 0.521
Epoch 14 	 train_loss 0.090 	 val_acc 0.300 	 macro_f1 0.502 	 micro_f1 0.554 	 weighted_f1 0.518
Epoch 15 	 train_loss 0.090 	 val_acc 0.300 	 macro_f1 0.503 	 micro_f1 0.554 	 weighted_f1 0.520
Epoch 16 	 train_loss 0.090 	 val_acc 0.302 	 macro_f1 0.504 	 micro_f1 0.556 	 weighted_f1 0.522
Epoch 17 	 train_loss 0.090 	 val_acc 0.302 	 macro_f1 0.507 	 micro_f1 0.555 	 weighted_f1 0.522
Epoch 18 	 train_loss 0.090 	 val_acc 0.305 	 macro_f1 0.510 	 micro_f1 0.559 	 weighted_f1 0.526
Epoch 19 	 train_loss 0.090 	 val_acc 0.303 	 macro_f1 0.507 	 micro_f1 0.558 	 weighted_f1 0.524
Epoch 20 	 train_loss 0.090 	 val_acc 0.307 	 macro_f1 0.515 	 micro_f1 0.562 	 weighted_f1 0.531
Epoch 21 	 train_loss 0.090 	 val_acc 0.307 	 macro_f1 0.514 	 micro_f1 0.563 	 weighted_f1 0.531
Epoch 22 	 train_loss 0.090 	 val_acc 0.305 	 macro_f1 0.513 	 micro_f1 0.559 	 weighted_f1 0.526
Epoch 23 	 train_loss 0.090 	 val_acc 0.304 	 macro_f1 0.511 	 micro_f1 0.558 	 weighted_f1 0.525
Epoch 24 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.516 	 micro_f1 0.563 	 weighted_f1 0.531
Epoch 25 	 train_loss 0.089 	 val_acc 0.308 	 macro_f1 0.518 	 micro_f1 0.565 	 weighted_f1 0.533
Epoch 26 	 train_loss 0.089 	 val_acc 0.305 	 macro_f1 0.511 	 micro_f1 0.559 	 weighted_f1 0.526
Epoch 27 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.516 	 micro_f1 0.564 	 weighted_f1 0.532
Epoch 28 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.519 	 micro_f1 0.564 	 weighted_f1 0.534
Epoch 29 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.515 	 micro_f1 0.563 	 weighted_f1 0.531
Epoch 30 	 train_loss 0.089 	 val_acc 0.308 	 macro_f1 0.516 	 micro_f1 0.563 	 weighted_f1 0.533
Epoch 31 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.515 	 micro_f1 0.562 	 weighted_f1 0.530
Epoch 32 	 train_loss 0.089 	 val_acc 0.310 	 macro_f1 0.518 	 micro_f1 0.565 	 weighted_f1 0.534
