Epoch 00 	 train_loss 0.131 	 val_acc 0.208 	 macro_f1 0.330 	 micro_f1 0.429 	 weighted_f1 0.378
Epoch 01 	 train_loss 0.089 	 val_acc 0.258 	 macro_f1 0.431 	 micro_f1 0.502 	 weighted_f1 0.461
Epoch 02 	 train_loss 0.085 	 val_acc 0.275 	 macro_f1 0.465 	 micro_f1 0.527 	 weighted_f1 0.490
Epoch 03 	 train_loss 0.083 	 val_acc 0.287 	 macro_f1 0.483 	 micro_f1 0.541 	 weighted_f1 0.505
Epoch 04 	 train_loss 0.082 	 val_acc 0.293 	 macro_f1 0.495 	 micro_f1 0.549 	 weighted_f1 0.515
Epoch 05 	 train_loss 0.081 	 val_acc 0.295 	 macro_f1 0.496 	 micro_f1 0.552 	 weighted_f1 0.516
Epoch 06 	 train_loss 0.080 	 val_acc 0.302 	 macro_f1 0.505 	 micro_f1 0.559 	 weighted_f1 0.524
Epoch 07 	 train_loss 0.080 	 val_acc 0.304 	 macro_f1 0.512 	 micro_f1 0.565 	 weighted_f1 0.532
Epoch 08 	 train_loss 0.079 	 val_acc 0.306 	 macro_f1 0.516 	 micro_f1 0.565 	 weighted_f1 0.533
Epoch 09 	 train_loss 0.079 	 val_acc 0.309 	 macro_f1 0.519 	 micro_f1 0.569 	 weighted_f1 0.536
Epoch 10 	 train_loss 0.079 	 val_acc 0.311 	 macro_f1 0.522 	 micro_f1 0.572 	 weighted_f1 0.539
Epoch 11 	 train_loss 0.078 	 val_acc 0.313 	 macro_f1 0.522 	 micro_f1 0.572 	 weighted_f1 0.539
Epoch 12 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.531 	 micro_f1 0.578 	 weighted_f1 0.547
Epoch 13 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.528 	 micro_f1 0.577 	 weighted_f1 0.546
Epoch 14 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.532 	 micro_f1 0.576 	 weighted_f1 0.545
Epoch 15 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.526 	 micro_f1 0.574 	 weighted_f1 0.542
Epoch 16 	 train_loss 0.077 	 val_acc 0.319 	 macro_f1 0.536 	 micro_f1 0.583 	 weighted_f1 0.552
Epoch 17 	 train_loss 0.077 	 val_acc 0.318 	 macro_f1 0.531 	 micro_f1 0.579 	 weighted_f1 0.548
Epoch 18 	 train_loss 0.077 	 val_acc 0.316 	 macro_f1 0.527 	 micro_f1 0.576 	 weighted_f1 0.543
Epoch 19 	 train_loss 0.077 	 val_acc 0.319 	 macro_f1 0.537 	 micro_f1 0.582 	 weighted_f1 0.551
