Epoch 00 	 train_loss 0.141 	 val_acc 0.200 	 macro_f1 0.313 	 micro_f1 0.413 	 weighted_f1 0.362
Epoch 01 	 train_loss 0.100 	 val_acc 0.245 	 macro_f1 0.406 	 micro_f1 0.482 	 weighted_f1 0.439
Epoch 02 	 train_loss 0.096 	 val_acc 0.265 	 macro_f1 0.440 	 micro_f1 0.507 	 weighted_f1 0.467
Epoch 03 	 train_loss 0.095 	 val_acc 0.274 	 macro_f1 0.462 	 micro_f1 0.521 	 weighted_f1 0.483
Epoch 04 	 train_loss 0.094 	 val_acc 0.279 	 macro_f1 0.470 	 micro_f1 0.527 	 weighted_f1 0.491
Epoch 05 	 train_loss 0.093 	 val_acc 0.284 	 macro_f1 0.479 	 micro_f1 0.534 	 weighted_f1 0.498
Epoch 06 	 train_loss 0.092 	 val_acc 0.287 	 macro_f1 0.485 	 micro_f1 0.538 	 weighted_f1 0.503
Epoch 07 	 train_loss 0.092 	 val_acc 0.292 	 macro_f1 0.488 	 micro_f1 0.542 	 weighted_f1 0.507
Epoch 08 	 train_loss 0.092 	 val_acc 0.294 	 macro_f1 0.496 	 micro_f1 0.547 	 weighted_f1 0.513
Epoch 09 	 train_loss 0.091 	 val_acc 0.294 	 macro_f1 0.495 	 micro_f1 0.547 	 weighted_f1 0.512
Epoch 10 	 train_loss 0.091 	 val_acc 0.297 	 macro_f1 0.500 	 micro_f1 0.549 	 weighted_f1 0.516
Epoch 11 	 train_loss 0.091 	 val_acc 0.296 	 macro_f1 0.501 	 micro_f1 0.550 	 weighted_f1 0.517
Epoch 12 	 train_loss 0.091 	 val_acc 0.302 	 macro_f1 0.505 	 micro_f1 0.556 	 weighted_f1 0.524
Epoch 13 	 train_loss 0.091 	 val_acc 0.301 	 macro_f1 0.506 	 micro_f1 0.556 	 weighted_f1 0.523
Epoch 14 	 train_loss 0.090 	 val_acc 0.303 	 macro_f1 0.507 	 micro_f1 0.556 	 weighted_f1 0.524
Epoch 15 	 train_loss 0.090 	 val_acc 0.303 	 macro_f1 0.511 	 micro_f1 0.558 	 weighted_f1 0.525
Epoch 16 	 train_loss 0.090 	 val_acc 0.302 	 macro_f1 0.509 	 micro_f1 0.556 	 weighted_f1 0.525
Epoch 17 	 train_loss 0.090 	 val_acc 0.304 	 macro_f1 0.514 	 micro_f1 0.561 	 weighted_f1 0.528
Epoch 18 	 train_loss 0.090 	 val_acc 0.303 	 macro_f1 0.508 	 micro_f1 0.557 	 weighted_f1 0.524
Epoch 19 	 train_loss 0.090 	 val_acc 0.305 	 macro_f1 0.514 	 micro_f1 0.561 	 weighted_f1 0.529
Epoch 20 	 train_loss 0.090 	 val_acc 0.301 	 macro_f1 0.507 	 micro_f1 0.556 	 weighted_f1 0.522
Epoch 21 	 train_loss 0.090 	 val_acc 0.305 	 macro_f1 0.511 	 micro_f1 0.560 	 weighted_f1 0.528
Epoch 22 	 train_loss 0.089 	 val_acc 0.303 	 macro_f1 0.511 	 micro_f1 0.558 	 weighted_f1 0.524
Epoch 23 	 train_loss 0.089 	 val_acc 0.306 	 macro_f1 0.516 	 micro_f1 0.562 	 weighted_f1 0.530
Epoch 24 	 train_loss 0.089 	 val_acc 0.305 	 macro_f1 0.512 	 micro_f1 0.561 	 weighted_f1 0.529
Epoch 25 	 train_loss 0.089 	 val_acc 0.307 	 macro_f1 0.514 	 micro_f1 0.563 	 weighted_f1 0.530
Epoch 26 	 train_loss 0.089 	 val_acc 0.310 	 macro_f1 0.519 	 micro_f1 0.566 	 weighted_f1 0.535
Epoch 27 	 train_loss 0.089 	 val_acc 0.306 	 macro_f1 0.509 	 micro_f1 0.560 	 weighted_f1 0.528
Epoch 28 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.517 	 micro_f1 0.565 	 weighted_f1 0.533
Epoch 29 	 train_loss 0.089 	 val_acc 0.310 	 macro_f1 0.522 	 micro_f1 0.567 	 weighted_f1 0.538
Epoch 30 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.518 	 micro_f1 0.565 	 weighted_f1 0.533
Epoch 31 	 train_loss 0.089 	 val_acc 0.310 	 macro_f1 0.518 	 micro_f1 0.567 	 weighted_f1 0.536
Epoch 32 	 train_loss 0.089 	 val_acc 0.309 	 macro_f1 0.520 	 micro_f1 0.566 	 weighted_f1 0.535
Epoch 33 	 train_loss 0.089 	 val_acc 0.310 	 macro_f1 0.525 	 micro_f1 0.568 	 weighted_f1 0.537
Epoch 34 	 train_loss 0.088 	 val_acc 0.310 	 macro_f1 0.519 	 micro_f1 0.565 	 weighted_f1 0.534
Epoch 35 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.524 	 micro_f1 0.570 	 weighted_f1 0.540
Epoch 36 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.523 	 micro_f1 0.568 	 weighted_f1 0.539
Epoch 37 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.525 	 micro_f1 0.571 	 weighted_f1 0.540
Epoch 38 	 train_loss 0.088 	 val_acc 0.311 	 macro_f1 0.519 	 micro_f1 0.566 	 weighted_f1 0.535
Epoch 39 	 train_loss 0.088 	 val_acc 0.310 	 macro_f1 0.521 	 micro_f1 0.566 	 weighted_f1 0.536
Epoch 40 	 train_loss 0.088 	 val_acc 0.310 	 macro_f1 0.520 	 micro_f1 0.566 	 weighted_f1 0.534
Epoch 41 	 train_loss 0.088 	 val_acc 0.314 	 macro_f1 0.527 	 micro_f1 0.571 	 weighted_f1 0.541
Epoch 42 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.523 	 micro_f1 0.570 	 weighted_f1 0.540
Epoch 43 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.523 	 micro_f1 0.569 	 weighted_f1 0.538
Epoch 44 	 train_loss 0.088 	 val_acc 0.314 	 macro_f1 0.529 	 micro_f1 0.572 	 weighted_f1 0.544
Epoch 45 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.524 	 micro_f1 0.568 	 weighted_f1 0.539
Epoch 46 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.524 	 micro_f1 0.571 	 weighted_f1 0.540
Epoch 47 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.528 	 micro_f1 0.573 	 weighted_f1 0.544
Epoch 48 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.522 	 micro_f1 0.569 	 weighted_f1 0.538
Epoch 49 	 train_loss 0.088 	 val_acc 0.312 	 macro_f1 0.523 	 micro_f1 0.568 	 weighted_f1 0.537
Epoch 50 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.526 	 micro_f1 0.572 	 weighted_f1 0.541
Epoch 51 	 train_loss 0.088 	 val_acc 0.313 	 macro_f1 0.527 	 micro_f1 0.570 	 weighted_f1 0.540
====== BEST EPOCH 41 ======

Epoch 41 	 train_loss 0.088 	 val_acc 0.314 	 macro_f1 0.527 	 micro_f1 0.571 	 weighted_f1 0.541
