Epoch 00 	 train_loss 0.133 	 val_acc 0.202 	 macro_f1 0.318 	 micro_f1 0.422 	 weighted_f1 0.368
Epoch 01 	 train_loss 0.090 	 val_acc 0.254 	 macro_f1 0.419 	 micro_f1 0.497 	 weighted_f1 0.454
Epoch 02 	 train_loss 0.085 	 val_acc 0.271 	 macro_f1 0.457 	 micro_f1 0.521 	 weighted_f1 0.482
Epoch 03 	 train_loss 0.083 	 val_acc 0.285 	 macro_f1 0.481 	 micro_f1 0.540 	 weighted_f1 0.504
Epoch 04 	 train_loss 0.082 	 val_acc 0.292 	 macro_f1 0.493 	 micro_f1 0.549 	 weighted_f1 0.514
Epoch 05 	 train_loss 0.081 	 val_acc 0.296 	 macro_f1 0.498 	 micro_f1 0.552 	 weighted_f1 0.517
Epoch 06 	 train_loss 0.080 	 val_acc 0.303 	 macro_f1 0.508 	 micro_f1 0.562 	 weighted_f1 0.527
Epoch 07 	 train_loss 0.080 	 val_acc 0.310 	 macro_f1 0.520 	 micro_f1 0.572 	 weighted_f1 0.540
Epoch 08 	 train_loss 0.079 	 val_acc 0.307 	 macro_f1 0.515 	 micro_f1 0.566 	 weighted_f1 0.532
Epoch 09 	 train_loss 0.079 	 val_acc 0.310 	 macro_f1 0.521 	 micro_f1 0.568 	 weighted_f1 0.537
Epoch 10 	 train_loss 0.079 	 val_acc 0.312 	 macro_f1 0.524 	 micro_f1 0.572 	 weighted_f1 0.541
Epoch 11 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.528 	 micro_f1 0.577 	 weighted_f1 0.545
Epoch 12 	 train_loss 0.078 	 val_acc 0.315 	 macro_f1 0.528 	 micro_f1 0.576 	 weighted_f1 0.544
Epoch 13 	 train_loss 0.078 	 val_acc 0.316 	 macro_f1 0.527 	 micro_f1 0.576 	 weighted_f1 0.544
Epoch 14 	 train_loss 0.078 	 val_acc 0.318 	 macro_f1 0.533 	 micro_f1 0.579 	 weighted_f1 0.547
Epoch 15 	 train_loss 0.077 	 val_acc 0.319 	 macro_f1 0.534 	 micro_f1 0.582 	 weighted_f1 0.551
Epoch 16 	 train_loss 0.077 	 val_acc 0.323 	 macro_f1 0.539 	 micro_f1 0.586 	 weighted_f1 0.556
Epoch 17 	 train_loss 0.077 	 val_acc 0.319 	 macro_f1 0.531 	 micro_f1 0.579 	 weighted_f1 0.548
Epoch 18 	 train_loss 0.077 	 val_acc 0.321 	 macro_f1 0.536 	 micro_f1 0.583 	 weighted_f1 0.551
Epoch 19 	 train_loss 0.077 	 val_acc 0.322 	 macro_f1 0.538 	 micro_f1 0.584 	 weighted_f1 0.554
Epoch 20 	 train_loss 0.077 	 val_acc 0.322 	 macro_f1 0.537 	 micro_f1 0.585 	 weighted_f1 0.554
Epoch 21 	 train_loss 0.077 	 val_acc 0.322 	 macro_f1 0.538 	 micro_f1 0.583 	 weighted_f1 0.553
Epoch 22 	 train_loss 0.077 	 val_acc 0.323 	 macro_f1 0.541 	 micro_f1 0.586 	 weighted_f1 0.556
Epoch 23 	 train_loss 0.076 	 val_acc 0.320 	 macro_f1 0.534 	 micro_f1 0.582 	 weighted_f1 0.550
Epoch 24 	 train_loss 0.076 	 val_acc 0.323 	 macro_f1 0.541 	 micro_f1 0.586 	 weighted_f1 0.555
Epoch 25 	 train_loss 0.076 	 val_acc 0.323 	 macro_f1 0.540 	 micro_f1 0.585 	 weighted_f1 0.556
Epoch 26 	 train_loss 0.076 	 val_acc 0.321 	 macro_f1 0.536 	 micro_f1 0.581 	 weighted_f1 0.550
Epoch 27 	 train_loss 0.076 	 val_acc 0.322 	 macro_f1 0.539 	 micro_f1 0.582 	 weighted_f1 0.553
Epoch 28 	 train_loss 0.076 	 val_acc 0.324 	 macro_f1 0.539 	 micro_f1 0.584 	 weighted_f1 0.553
Epoch 29 	 train_loss 0.076 	 val_acc 0.324 	 macro_f1 0.541 	 micro_f1 0.588 	 weighted_f1 0.557
Epoch 30 	 train_loss 0.076 	 val_acc 0.324 	 macro_f1 0.541 	 micro_f1 0.586 	 weighted_f1 0.556
Epoch 31 	 train_loss 0.076 	 val_acc 0.323 	 macro_f1 0.541 	 micro_f1 0.586 	 weighted_f1 0.557
