Epoch 00 	 train_loss 0.143 	 val_acc 0.148 	 macro_f1 0.225 	 micro_f1 0.332 	 weighted_f1 0.279
Epoch 01 	 train_loss 0.101 	 val_acc 0.177 	 macro_f1 0.282 	 micro_f1 0.386 	 weighted_f1 0.335
Epoch 02 	 train_loss 0.098 	 val_acc 0.187 	 macro_f1 0.303 	 micro_f1 0.403 	 weighted_f1 0.354
Epoch 03 	 train_loss 0.097 	 val_acc 0.191 	 macro_f1 0.318 	 micro_f1 0.413 	 weighted_f1 0.366
Epoch 04 	 train_loss 0.096 	 val_acc 0.196 	 macro_f1 0.330 	 micro_f1 0.420 	 weighted_f1 0.374
Epoch 05 	 train_loss 0.095 	 val_acc 0.196 	 macro_f1 0.334 	 micro_f1 0.422 	 weighted_f1 0.377
Epoch 06 	 train_loss 0.094 	 val_acc 0.202 	 macro_f1 0.342 	 micro_f1 0.431 	 weighted_f1 0.386
Epoch 07 	 train_loss 0.094 	 val_acc 0.201 	 macro_f1 0.343 	 micro_f1 0.430 	 weighted_f1 0.386
Epoch 08 	 train_loss 0.094 	 val_acc 0.204 	 macro_f1 0.349 	 micro_f1 0.433 	 weighted_f1 0.390
Epoch 09 	 train_loss 0.093 	 val_acc 0.206 	 macro_f1 0.353 	 micro_f1 0.437 	 weighted_f1 0.394
Epoch 10 	 train_loss 0.093 	 val_acc 0.207 	 macro_f1 0.353 	 micro_f1 0.438 	 weighted_f1 0.395
Epoch 11 	 train_loss 0.093 	 val_acc 0.208 	 macro_f1 0.354 	 micro_f1 0.439 	 weighted_f1 0.397
Epoch 12 	 train_loss 0.093 	 val_acc 0.205 	 macro_f1 0.350 	 micro_f1 0.436 	 weighted_f1 0.391
Epoch 13 	 train_loss 0.092 	 val_acc 0.209 	 macro_f1 0.359 	 micro_f1 0.443 	 weighted_f1 0.400
Epoch 14 	 train_loss 0.092 	 val_acc 0.210 	 macro_f1 0.363 	 micro_f1 0.444 	 weighted_f1 0.403
Epoch 15 	 train_loss 0.092 	 val_acc 0.210 	 macro_f1 0.361 	 micro_f1 0.445 	 weighted_f1 0.402
Epoch 16 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.363 	 micro_f1 0.446 	 weighted_f1 0.404
Epoch 17 	 train_loss 0.092 	 val_acc 0.212 	 macro_f1 0.363 	 micro_f1 0.445 	 weighted_f1 0.403
