Epoch 00 	 train_loss 0.134 	 val_acc 0.178 	 macro_f1 0.302 	 micro_f1 0.391 	 weighted_f1 0.346
Epoch 01 	 train_loss 0.107 	 val_acc 0.195 	 macro_f1 0.333 	 micro_f1 0.418 	 weighted_f1 0.375
Epoch 02 	 train_loss 0.105 	 val_acc 0.196 	 macro_f1 0.336 	 micro_f1 0.417 	 weighted_f1 0.375
Epoch 03 	 train_loss 0.104 	 val_acc 0.203 	 macro_f1 0.357 	 micro_f1 0.438 	 weighted_f1 0.396
Epoch 04 	 train_loss 0.103 	 val_acc 0.203 	 macro_f1 0.356 	 micro_f1 0.435 	 weighted_f1 0.395
Epoch 05 	 train_loss 0.102 	 val_acc 0.204 	 macro_f1 0.353 	 micro_f1 0.434 	 weighted_f1 0.392
Epoch 06 	 train_loss 0.102 	 val_acc 0.206 	 macro_f1 0.361 	 micro_f1 0.440 	 weighted_f1 0.398
Epoch 07 	 train_loss 0.102 	 val_acc 0.207 	 macro_f1 0.362 	 micro_f1 0.441 	 weighted_f1 0.402
Epoch 08 	 train_loss 0.102 	 val_acc 0.207 	 macro_f1 0.363 	 micro_f1 0.440 	 weighted_f1 0.398
Epoch 09 	 train_loss 0.101 	 val_acc 0.208 	 macro_f1 0.365 	 micro_f1 0.440 	 weighted_f1 0.400
Epoch 10 	 train_loss 0.101 	 val_acc 0.211 	 macro_f1 0.372 	 micro_f1 0.447 	 weighted_f1 0.407
Epoch 11 	 train_loss 0.101 	 val_acc 0.208 	 macro_f1 0.367 	 micro_f1 0.444 	 weighted_f1 0.404
Epoch 12 	 train_loss 0.101 	 val_acc 0.208 	 macro_f1 0.367 	 micro_f1 0.443 	 weighted_f1 0.403
Epoch 13 	 train_loss 0.101 	 val_acc 0.212 	 macro_f1 0.377 	 micro_f1 0.449 	 weighted_f1 0.412
Epoch 14 	 train_loss 0.101 	 val_acc 0.214 	 macro_f1 0.367 	 micro_f1 0.448 	 weighted_f1 0.407
Epoch 15 	 train_loss 0.101 	 val_acc 0.217 	 macro_f1 0.382 	 micro_f1 0.460 	 weighted_f1 0.420
Epoch 16 	 train_loss 0.101 	 val_acc 0.208 	 macro_f1 0.367 	 micro_f1 0.440 	 weighted_f1 0.401
Epoch 17 	 train_loss 0.100 	 val_acc 0.215 	 macro_f1 0.378 	 micro_f1 0.452 	 weighted_f1 0.415
Epoch 18 	 train_loss 0.100 	 val_acc 0.215 	 macro_f1 0.378 	 micro_f1 0.453 	 weighted_f1 0.415
Epoch 19 	 train_loss 0.100 	 val_acc 0.217 	 macro_f1 0.382 	 micro_f1 0.458 	 weighted_f1 0.417
Epoch 20 	 train_loss 0.100 	 val_acc 0.214 	 macro_f1 0.374 	 micro_f1 0.452 	 weighted_f1 0.413
Epoch 21 	 train_loss 0.100 	 val_acc 0.215 	 macro_f1 0.379 	 micro_f1 0.456 	 weighted_f1 0.416
Epoch 22 	 train_loss 0.100 	 val_acc 0.215 	 macro_f1 0.379 	 micro_f1 0.454 	 weighted_f1 0.417
Epoch 23 	 train_loss 0.100 	 val_acc 0.213 	 macro_f1 0.371 	 micro_f1 0.443 	 weighted_f1 0.406
Epoch 24 	 train_loss 0.100 	 val_acc 0.212 	 macro_f1 0.376 	 micro_f1 0.449 	 weighted_f1 0.412
Epoch 25 	 train_loss 0.100 	 val_acc 0.214 	 macro_f1 0.376 	 micro_f1 0.450 	 weighted_f1 0.411
====== BEST EPOCH 15 ======

Epoch 15 	 train_loss 0.101 	 val_acc 0.217 	 macro_f1 0.382 	 micro_f1 0.460 	 weighted_f1 0.420
