Epoch 00 	 train_loss 0.126 	 val_acc 0.189 	 macro_f1 0.325 	 micro_f1 0.412 	 weighted_f1 0.368
Epoch 01 	 train_loss 0.097 	 val_acc 0.199 	 macro_f1 0.343 	 micro_f1 0.427 	 weighted_f1 0.385
Epoch 02 	 train_loss 0.095 	 val_acc 0.207 	 macro_f1 0.357 	 micro_f1 0.443 	 weighted_f1 0.400
Epoch 03 	 train_loss 0.093 	 val_acc 0.209 	 macro_f1 0.364 	 micro_f1 0.446 	 weighted_f1 0.404
Epoch 04 	 train_loss 0.093 	 val_acc 0.213 	 macro_f1 0.376 	 micro_f1 0.454 	 weighted_f1 0.413
Epoch 05 	 train_loss 0.092 	 val_acc 0.213 	 macro_f1 0.372 	 micro_f1 0.453 	 weighted_f1 0.409
Epoch 06 	 train_loss 0.092 	 val_acc 0.211 	 macro_f1 0.370 	 micro_f1 0.447 	 weighted_f1 0.407
Epoch 07 	 train_loss 0.092 	 val_acc 0.213 	 macro_f1 0.373 	 micro_f1 0.451 	 weighted_f1 0.411
Epoch 08 	 train_loss 0.091 	 val_acc 0.212 	 macro_f1 0.371 	 micro_f1 0.448 	 weighted_f1 0.409
Epoch 09 	 train_loss 0.091 	 val_acc 0.218 	 macro_f1 0.384 	 micro_f1 0.459 	 weighted_f1 0.420
Epoch 10 	 train_loss 0.091 	 val_acc 0.215 	 macro_f1 0.382 	 micro_f1 0.455 	 weighted_f1 0.416
Epoch 11 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.383 	 micro_f1 0.457 	 weighted_f1 0.418
Epoch 12 	 train_loss 0.091 	 val_acc 0.217 	 macro_f1 0.380 	 micro_f1 0.457 	 weighted_f1 0.417
Epoch 13 	 train_loss 0.091 	 val_acc 0.216 	 macro_f1 0.381 	 micro_f1 0.460 	 weighted_f1 0.416
Epoch 14 	 train_loss 0.090 	 val_acc 0.219 	 macro_f1 0.379 	 micro_f1 0.453 	 weighted_f1 0.416
Epoch 15 	 train_loss 0.090 	 val_acc 0.218 	 macro_f1 0.382 	 micro_f1 0.457 	 weighted_f1 0.419
Epoch 16 	 train_loss 0.090 	 val_acc 0.221 	 macro_f1 0.386 	 micro_f1 0.465 	 weighted_f1 0.424
Epoch 17 	 train_loss 0.090 	 val_acc 0.218 	 macro_f1 0.385 	 micro_f1 0.460 	 weighted_f1 0.420
Epoch 18 	 train_loss 0.090 	 val_acc 0.222 	 macro_f1 0.391 	 micro_f1 0.465 	 weighted_f1 0.429
Epoch 19 	 train_loss 0.090 	 val_acc 0.218 	 macro_f1 0.382 	 micro_f1 0.458 	 weighted_f1 0.419
Epoch 20 	 train_loss 0.090 	 val_acc 0.218 	 macro_f1 0.388 	 micro_f1 0.461 	 weighted_f1 0.422
Epoch 21 	 train_loss 0.090 	 val_acc 0.221 	 macro_f1 0.391 	 micro_f1 0.464 	 weighted_f1 0.427
Epoch 22 	 train_loss 0.090 	 val_acc 0.222 	 macro_f1 0.385 	 micro_f1 0.465 	 weighted_f1 0.425
Epoch 23 	 train_loss 0.090 	 val_acc 0.222 	 macro_f1 0.383 	 micro_f1 0.463 	 weighted_f1 0.422
Epoch 24 	 train_loss 0.090 	 val_acc 0.219 	 macro_f1 0.387 	 micro_f1 0.461 	 weighted_f1 0.422
Epoch 25 	 train_loss 0.090 	 val_acc 0.221 	 macro_f1 0.389 	 micro_f1 0.462 	 weighted_f1 0.423
Epoch 26 	 train_loss 0.090 	 val_acc 0.220 	 macro_f1 0.383 	 micro_f1 0.457 	 weighted_f1 0.418
Epoch 27 	 train_loss 0.090 	 val_acc 0.220 	 macro_f1 0.380 	 micro_f1 0.461 	 weighted_f1 0.420
Epoch 28 	 train_loss 0.089 	 val_acc 0.220 	 macro_f1 0.384 	 micro_f1 0.459 	 weighted_f1 0.421
Epoch 29 	 train_loss 0.089 	 val_acc 0.220 	 macro_f1 0.386 	 micro_f1 0.458 	 weighted_f1 0.420
Epoch 30 	 train_loss 0.089 	 val_acc 0.219 	 macro_f1 0.387 	 micro_f1 0.460 	 weighted_f1 0.421
Epoch 31 	 train_loss 0.089 	 val_acc 0.218 	 macro_f1 0.389 	 micro_f1 0.458 	 weighted_f1 0.421
Epoch 32 	 train_loss 0.089 	 val_acc 0.220 	 macro_f1 0.387 	 micro_f1 0.460 	 weighted_f1 0.422
Epoch 33 	 train_loss 0.089 	 val_acc 0.219 	 macro_f1 0.386 	 micro_f1 0.459 	 weighted_f1 0.421
====== BEST EPOCH 23 ======

Epoch 23 	 train_loss 0.090 	 val_acc 0.222 	 macro_f1 0.383 	 micro_f1 0.463 	 weighted_f1 0.422
