Epoch 00 	 train_loss 0.135 	 val_acc 0.160 	 macro_f1 0.262 	 micro_f1 0.359 	 weighted_f1 0.312
Epoch 01 	 train_loss 0.110 	 val_acc 0.168 	 macro_f1 0.282 	 micro_f1 0.376 	 weighted_f1 0.330
Epoch 02 	 train_loss 0.108 	 val_acc 0.177 	 macro_f1 0.296 	 micro_f1 0.388 	 weighted_f1 0.343
Epoch 03 	 train_loss 0.107 	 val_acc 0.175 	 macro_f1 0.299 	 micro_f1 0.385 	 weighted_f1 0.342
Epoch 04 	 train_loss 0.106 	 val_acc 0.181 	 macro_f1 0.314 	 micro_f1 0.401 	 weighted_f1 0.358
Epoch 05 	 train_loss 0.106 	 val_acc 0.179 	 macro_f1 0.311 	 micro_f1 0.397 	 weighted_f1 0.354
Epoch 06 	 train_loss 0.106 	 val_acc 0.184 	 macro_f1 0.314 	 micro_f1 0.402 	 weighted_f1 0.359
Epoch 07 	 train_loss 0.106 	 val_acc 0.183 	 macro_f1 0.314 	 micro_f1 0.401 	 weighted_f1 0.357
Epoch 08 	 train_loss 0.105 	 val_acc 0.183 	 macro_f1 0.313 	 micro_f1 0.402 	 weighted_f1 0.359
Epoch 09 	 train_loss 0.105 	 val_acc 0.182 	 macro_f1 0.310 	 micro_f1 0.398 	 weighted_f1 0.353
Epoch 10 	 train_loss 0.105 	 val_acc 0.182 	 macro_f1 0.314 	 micro_f1 0.400 	 weighted_f1 0.356
Epoch 11 	 train_loss 0.105 	 val_acc 0.185 	 macro_f1 0.318 	 micro_f1 0.403 	 weighted_f1 0.359
Epoch 12 	 train_loss 0.105 	 val_acc 0.184 	 macro_f1 0.319 	 micro_f1 0.406 	 weighted_f1 0.363
Epoch 13 	 train_loss 0.105 	 val_acc 0.184 	 macro_f1 0.320 	 micro_f1 0.404 	 weighted_f1 0.361
Epoch 14 	 train_loss 0.105 	 val_acc 0.187 	 macro_f1 0.327 	 micro_f1 0.411 	 weighted_f1 0.369
Epoch 15 	 train_loss 0.105 	 val_acc 0.189 	 macro_f1 0.322 	 micro_f1 0.412 	 weighted_f1 0.368
Epoch 16 	 train_loss 0.105 	 val_acc 0.189 	 macro_f1 0.327 	 micro_f1 0.413 	 weighted_f1 0.370
Epoch 17 	 train_loss 0.105 	 val_acc 0.180 	 macro_f1 0.314 	 micro_f1 0.397 	 weighted_f1 0.354
Epoch 18 	 train_loss 0.105 	 val_acc 0.189 	 macro_f1 0.328 	 micro_f1 0.411 	 weighted_f1 0.369
Epoch 19 	 train_loss 0.105 	 val_acc 0.189 	 macro_f1 0.328 	 micro_f1 0.411 	 weighted_f1 0.368
Epoch 20 	 train_loss 0.104 	 val_acc 0.190 	 macro_f1 0.323 	 micro_f1 0.412 	 weighted_f1 0.367
Epoch 21 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.332 	 micro_f1 0.416 	 weighted_f1 0.374
Epoch 22 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.333 	 micro_f1 0.419 	 weighted_f1 0.375
Epoch 23 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.331 	 micro_f1 0.419 	 weighted_f1 0.377
Epoch 24 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.328 	 micro_f1 0.409 	 weighted_f1 0.369
Epoch 25 	 train_loss 0.104 	 val_acc 0.186 	 macro_f1 0.326 	 micro_f1 0.410 	 weighted_f1 0.368
Epoch 26 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.326 	 micro_f1 0.412 	 weighted_f1 0.367
Epoch 27 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.327 	 micro_f1 0.409 	 weighted_f1 0.369
Epoch 28 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.338 	 micro_f1 0.419 	 weighted_f1 0.379
Epoch 29 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.331 	 micro_f1 0.411 	 weighted_f1 0.371
Epoch 30 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.335 	 micro_f1 0.412 	 weighted_f1 0.374
Epoch 31 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.333 	 micro_f1 0.416 	 weighted_f1 0.374
Epoch 32 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.332 	 micro_f1 0.414 	 weighted_f1 0.374
Epoch 33 	 train_loss 0.104 	 val_acc 0.192 	 macro_f1 0.336 	 micro_f1 0.420 	 weighted_f1 0.377
Epoch 34 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.334 	 micro_f1 0.420 	 weighted_f1 0.378
Epoch 35 	 train_loss 0.104 	 val_acc 0.196 	 macro_f1 0.343 	 micro_f1 0.425 	 weighted_f1 0.385
Epoch 36 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.341 	 micro_f1 0.419 	 weighted_f1 0.379
Epoch 37 	 train_loss 0.104 	 val_acc 0.191 	 macro_f1 0.337 	 micro_f1 0.415 	 weighted_f1 0.376
Epoch 38 	 train_loss 0.104 	 val_acc 0.193 	 macro_f1 0.339 	 micro_f1 0.420 	 weighted_f1 0.381
Epoch 39 	 train_loss 0.104 	 val_acc 0.189 	 macro_f1 0.332 	 micro_f1 0.410 	 weighted_f1 0.370
Epoch 40 	 train_loss 0.104 	 val_acc 0.193 	 macro_f1 0.334 	 micro_f1 0.417 	 weighted_f1 0.376
Epoch 41 	 train_loss 0.103 	 val_acc 0.190 	 macro_f1 0.336 	 micro_f1 0.420 	 weighted_f1 0.378
Epoch 42 	 train_loss 0.103 	 val_acc 0.193 	 macro_f1 0.340 	 micro_f1 0.420 	 weighted_f1 0.382
Epoch 43 	 train_loss 0.103 	 val_acc 0.194 	 macro_f1 0.342 	 micro_f1 0.423 	 weighted_f1 0.382
Epoch 44 	 train_loss 0.103 	 val_acc 0.194 	 macro_f1 0.340 	 micro_f1 0.422 	 weighted_f1 0.384
Epoch 45 	 train_loss 0.103 	 val_acc 0.194 	 macro_f1 0.342 	 micro_f1 0.421 	 weighted_f1 0.382
====== BEST EPOCH 35 ======

Epoch 35 	 train_loss 0.104 	 val_acc 0.196 	 macro_f1 0.343 	 micro_f1 0.425 	 weighted_f1 0.385
