Epoch 00 	 train_loss 0.1411 	 val_acc 0.1881 	 macro_f1 0.2901
Epoch 01 	 train_loss 0.1010 	 val_acc 0.2414 	 macro_f1 0.3976
Epoch 02 	 train_loss 0.0969 	 val_acc 0.2625 	 macro_f1 0.4407
Epoch 03 	 train_loss 0.0950 	 val_acc 0.2743 	 macro_f1 0.4630
Epoch 04 	 train_loss 0.0939 	 val_acc 0.2787 	 macro_f1 0.4699
Epoch 05 	 train_loss 0.0931 	 val_acc 0.2839 	 macro_f1 0.4770
Epoch 06 	 train_loss 0.0925 	 val_acc 0.2866 	 macro_f1 0.4819
Epoch 07 	 train_loss 0.0920 	 val_acc 0.2919 	 macro_f1 0.4926
Epoch 08 	 train_loss 0.0918 	 val_acc 0.2910 	 macro_f1 0.4897
Epoch 09 	 train_loss 0.0915 	 val_acc 0.2939 	 macro_f1 0.4939
Epoch 10 	 train_loss 0.0912 	 val_acc 0.2980 	 macro_f1 0.4992
Epoch 11 	 train_loss 0.0911 	 val_acc 0.2994 	 macro_f1 0.5041
Epoch 12 	 train_loss 0.0908 	 val_acc 0.3002 	 macro_f1 0.5030
Epoch 13 	 train_loss 0.0906 	 val_acc 0.3007 	 macro_f1 0.5048
Epoch 14 	 train_loss 0.0904 	 val_acc 0.3000 	 macro_f1 0.5015
Epoch 15 	 train_loss 0.0902 	 val_acc 0.3043 	 macro_f1 0.5087
Epoch 16 	 train_loss 0.0901 	 val_acc 0.3023 	 macro_f1 0.5076
Epoch 17 	 train_loss 0.0900 	 val_acc 0.3043 	 macro_f1 0.5088
Epoch 18 	 train_loss 0.0898 	 val_acc 0.3028 	 macro_f1 0.5052
Epoch 19 	 train_loss 0.0896 	 val_acc 0.3058 	 macro_f1 0.5134
Epoch 20 	 train_loss 0.0894 	 val_acc 0.3079 	 macro_f1 0.5146
Epoch 21 	 train_loss 0.0893 	 val_acc 0.3078 	 macro_f1 0.5165
Epoch 22 	 train_loss 0.0892 	 val_acc 0.3060 	 macro_f1 0.5127
Epoch 23 	 train_loss 0.0891 	 val_acc 0.3098 	 macro_f1 0.5174
Epoch 24 	 train_loss 0.0891 	 val_acc 0.3076 	 macro_f1 0.5144
Epoch 25 	 train_loss 0.0891 	 val_acc 0.3098 	 macro_f1 0.5182
Epoch 26 	 train_loss 0.0889 	 val_acc 0.3077 	 macro_f1 0.5150
Epoch 27 	 train_loss 0.0889 	 val_acc 0.3105 	 macro_f1 0.5194
Epoch 28 	 train_loss 0.0888 	 val_acc 0.3105 	 macro_f1 0.5177
Epoch 29 	 train_loss 0.0887 	 val_acc 0.3093 	 macro_f1 0.5193
Epoch 30 	 train_loss 0.0886 	 val_acc 0.3107 	 macro_f1 0.5183
Epoch 31 	 train_loss 0.0885 	 val_acc 0.3116 	 macro_f1 0.5192
Epoch 32 	 train_loss 0.0884 	 val_acc 0.3110 	 macro_f1 0.5207
Epoch 33 	 train_loss 0.0884 	 val_acc 0.3120 	 macro_f1 0.5205
Epoch 34 	 train_loss 0.0883 	 val_acc 0.3114 	 macro_f1 0.5217
Epoch 35 	 train_loss 0.0883 	 val_acc 0.3114 	 macro_f1 0.5212
Epoch 36 	 train_loss 0.0882 	 val_acc 0.3120 	 macro_f1 0.5215
Epoch 37 	 train_loss 0.0882 	 val_acc 0.3116 	 macro_f1 0.5205
Epoch 38 	 train_loss 0.0881 	 val_acc 0.3117 	 macro_f1 0.5201
Epoch 39 	 train_loss 0.0881 	 val_acc 0.3126 	 macro_f1 0.5217
Epoch 40 	 train_loss 0.0880 	 val_acc 0.3122 	 macro_f1 0.5207
Epoch 41 	 train_loss 0.0881 	 val_acc 0.3124 	 macro_f1 0.5212
Epoch 42 	 train_loss 0.0880 	 val_acc 0.3124 	 macro_f1 0.5217
Epoch 43 	 train_loss 0.0879 	 val_acc 0.3127 	 macro_f1 0.5224
Epoch 44 	 train_loss 0.0880 	 val_acc 0.3127 	 macro_f1 0.5219
Epoch 45 	 train_loss 0.0879 	 val_acc 0.3126 	 macro_f1 0.5225
Epoch 46 	 train_loss 0.0880 	 val_acc 0.3128 	 macro_f1 0.5225
Epoch 47 	 train_loss 0.0879 	 val_acc 0.3129 	 macro_f1 0.5223
Epoch 48 	 train_loss 0.0879 	 val_acc 0.3130 	 macro_f1 0.5225
Epoch 49 	 train_loss 0.0879 	 val_acc 0.3129 	 macro_f1 0.5225
Epoch 50 	 train_loss 0.0879 	 val_acc 0.3129 	 macro_f1 0.5225
Epoch 51 	 train_loss 0.0880 	 val_acc 0.3129 	 macro_f1 0.5225
Epoch 52 	 train_loss 0.0879 	 val_acc 0.3129 	 macro_f1 0.5225
