Epoch 00 	 train_loss 0.1306 	 val_acc 0.2103 	 macro_f1 0.3338
Epoch 01 	 train_loss 0.0887 	 val_acc 0.2589 	 macro_f1 0.4318
Epoch 02 	 train_loss 0.0845 	 val_acc 0.2790 	 macro_f1 0.4707
Epoch 03 	 train_loss 0.0825 	 val_acc 0.2865 	 macro_f1 0.4859
Epoch 04 	 train_loss 0.0813 	 val_acc 0.2957 	 macro_f1 0.4984
Epoch 05 	 train_loss 0.0804 	 val_acc 0.2989 	 macro_f1 0.5048
Epoch 06 	 train_loss 0.0798 	 val_acc 0.3062 	 macro_f1 0.5164
Epoch 07 	 train_loss 0.0793 	 val_acc 0.3047 	 macro_f1 0.5141
Epoch 08 	 train_loss 0.0790 	 val_acc 0.3095 	 macro_f1 0.5197
Epoch 09 	 train_loss 0.0786 	 val_acc 0.3114 	 macro_f1 0.5235
Epoch 10 	 train_loss 0.0784 	 val_acc 0.3126 	 macro_f1 0.5268
Epoch 11 	 train_loss 0.0781 	 val_acc 0.3152 	 macro_f1 0.5276
Epoch 12 	 train_loss 0.0779 	 val_acc 0.3149 	 macro_f1 0.5277
Epoch 13 	 train_loss 0.0778 	 val_acc 0.3173 	 macro_f1 0.5289
Epoch 14 	 train_loss 0.0776 	 val_acc 0.3151 	 macro_f1 0.5274
Epoch 15 	 train_loss 0.0774 	 val_acc 0.3187 	 macro_f1 0.5326
Epoch 16 	 train_loss 0.0772 	 val_acc 0.3185 	 macro_f1 0.5343
Epoch 17 	 train_loss 0.0771 	 val_acc 0.3183 	 macro_f1 0.5327
Epoch 18 	 train_loss 0.0770 	 val_acc 0.3174 	 macro_f1 0.5335
Epoch 19 	 train_loss 0.0769 	 val_acc 0.3187 	 macro_f1 0.5353
Epoch 20 	 train_loss 0.0767 	 val_acc 0.3183 	 macro_f1 0.5328
Epoch 21 	 train_loss 0.0765 	 val_acc 0.3213 	 macro_f1 0.5396
Epoch 22 	 train_loss 0.0765 	 val_acc 0.3212 	 macro_f1 0.5380
Epoch 23 	 train_loss 0.0764 	 val_acc 0.3201 	 macro_f1 0.5349
Epoch 24 	 train_loss 0.0763 	 val_acc 0.3225 	 macro_f1 0.5391
Epoch 25 	 train_loss 0.0762 	 val_acc 0.3209 	 macro_f1 0.5345
Epoch 26 	 train_loss 0.0761 	 val_acc 0.3219 	 macro_f1 0.5373
Epoch 27 	 train_loss 0.0760 	 val_acc 0.3228 	 macro_f1 0.5415
Epoch 28 	 train_loss 0.0759 	 val_acc 0.3225 	 macro_f1 0.5360
Epoch 29 	 train_loss 0.0759 	 val_acc 0.3225 	 macro_f1 0.5378
Epoch 30 	 train_loss 0.0758 	 val_acc 0.3219 	 macro_f1 0.5383
Epoch 31 	 train_loss 0.0758 	 val_acc 0.3227 	 macro_f1 0.5409
Epoch 32 	 train_loss 0.0757 	 val_acc 0.3229 	 macro_f1 0.5383
Epoch 33 	 train_loss 0.0756 	 val_acc 0.3235 	 macro_f1 0.5411
Epoch 34 	 train_loss 0.0755 	 val_acc 0.3234 	 macro_f1 0.5405
Epoch 35 	 train_loss 0.0755 	 val_acc 0.3227 	 macro_f1 0.5378
Epoch 36 	 train_loss 0.0754 	 val_acc 0.3231 	 macro_f1 0.5393
Epoch 37 	 train_loss 0.0754 	 val_acc 0.3230 	 macro_f1 0.5380
Epoch 38 	 train_loss 0.0754 	 val_acc 0.3230 	 macro_f1 0.5383
Epoch 39 	 train_loss 0.0753 	 val_acc 0.3243 	 macro_f1 0.5404
Epoch 40 	 train_loss 0.0753 	 val_acc 0.3237 	 macro_f1 0.5402
Epoch 41 	 train_loss 0.0753 	 val_acc 0.3234 	 macro_f1 0.5396
Epoch 42 	 train_loss 0.0753 	 val_acc 0.3236 	 macro_f1 0.5405
Epoch 43 	 train_loss 0.0752 	 val_acc 0.3238 	 macro_f1 0.5402
Epoch 44 	 train_loss 0.0752 	 val_acc 0.3236 	 macro_f1 0.5398
Epoch 45 	 train_loss 0.0751 	 val_acc 0.3237 	 macro_f1 0.5402
Epoch 46 	 train_loss 0.0751 	 val_acc 0.3237 	 macro_f1 0.5405
Epoch 47 	 train_loss 0.0752 	 val_acc 0.3236 	 macro_f1 0.5403
Epoch 48 	 train_loss 0.0751 	 val_acc 0.3237 	 macro_f1 0.5405
Epoch 49 	 train_loss 0.0752 	 val_acc 0.3236 	 macro_f1 0.5404
======
Best epoch 49 	 val_acc 0.3243 	 macro_f1 0.5404
