Epoch 00 	 train_loss 0.153 	 val_acc 0.175 	 macro_f1 0.287 	 micro_f1 0.364 	 weighted_f1 0.317
Epoch 01 	 train_loss 0.108 	 val_acc 0.219 	 macro_f1 0.379 	 micro_f1 0.435 	 weighted_f1 0.394
Epoch 02 	 train_loss 0.105 	 val_acc 0.234 	 macro_f1 0.406 	 micro_f1 0.455 	 weighted_f1 0.417
Epoch 03 	 train_loss 0.103 	 val_acc 0.242 	 macro_f1 0.423 	 micro_f1 0.468 	 weighted_f1 0.432
Epoch 04 	 train_loss 0.102 	 val_acc 0.250 	 macro_f1 0.437 	 micro_f1 0.480 	 weighted_f1 0.443
Epoch 05 	 train_loss 0.101 	 val_acc 0.253 	 macro_f1 0.442 	 micro_f1 0.484 	 weighted_f1 0.449
Epoch 06 	 train_loss 0.101 	 val_acc 0.255 	 macro_f1 0.447 	 micro_f1 0.486 	 weighted_f1 0.452
Epoch 07 	 train_loss 0.100 	 val_acc 0.261 	 macro_f1 0.457 	 micro_f1 0.496 	 weighted_f1 0.462
Epoch 08 	 train_loss 0.100 	 val_acc 0.261 	 macro_f1 0.455 	 micro_f1 0.493 	 weighted_f1 0.460
Epoch 09 	 train_loss 0.100 	 val_acc 0.265 	 macro_f1 0.460 	 micro_f1 0.499 	 weighted_f1 0.466
Epoch 10 	 train_loss 0.099 	 val_acc 0.265 	 macro_f1 0.461 	 micro_f1 0.500 	 weighted_f1 0.467
Epoch 11 	 train_loss 0.099 	 val_acc 0.266 	 macro_f1 0.462 	 micro_f1 0.499 	 weighted_f1 0.466
Epoch 12 	 train_loss 0.099 	 val_acc 0.267 	 macro_f1 0.467 	 micro_f1 0.502 	 weighted_f1 0.470
Epoch 13 	 train_loss 0.099 	 val_acc 0.268 	 macro_f1 0.467 	 micro_f1 0.505 	 weighted_f1 0.471
Epoch 14 	 train_loss 0.099 	 val_acc 0.269 	 macro_f1 0.469 	 micro_f1 0.506 	 weighted_f1 0.473
Epoch 15 	 train_loss 0.099 	 val_acc 0.271 	 macro_f1 0.473 	 micro_f1 0.508 	 weighted_f1 0.477
Epoch 16 	 train_loss 0.098 	 val_acc 0.271 	 macro_f1 0.475 	 micro_f1 0.510 	 weighted_f1 0.478
Epoch 17 	 train_loss 0.098 	 val_acc 0.273 	 macro_f1 0.479 	 micro_f1 0.512 	 weighted_f1 0.481
Epoch 18 	 train_loss 0.098 	 val_acc 0.272 	 macro_f1 0.476 	 micro_f1 0.509 	 weighted_f1 0.478
Epoch 19 	 train_loss 0.098 	 val_acc 0.273 	 macro_f1 0.477 	 micro_f1 0.510 	 weighted_f1 0.479
Epoch 20 	 train_loss 0.098 	 val_acc 0.272 	 macro_f1 0.473 	 micro_f1 0.509 	 weighted_f1 0.477
Epoch 21 	 train_loss 0.098 	 val_acc 0.278 	 macro_f1 0.481 	 micro_f1 0.516 	 weighted_f1 0.485
Epoch 22 	 train_loss 0.098 	 val_acc 0.275 	 macro_f1 0.476 	 micro_f1 0.514 	 weighted_f1 0.482
Epoch 23 	 train_loss 0.098 	 val_acc 0.277 	 macro_f1 0.482 	 micro_f1 0.518 	 weighted_f1 0.487
Epoch 24 	 train_loss 0.098 	 val_acc 0.275 	 macro_f1 0.483 	 micro_f1 0.515 	 weighted_f1 0.484
Epoch 25 	 train_loss 0.097 	 val_acc 0.277 	 macro_f1 0.482 	 micro_f1 0.515 	 weighted_f1 0.484
Epoch 26 	 train_loss 0.097 	 val_acc 0.278 	 macro_f1 0.482 	 micro_f1 0.516 	 weighted_f1 0.484
Epoch 27 	 train_loss 0.097 	 val_acc 0.279 	 macro_f1 0.483 	 micro_f1 0.518 	 weighted_f1 0.487
Epoch 28 	 train_loss 0.097 	 val_acc 0.277 	 macro_f1 0.479 	 micro_f1 0.514 	 weighted_f1 0.483
Epoch 29 	 train_loss 0.097 	 val_acc 0.278 	 macro_f1 0.482 	 micro_f1 0.517 	 weighted_f1 0.486
Epoch 30 	 train_loss 0.097 	 val_acc 0.279 	 macro_f1 0.483 	 micro_f1 0.519 	 weighted_f1 0.487
