Epoch 00 	 train_loss 0.145 	 val_acc 0.191 	 macro_f1 0.316 	 micro_f1 0.392 	 weighted_f1 0.346
Epoch 01 	 train_loss 0.098 	 val_acc 0.233 	 macro_f1 0.407 	 micro_f1 0.460 	 weighted_f1 0.421
Epoch 02 	 train_loss 0.095 	 val_acc 0.247 	 macro_f1 0.432 	 micro_f1 0.478 	 weighted_f1 0.443
Epoch 03 	 train_loss 0.093 	 val_acc 0.253 	 macro_f1 0.444 	 micro_f1 0.486 	 weighted_f1 0.451
Epoch 04 	 train_loss 0.092 	 val_acc 0.260 	 macro_f1 0.456 	 micro_f1 0.498 	 weighted_f1 0.463
Epoch 05 	 train_loss 0.091 	 val_acc 0.263 	 macro_f1 0.460 	 micro_f1 0.501 	 weighted_f1 0.467
Epoch 06 	 train_loss 0.090 	 val_acc 0.265 	 macro_f1 0.462 	 micro_f1 0.501 	 weighted_f1 0.467
Epoch 07 	 train_loss 0.090 	 val_acc 0.268 	 macro_f1 0.464 	 micro_f1 0.505 	 weighted_f1 0.470
Epoch 08 	 train_loss 0.089 	 val_acc 0.271 	 macro_f1 0.472 	 micro_f1 0.510 	 weighted_f1 0.477
Epoch 09 	 train_loss 0.089 	 val_acc 0.272 	 macro_f1 0.475 	 micro_f1 0.513 	 weighted_f1 0.481
Epoch 10 	 train_loss 0.089 	 val_acc 0.277 	 macro_f1 0.480 	 micro_f1 0.518 	 weighted_f1 0.486
Epoch 11 	 train_loss 0.088 	 val_acc 0.276 	 macro_f1 0.481 	 micro_f1 0.518 	 weighted_f1 0.486
Epoch 12 	 train_loss 0.088 	 val_acc 0.277 	 macro_f1 0.482 	 micro_f1 0.518 	 weighted_f1 0.486
Epoch 13 	 train_loss 0.088 	 val_acc 0.279 	 macro_f1 0.482 	 micro_f1 0.521 	 weighted_f1 0.488
Epoch 14 	 train_loss 0.088 	 val_acc 0.281 	 macro_f1 0.485 	 micro_f1 0.522 	 weighted_f1 0.489
Epoch 15 	 train_loss 0.088 	 val_acc 0.281 	 macro_f1 0.485 	 micro_f1 0.520 	 weighted_f1 0.489
Epoch 16 	 train_loss 0.087 	 val_acc 0.281 	 macro_f1 0.485 	 micro_f1 0.522 	 weighted_f1 0.491
Epoch 17 	 train_loss 0.087 	 val_acc 0.283 	 macro_f1 0.488 	 micro_f1 0.526 	 weighted_f1 0.495
Epoch 18 	 train_loss 0.087 	 val_acc 0.283 	 macro_f1 0.488 	 micro_f1 0.524 	 weighted_f1 0.492
Epoch 19 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 20 	 train_loss 0.087 	 val_acc 0.283 	 macro_f1 0.489 	 micro_f1 0.525 	 weighted_f1 0.493
Epoch 21 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.492 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 22 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.489 	 micro_f1 0.526 	 weighted_f1 0.494
Epoch 23 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 24 	 train_loss 0.087 	 val_acc 0.286 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 25 	 train_loss 0.087 	 val_acc 0.285 	 macro_f1 0.492 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 26 	 train_loss 0.086 	 val_acc 0.285 	 macro_f1 0.493 	 micro_f1 0.528 	 weighted_f1 0.498
Epoch 27 	 train_loss 0.086 	 val_acc 0.283 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.495
Epoch 28 	 train_loss 0.086 	 val_acc 0.285 	 macro_f1 0.491 	 micro_f1 0.528 	 weighted_f1 0.496
Epoch 29 	 train_loss 0.086 	 val_acc 0.284 	 macro_f1 0.489 	 micro_f1 0.525 	 weighted_f1 0.494
Epoch 30 	 train_loss 0.086 	 val_acc 0.285 	 macro_f1 0.492 	 micro_f1 0.528 	 weighted_f1 0.497
Epoch 31 	 train_loss 0.086 	 val_acc 0.285 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.495
Epoch 32 	 train_loss 0.086 	 val_acc 0.286 	 macro_f1 0.491 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 33 	 train_loss 0.086 	 val_acc 0.286 	 macro_f1 0.492 	 micro_f1 0.528 	 weighted_f1 0.497
Epoch 34 	 train_loss 0.086 	 val_acc 0.286 	 macro_f1 0.491 	 micro_f1 0.527 	 weighted_f1 0.495
====== BEST EPOCH 24 ======

Epoch 24 	 train_loss 0.087 	 val_acc 0.286 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.496
