Epoch 00 	 train_loss 0.152 	 val_acc 0.176 	 macro_f1 0.290 	 micro_f1 0.366 	 weighted_f1 0.319
Epoch 01 	 train_loss 0.108 	 val_acc 0.223 	 macro_f1 0.385 	 micro_f1 0.439 	 weighted_f1 0.398
Epoch 02 	 train_loss 0.104 	 val_acc 0.237 	 macro_f1 0.412 	 micro_f1 0.460 	 weighted_f1 0.422
Epoch 03 	 train_loss 0.103 	 val_acc 0.246 	 macro_f1 0.427 	 micro_f1 0.472 	 weighted_f1 0.435
Epoch 04 	 train_loss 0.102 	 val_acc 0.251 	 macro_f1 0.437 	 micro_f1 0.480 	 weighted_f1 0.444
Epoch 05 	 train_loss 0.101 	 val_acc 0.250 	 macro_f1 0.435 	 micro_f1 0.478 	 weighted_f1 0.442
Epoch 06 	 train_loss 0.101 	 val_acc 0.256 	 macro_f1 0.446 	 micro_f1 0.486 	 weighted_f1 0.452
Epoch 07 	 train_loss 0.101 	 val_acc 0.258 	 macro_f1 0.449 	 micro_f1 0.488 	 weighted_f1 0.453
Epoch 08 	 train_loss 0.100 	 val_acc 0.261 	 macro_f1 0.454 	 micro_f1 0.494 	 weighted_f1 0.460
Epoch 09 	 train_loss 0.100 	 val_acc 0.261 	 macro_f1 0.455 	 micro_f1 0.494 	 weighted_f1 0.459
Epoch 10 	 train_loss 0.100 	 val_acc 0.262 	 macro_f1 0.458 	 micro_f1 0.496 	 weighted_f1 0.462
Epoch 11 	 train_loss 0.099 	 val_acc 0.266 	 macro_f1 0.463 	 micro_f1 0.501 	 weighted_f1 0.466
Epoch 12 	 train_loss 0.099 	 val_acc 0.269 	 macro_f1 0.468 	 micro_f1 0.505 	 weighted_f1 0.471
Epoch 13 	 train_loss 0.099 	 val_acc 0.265 	 macro_f1 0.465 	 micro_f1 0.503 	 weighted_f1 0.469
Epoch 14 	 train_loss 0.099 	 val_acc 0.271 	 macro_f1 0.471 	 micro_f1 0.510 	 weighted_f1 0.476
Epoch 15 	 train_loss 0.099 	 val_acc 0.270 	 macro_f1 0.470 	 micro_f1 0.507 	 weighted_f1 0.474
Epoch 16 	 train_loss 0.099 	 val_acc 0.271 	 macro_f1 0.472 	 micro_f1 0.509 	 weighted_f1 0.476
Epoch 17 	 train_loss 0.098 	 val_acc 0.268 	 macro_f1 0.468 	 micro_f1 0.504 	 weighted_f1 0.471
Epoch 18 	 train_loss 0.098 	 val_acc 0.271 	 macro_f1 0.472 	 micro_f1 0.508 	 weighted_f1 0.475
Epoch 19 	 train_loss 0.098 	 val_acc 0.271 	 macro_f1 0.474 	 micro_f1 0.509 	 weighted_f1 0.475
Epoch 20 	 train_loss 0.098 	 val_acc 0.272 	 macro_f1 0.474 	 micro_f1 0.510 	 weighted_f1 0.477
Epoch 21 	 train_loss 0.098 	 val_acc 0.276 	 macro_f1 0.480 	 micro_f1 0.516 	 weighted_f1 0.484
Epoch 22 	 train_loss 0.098 	 val_acc 0.274 	 macro_f1 0.474 	 micro_f1 0.511 	 weighted_f1 0.478
Epoch 23 	 train_loss 0.098 	 val_acc 0.275 	 macro_f1 0.474 	 micro_f1 0.511 	 weighted_f1 0.479
Epoch 24 	 train_loss 0.098 	 val_acc 0.276 	 macro_f1 0.480 	 micro_f1 0.515 	 weighted_f1 0.483
Epoch 25 	 train_loss 0.098 	 val_acc 0.273 	 macro_f1 0.477 	 micro_f1 0.512 	 weighted_f1 0.480
Epoch 26 	 train_loss 0.097 	 val_acc 0.277 	 macro_f1 0.480 	 micro_f1 0.516 	 weighted_f1 0.484
Epoch 27 	 train_loss 0.097 	 val_acc 0.278 	 macro_f1 0.485 	 micro_f1 0.518 	 weighted_f1 0.488
Epoch 28 	 train_loss 0.097 	 val_acc 0.279 	 macro_f1 0.484 	 micro_f1 0.518 	 weighted_f1 0.487
Epoch 29 	 train_loss 0.097 	 val_acc 0.280 	 macro_f1 0.486 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 30 	 train_loss 0.097 	 val_acc 0.278 	 macro_f1 0.480 	 micro_f1 0.515 	 weighted_f1 0.484
Epoch 31 	 train_loss 0.097 	 val_acc 0.280 	 macro_f1 0.487 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 32 	 train_loss 0.097 	 val_acc 0.280 	 macro_f1 0.485 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 33 	 train_loss 0.097 	 val_acc 0.282 	 macro_f1 0.488 	 micro_f1 0.522 	 weighted_f1 0.491
Epoch 34 	 train_loss 0.097 	 val_acc 0.281 	 macro_f1 0.486 	 micro_f1 0.520 	 weighted_f1 0.490
Epoch 35 	 train_loss 0.097 	 val_acc 0.281 	 macro_f1 0.487 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 36 	 train_loss 0.097 	 val_acc 0.281 	 macro_f1 0.487 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 37 	 train_loss 0.097 	 val_acc 0.283 	 macro_f1 0.487 	 micro_f1 0.523 	 weighted_f1 0.493
Epoch 38 	 train_loss 0.097 	 val_acc 0.281 	 macro_f1 0.487 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 39 	 train_loss 0.097 	 val_acc 0.282 	 macro_f1 0.491 	 micro_f1 0.523 	 weighted_f1 0.494
Epoch 40 	 train_loss 0.097 	 val_acc 0.282 	 macro_f1 0.490 	 micro_f1 0.524 	 weighted_f1 0.493
Epoch 41 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.488 	 micro_f1 0.523 	 weighted_f1 0.492
Epoch 42 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.491 	 micro_f1 0.526 	 weighted_f1 0.496
Epoch 43 	 train_loss 0.096 	 val_acc 0.282 	 macro_f1 0.488 	 micro_f1 0.523 	 weighted_f1 0.493
Epoch 44 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.494 	 micro_f1 0.526 	 weighted_f1 0.497
Epoch 45 	 train_loss 0.096 	 val_acc 0.283 	 macro_f1 0.489 	 micro_f1 0.523 	 weighted_f1 0.493
Epoch 46 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.492 	 micro_f1 0.525 	 weighted_f1 0.496
Epoch 47 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.492 	 micro_f1 0.527 	 weighted_f1 0.496
Epoch 48 	 train_loss 0.096 	 val_acc 0.283 	 macro_f1 0.493 	 micro_f1 0.526 	 weighted_f1 0.497
Epoch 49 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.492 	 micro_f1 0.526 	 weighted_f1 0.496
Epoch 50 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.493 	 micro_f1 0.525 	 weighted_f1 0.495
Epoch 51 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.492 	 micro_f1 0.528 	 weighted_f1 0.497
Epoch 52 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.495 	 micro_f1 0.528 	 weighted_f1 0.498
Epoch 53 	 train_loss 0.096 	 val_acc 0.284 	 macro_f1 0.493 	 micro_f1 0.528 	 weighted_f1 0.498
Epoch 54 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.493 	 micro_f1 0.528 	 weighted_f1 0.498
Epoch 55 	 train_loss 0.096 	 val_acc 0.286 	 macro_f1 0.494 	 micro_f1 0.528 	 weighted_f1 0.498
Epoch 56 	 train_loss 0.096 	 val_acc 0.286 	 macro_f1 0.497 	 micro_f1 0.529 	 weighted_f1 0.500
Epoch 57 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.492 	 micro_f1 0.526 	 weighted_f1 0.497
Epoch 58 	 train_loss 0.096 	 val_acc 0.286 	 macro_f1 0.496 	 micro_f1 0.529 	 weighted_f1 0.499
Epoch 59 	 train_loss 0.096 	 val_acc 0.285 	 macro_f1 0.496 	 micro_f1 0.528 	 weighted_f1 0.498
