Epoch 00 	 train_loss 0.147 	 val_acc 0.192 	 macro_f1 0.317 	 micro_f1 0.391 	 weighted_f1 0.346
Epoch 01 	 train_loss 0.098 	 val_acc 0.229 	 macro_f1 0.398 	 micro_f1 0.451 	 weighted_f1 0.411
Epoch 02 	 train_loss 0.095 	 val_acc 0.241 	 macro_f1 0.421 	 micro_f1 0.469 	 weighted_f1 0.432
Epoch 03 	 train_loss 0.093 	 val_acc 0.255 	 macro_f1 0.443 	 micro_f1 0.488 	 weighted_f1 0.452
Epoch 04 	 train_loss 0.092 	 val_acc 0.256 	 macro_f1 0.445 	 micro_f1 0.489 	 weighted_f1 0.454
Epoch 05 	 train_loss 0.091 	 val_acc 0.261 	 macro_f1 0.455 	 micro_f1 0.497 	 weighted_f1 0.462
Epoch 06 	 train_loss 0.091 	 val_acc 0.266 	 macro_f1 0.461 	 micro_f1 0.504 	 weighted_f1 0.469
Epoch 07 	 train_loss 0.090 	 val_acc 0.268 	 macro_f1 0.465 	 micro_f1 0.505 	 weighted_f1 0.470
Epoch 08 	 train_loss 0.090 	 val_acc 0.268 	 macro_f1 0.465 	 micro_f1 0.506 	 weighted_f1 0.472
Epoch 09 	 train_loss 0.089 	 val_acc 0.271 	 macro_f1 0.468 	 micro_f1 0.509 	 weighted_f1 0.475
Epoch 10 	 train_loss 0.089 	 val_acc 0.273 	 macro_f1 0.473 	 micro_f1 0.512 	 weighted_f1 0.478
Epoch 11 	 train_loss 0.089 	 val_acc 0.275 	 macro_f1 0.476 	 micro_f1 0.515 	 weighted_f1 0.482
Epoch 12 	 train_loss 0.089 	 val_acc 0.275 	 macro_f1 0.479 	 micro_f1 0.517 	 weighted_f1 0.484
Epoch 13 	 train_loss 0.088 	 val_acc 0.276 	 macro_f1 0.477 	 micro_f1 0.515 	 weighted_f1 0.482
Epoch 14 	 train_loss 0.088 	 val_acc 0.277 	 macro_f1 0.479 	 micro_f1 0.516 	 weighted_f1 0.484
Epoch 15 	 train_loss 0.088 	 val_acc 0.278 	 macro_f1 0.482 	 micro_f1 0.520 	 weighted_f1 0.487
Epoch 16 	 train_loss 0.088 	 val_acc 0.280 	 macro_f1 0.483 	 micro_f1 0.521 	 weighted_f1 0.488
Epoch 17 	 train_loss 0.088 	 val_acc 0.279 	 macro_f1 0.484 	 micro_f1 0.521 	 weighted_f1 0.488
Epoch 18 	 train_loss 0.088 	 val_acc 0.281 	 macro_f1 0.483 	 micro_f1 0.521 	 weighted_f1 0.490
Epoch 19 	 train_loss 0.087 	 val_acc 0.282 	 macro_f1 0.486 	 micro_f1 0.522 	 weighted_f1 0.490
Epoch 20 	 train_loss 0.087 	 val_acc 0.280 	 macro_f1 0.485 	 micro_f1 0.521 	 weighted_f1 0.488
Epoch 21 	 train_loss 0.087 	 val_acc 0.281 	 macro_f1 0.485 	 micro_f1 0.521 	 weighted_f1 0.489
Epoch 22 	 train_loss 0.087 	 val_acc 0.282 	 macro_f1 0.490 	 micro_f1 0.524 	 weighted_f1 0.493
Epoch 23 	 train_loss 0.087 	 val_acc 0.283 	 macro_f1 0.491 	 micro_f1 0.526 	 weighted_f1 0.494
Epoch 24 	 train_loss 0.087 	 val_acc 0.282 	 macro_f1 0.489 	 micro_f1 0.524 	 weighted_f1 0.492
Epoch 25 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.488 	 micro_f1 0.524 	 weighted_f1 0.493
Epoch 26 	 train_loss 0.087 	 val_acc 0.283 	 macro_f1 0.489 	 micro_f1 0.525 	 weighted_f1 0.494
Epoch 27 	 train_loss 0.087 	 val_acc 0.285 	 macro_f1 0.489 	 micro_f1 0.527 	 weighted_f1 0.495
Epoch 28 	 train_loss 0.087 	 val_acc 0.284 	 macro_f1 0.489 	 micro_f1 0.526 	 weighted_f1 0.494
Epoch 29 	 train_loss 0.086 	 val_acc 0.284 	 macro_f1 0.490 	 micro_f1 0.527 	 weighted_f1 0.495
Epoch 30 	 train_loss 0.086 	 val_acc 0.283 	 macro_f1 0.491 	 micro_f1 0.526 	 weighted_f1 0.495
