Epoch 00 	 train_loss 0.1239 	 val_acc 0.1990 	 macro_f1 0.3944
Epoch 01 	 train_loss 0.0956 	 val_acc 0.2064 	 macro_f1 0.4070
Epoch 02 	 train_loss 0.0940 	 val_acc 0.2070 	 macro_f1 0.4009
Epoch 03 	 train_loss 0.0934 	 val_acc 0.2096 	 macro_f1 0.4046
Epoch 04 	 train_loss 0.0931 	 val_acc 0.2088 	 macro_f1 0.4073
Epoch 05 	 train_loss 0.0929 	 val_acc 0.2106 	 macro_f1 0.4051
Epoch 06 	 train_loss 0.0927 	 val_acc 0.2120 	 macro_f1 0.4105
Epoch 07 	 train_loss 0.0925 	 val_acc 0.2110 	 macro_f1 0.4096
Epoch 08 	 train_loss 0.0924 	 val_acc 0.2145 	 macro_f1 0.4133
Epoch 09 	 train_loss 0.0922 	 val_acc 0.2120 	 macro_f1 0.4103
Epoch 10 	 train_loss 0.0921 	 val_acc 0.2145 	 macro_f1 0.4131
Epoch 11 	 train_loss 0.0919 	 val_acc 0.2082 	 macro_f1 0.4123
Epoch 12 	 train_loss 0.0917 	 val_acc 0.2151 	 macro_f1 0.4099
Epoch 13 	 train_loss 0.0916 	 val_acc 0.2127 	 macro_f1 0.4129
Epoch 14 	 train_loss 0.0915 	 val_acc 0.2140 	 macro_f1 0.4157
Epoch 15 	 train_loss 0.0914 	 val_acc 0.2119 	 macro_f1 0.4061
Epoch 16 	 train_loss 0.0912 	 val_acc 0.2146 	 macro_f1 0.4131
Epoch 17 	 train_loss 0.0910 	 val_acc 0.2163 	 macro_f1 0.4172
Epoch 18 	 train_loss 0.0909 	 val_acc 0.2166 	 macro_f1 0.4099
Epoch 19 	 train_loss 0.0907 	 val_acc 0.2163 	 macro_f1 0.4127
Epoch 20 	 train_loss 0.0906 	 val_acc 0.2168 	 macro_f1 0.4135
Epoch 21 	 train_loss 0.0905 	 val_acc 0.2161 	 macro_f1 0.4115
Epoch 22 	 train_loss 0.0903 	 val_acc 0.2182 	 macro_f1 0.4159
Epoch 23 	 train_loss 0.0901 	 val_acc 0.2174 	 macro_f1 0.4091
Epoch 24 	 train_loss 0.0900 	 val_acc 0.2177 	 macro_f1 0.4187
Epoch 25 	 train_loss 0.0899 	 val_acc 0.2155 	 macro_f1 0.4119
Epoch 26 	 train_loss 0.0898 	 val_acc 0.2146 	 macro_f1 0.4118
Epoch 27 	 train_loss 0.0896 	 val_acc 0.2178 	 macro_f1 0.4146
Epoch 28 	 train_loss 0.0895 	 val_acc 0.2215 	 macro_f1 0.4214
Epoch 29 	 train_loss 0.0894 	 val_acc 0.2194 	 macro_f1 0.4169
Epoch 30 	 train_loss 0.0892 	 val_acc 0.2204 	 macro_f1 0.4175
Epoch 31 	 train_loss 0.0891 	 val_acc 0.2176 	 macro_f1 0.4128
Epoch 32 	 train_loss 0.0890 	 val_acc 0.2210 	 macro_f1 0.4200
Epoch 33 	 train_loss 0.0889 	 val_acc 0.2200 	 macro_f1 0.4140
Epoch 34 	 train_loss 0.0887 	 val_acc 0.2190 	 macro_f1 0.4150
Epoch 35 	 train_loss 0.0886 	 val_acc 0.2207 	 macro_f1 0.4186
Epoch 36 	 train_loss 0.0885 	 val_acc 0.2196 	 macro_f1 0.4122
Epoch 37 	 train_loss 0.0884 	 val_acc 0.2200 	 macro_f1 0.4177
Epoch 38 	 train_loss 0.0883 	 val_acc 0.2195 	 macro_f1 0.4131
======
Best epoch 28 	 val_acc 0.2215 	 macro_f1 0.4214
