Epoch 00 	 train_loss 0.1434 	 val_acc 0.1708 	 macro_f1 0.3457
Epoch 01 	 train_loss 0.1098 	 val_acc 0.1824 	 macro_f1 0.3610
Epoch 02 	 train_loss 0.1081 	 val_acc 0.1834 	 macro_f1 0.3638
Epoch 03 	 train_loss 0.1076 	 val_acc 0.1841 	 macro_f1 0.3632
Epoch 04 	 train_loss 0.1074 	 val_acc 0.1882 	 macro_f1 0.3698
Epoch 05 	 train_loss 0.1073 	 val_acc 0.1845 	 macro_f1 0.3732
Epoch 06 	 train_loss 0.1072 	 val_acc 0.1833 	 macro_f1 0.3724
Epoch 07 	 train_loss 0.1070 	 val_acc 0.1885 	 macro_f1 0.3787
Epoch 08 	 train_loss 0.1069 	 val_acc 0.1850 	 macro_f1 0.3720
Epoch 09 	 train_loss 0.1068 	 val_acc 0.1888 	 macro_f1 0.3788
Epoch 10 	 train_loss 0.1067 	 val_acc 0.1873 	 macro_f1 0.3777
Epoch 11 	 train_loss 0.1067 	 val_acc 0.1894 	 macro_f1 0.3713
Epoch 12 	 train_loss 0.1065 	 val_acc 0.1894 	 macro_f1 0.3772
Epoch 13 	 train_loss 0.1064 	 val_acc 0.1909 	 macro_f1 0.3785
Epoch 14 	 train_loss 0.1063 	 val_acc 0.1870 	 macro_f1 0.3711
Epoch 15 	 train_loss 0.1061 	 val_acc 0.1923 	 macro_f1 0.3820
Epoch 16 	 train_loss 0.1061 	 val_acc 0.1909 	 macro_f1 0.3761
Epoch 17 	 train_loss 0.1059 	 val_acc 0.1894 	 macro_f1 0.3733
Epoch 18 	 train_loss 0.1057 	 val_acc 0.1923 	 macro_f1 0.3777
Epoch 19 	 train_loss 0.1056 	 val_acc 0.1898 	 macro_f1 0.3738
Epoch 20 	 train_loss 0.1055 	 val_acc 0.1908 	 macro_f1 0.3649
Epoch 21 	 train_loss 0.1054 	 val_acc 0.1913 	 macro_f1 0.3793
Epoch 22 	 train_loss 0.1053 	 val_acc 0.1935 	 macro_f1 0.3754
Epoch 23 	 train_loss 0.1052 	 val_acc 0.1887 	 macro_f1 0.3714
Epoch 24 	 train_loss 0.1050 	 val_acc 0.1939 	 macro_f1 0.3807
Epoch 25 	 train_loss 0.1050 	 val_acc 0.1921 	 macro_f1 0.3736
Epoch 26 	 train_loss 0.1049 	 val_acc 0.1934 	 macro_f1 0.3715
Epoch 27 	 train_loss 0.1047 	 val_acc 0.1954 	 macro_f1 0.3801
Epoch 28 	 train_loss 0.1046 	 val_acc 0.1932 	 macro_f1 0.3766
Epoch 29 	 train_loss 0.1045 	 val_acc 0.1924 	 macro_f1 0.3778
Epoch 30 	 train_loss 0.1044 	 val_acc 0.1924 	 macro_f1 0.3723
Epoch 31 	 train_loss 0.1043 	 val_acc 0.1958 	 macro_f1 0.3751
Epoch 32 	 train_loss 0.1042 	 val_acc 0.1944 	 macro_f1 0.3726
Epoch 33 	 train_loss 0.1041 	 val_acc 0.1957 	 macro_f1 0.3801
Epoch 34 	 train_loss 0.1041 	 val_acc 0.1947 	 macro_f1 0.3797
Epoch 35 	 train_loss 0.1040 	 val_acc 0.1928 	 macro_f1 0.3773
Epoch 36 	 train_loss 0.1039 	 val_acc 0.1927 	 macro_f1 0.3752
Epoch 37 	 train_loss 0.1038 	 val_acc 0.1945 	 macro_f1 0.3790
Epoch 38 	 train_loss 0.1038 	 val_acc 0.1943 	 macro_f1 0.3773
Epoch 39 	 train_loss 0.1037 	 val_acc 0.1951 	 macro_f1 0.3788
Epoch 40 	 train_loss 0.1037 	 val_acc 0.1949 	 macro_f1 0.3780
Epoch 41 	 train_loss 0.1036 	 val_acc 0.1944 	 macro_f1 0.3770
======
Best epoch 31 	 val_acc 0.1958 	 macro_f1 0.3751
