Epoch 00 	 train_loss 0.1283 	 val_acc 0.1731 	 macro_f1 0.3068
Epoch 01 	 train_loss 0.0953 	 val_acc 0.1950 	 macro_f1 0.3564
Epoch 02 	 train_loss 0.0926 	 val_acc 0.2026 	 macro_f1 0.3739
Epoch 03 	 train_loss 0.0914 	 val_acc 0.2077 	 macro_f1 0.3835
Epoch 04 	 train_loss 0.0907 	 val_acc 0.2093 	 macro_f1 0.3883
Epoch 05 	 train_loss 0.0902 	 val_acc 0.2117 	 macro_f1 0.3944
Epoch 06 	 train_loss 0.0898 	 val_acc 0.2136 	 macro_f1 0.3963
Epoch 07 	 train_loss 0.0895 	 val_acc 0.2150 	 macro_f1 0.3978
Epoch 08 	 train_loss 0.0893 	 val_acc 0.2144 	 macro_f1 0.3971
Epoch 09 	 train_loss 0.0891 	 val_acc 0.2170 	 macro_f1 0.4018
Epoch 10 	 train_loss 0.0889 	 val_acc 0.2190 	 macro_f1 0.4055
Epoch 11 	 train_loss 0.0888 	 val_acc 0.2168 	 macro_f1 0.4018
Epoch 12 	 train_loss 0.0887 	 val_acc 0.2189 	 macro_f1 0.4057
Epoch 13 	 train_loss 0.0886 	 val_acc 0.2178 	 macro_f1 0.4049
Epoch 14 	 train_loss 0.0885 	 val_acc 0.2183 	 macro_f1 0.4065
Epoch 15 	 train_loss 0.0884 	 val_acc 0.2200 	 macro_f1 0.4081
Epoch 16 	 train_loss 0.0883 	 val_acc 0.2202 	 macro_f1 0.4077
Epoch 17 	 train_loss 0.0883 	 val_acc 0.2205 	 macro_f1 0.4089
Epoch 18 	 train_loss 0.0882 	 val_acc 0.2202 	 macro_f1 0.4094
Epoch 19 	 train_loss 0.0882 	 val_acc 0.2199 	 macro_f1 0.4076
Epoch 20 	 train_loss 0.0881 	 val_acc 0.2205 	 macro_f1 0.4081
Epoch 21 	 train_loss 0.0881 	 val_acc 0.2207 	 macro_f1 0.4095
Epoch 22 	 train_loss 0.0880 	 val_acc 0.2209 	 macro_f1 0.4083
Epoch 23 	 train_loss 0.0880 	 val_acc 0.2209 	 macro_f1 0.4100
Epoch 24 	 train_loss 0.0880 	 val_acc 0.2213 	 macro_f1 0.4089
Epoch 25 	 train_loss 0.0879 	 val_acc 0.2222 	 macro_f1 0.4130
Epoch 26 	 train_loss 0.0879 	 val_acc 0.2207 	 macro_f1 0.4097
Epoch 27 	 train_loss 0.0879 	 val_acc 0.2214 	 macro_f1 0.4096
Epoch 28 	 train_loss 0.0878 	 val_acc 0.2217 	 macro_f1 0.4102
Epoch 29 	 train_loss 0.0878 	 val_acc 0.2222 	 macro_f1 0.4093
Epoch 30 	 train_loss 0.0878 	 val_acc 0.2216 	 macro_f1 0.4113
Epoch 31 	 train_loss 0.0878 	 val_acc 0.2228 	 macro_f1 0.4112
Epoch 32 	 train_loss 0.0877 	 val_acc 0.2217 	 macro_f1 0.4117
Epoch 33 	 train_loss 0.0877 	 val_acc 0.2221 	 macro_f1 0.4126
Epoch 34 	 train_loss 0.0877 	 val_acc 0.2221 	 macro_f1 0.4108
Epoch 35 	 train_loss 0.0877 	 val_acc 0.2219 	 macro_f1 0.4110
Epoch 36 	 train_loss 0.0876 	 val_acc 0.2223 	 macro_f1 0.4129
Epoch 37 	 train_loss 0.0876 	 val_acc 0.2224 	 macro_f1 0.4116
Epoch 38 	 train_loss 0.0876 	 val_acc 0.2220 	 macro_f1 0.4115
Epoch 39 	 train_loss 0.0876 	 val_acc 0.2224 	 macro_f1 0.4116
Epoch 40 	 train_loss 0.0876 	 val_acc 0.2221 	 macro_f1 0.4111
Epoch 41 	 train_loss 0.0876 	 val_acc 0.2222 	 macro_f1 0.4120
======
Best epoch 41 	 val_acc 0.2228 	 macro_f1 0.4112
