Epoch 00 	 train_loss 0.1291 	 val_acc 0.1717 	 macro_f1 0.3018
Epoch 01 	 train_loss 0.0954 	 val_acc 0.1955 	 macro_f1 0.3570
Epoch 02 	 train_loss 0.0927 	 val_acc 0.2021 	 macro_f1 0.3748
Epoch 03 	 train_loss 0.0915 	 val_acc 0.2067 	 macro_f1 0.3836
Epoch 04 	 train_loss 0.0907 	 val_acc 0.2099 	 macro_f1 0.3872
Epoch 05 	 train_loss 0.0902 	 val_acc 0.2111 	 macro_f1 0.3923
Epoch 06 	 train_loss 0.0898 	 val_acc 0.2133 	 macro_f1 0.3945
Epoch 07 	 train_loss 0.0895 	 val_acc 0.2149 	 macro_f1 0.4011
Epoch 08 	 train_loss 0.0893 	 val_acc 0.2159 	 macro_f1 0.3977
Epoch 09 	 train_loss 0.0891 	 val_acc 0.2166 	 macro_f1 0.4030
Epoch 10 	 train_loss 0.0889 	 val_acc 0.2176 	 macro_f1 0.4039
Epoch 11 	 train_loss 0.0888 	 val_acc 0.2162 	 macro_f1 0.4039
Epoch 12 	 train_loss 0.0887 	 val_acc 0.2189 	 macro_f1 0.4054
Epoch 13 	 train_loss 0.0886 	 val_acc 0.2186 	 macro_f1 0.4069
Epoch 14 	 train_loss 0.0885 	 val_acc 0.2190 	 macro_f1 0.4043
Epoch 15 	 train_loss 0.0884 	 val_acc 0.2200 	 macro_f1 0.4071
Epoch 16 	 train_loss 0.0883 	 val_acc 0.2214 	 macro_f1 0.4102
Epoch 17 	 train_loss 0.0883 	 val_acc 0.2199 	 macro_f1 0.4070
Epoch 18 	 train_loss 0.0882 	 val_acc 0.2209 	 macro_f1 0.4098
Epoch 19 	 train_loss 0.0882 	 val_acc 0.2213 	 macro_f1 0.4097
Epoch 20 	 train_loss 0.0881 	 val_acc 0.2207 	 macro_f1 0.4118
Epoch 21 	 train_loss 0.0881 	 val_acc 0.2209 	 macro_f1 0.4093
Epoch 22 	 train_loss 0.0880 	 val_acc 0.2216 	 macro_f1 0.4085
Epoch 23 	 train_loss 0.0880 	 val_acc 0.2209 	 macro_f1 0.4080
Epoch 24 	 train_loss 0.0880 	 val_acc 0.2201 	 macro_f1 0.4107
Epoch 25 	 train_loss 0.0879 	 val_acc 0.2214 	 macro_f1 0.4092
Epoch 26 	 train_loss 0.0879 	 val_acc 0.2219 	 macro_f1 0.4112
Epoch 27 	 train_loss 0.0879 	 val_acc 0.2205 	 macro_f1 0.4090
Epoch 28 	 train_loss 0.0878 	 val_acc 0.2214 	 macro_f1 0.4118
Epoch 29 	 train_loss 0.0878 	 val_acc 0.2227 	 macro_f1 0.4118
Epoch 30 	 train_loss 0.0878 	 val_acc 0.2223 	 macro_f1 0.4113
Epoch 31 	 train_loss 0.0878 	 val_acc 0.2211 	 macro_f1 0.4096
Epoch 32 	 train_loss 0.0877 	 val_acc 0.2220 	 macro_f1 0.4119
Epoch 33 	 train_loss 0.0877 	 val_acc 0.2228 	 macro_f1 0.4129
Epoch 34 	 train_loss 0.0877 	 val_acc 0.2218 	 macro_f1 0.4123
Epoch 35 	 train_loss 0.0877 	 val_acc 0.2218 	 macro_f1 0.4111
Epoch 36 	 train_loss 0.0877 	 val_acc 0.2224 	 macro_f1 0.4117
Epoch 37 	 train_loss 0.0876 	 val_acc 0.2221 	 macro_f1 0.4113
Epoch 38 	 train_loss 0.0876 	 val_acc 0.2223 	 macro_f1 0.4122
Epoch 39 	 train_loss 0.0876 	 val_acc 0.2223 	 macro_f1 0.4116
Epoch 40 	 train_loss 0.0876 	 val_acc 0.2218 	 macro_f1 0.4103
Epoch 41 	 train_loss 0.0876 	 val_acc 0.2218 	 macro_f1 0.4111
Epoch 42 	 train_loss 0.0876 	 val_acc 0.2222 	 macro_f1 0.4112
Epoch 43 	 train_loss 0.0876 	 val_acc 0.2223 	 macro_f1 0.4119
======
Best epoch 43 	 val_acc 0.2228 	 macro_f1 0.4129
