Epoch 00 	 train_loss 0.1444 	 val_acc 0.2052 	 macro_f1 0.3728
Epoch 01 	 train_loss 0.1039 	 val_acc 0.2435 	 macro_f1 0.4516
Epoch 02 	 train_loss 0.1008 	 val_acc 0.2536 	 macro_f1 0.4753
Epoch 03 	 train_loss 0.0994 	 val_acc 0.2610 	 macro_f1 0.4857
Epoch 04 	 train_loss 0.0987 	 val_acc 0.2642 	 macro_f1 0.4922
Epoch 05 	 train_loss 0.0982 	 val_acc 0.2665 	 macro_f1 0.4958
Epoch 06 	 train_loss 0.0978 	 val_acc 0.2689 	 macro_f1 0.5005
Epoch 07 	 train_loss 0.0974 	 val_acc 0.2705 	 macro_f1 0.5023
Epoch 08 	 train_loss 0.0972 	 val_acc 0.2715 	 macro_f1 0.5047
Epoch 09 	 train_loss 0.0970 	 val_acc 0.2720 	 macro_f1 0.5050
Epoch 10 	 train_loss 0.0969 	 val_acc 0.2726 	 macro_f1 0.5082
Epoch 11 	 train_loss 0.0968 	 val_acc 0.2740 	 macro_f1 0.5090
Epoch 12 	 train_loss 0.0967 	 val_acc 0.2744 	 macro_f1 0.5111
Epoch 13 	 train_loss 0.0965 	 val_acc 0.2753 	 macro_f1 0.5118
Epoch 14 	 train_loss 0.0965 	 val_acc 0.2755 	 macro_f1 0.5119
Epoch 15 	 train_loss 0.0964 	 val_acc 0.2760 	 macro_f1 0.5115
Epoch 16 	 train_loss 0.0963 	 val_acc 0.2764 	 macro_f1 0.5124
Epoch 17 	 train_loss 0.0962 	 val_acc 0.2767 	 macro_f1 0.5141
Epoch 18 	 train_loss 0.0962 	 val_acc 0.2776 	 macro_f1 0.5154
Epoch 19 	 train_loss 0.0962 	 val_acc 0.2769 	 macro_f1 0.5134
Epoch 20 	 train_loss 0.0962 	 val_acc 0.2771 	 macro_f1 0.5129
Epoch 21 	 train_loss 0.0961 	 val_acc 0.2777 	 macro_f1 0.5164
Epoch 22 	 train_loss 0.0961 	 val_acc 0.2773 	 macro_f1 0.5153
Epoch 23 	 train_loss 0.0961 	 val_acc 0.2774 	 macro_f1 0.5155
Epoch 24 	 train_loss 0.0961 	 val_acc 0.2774 	 macro_f1 0.5169
Epoch 25 	 train_loss 0.0960 	 val_acc 0.2778 	 macro_f1 0.5138
Epoch 26 	 train_loss 0.0960 	 val_acc 0.2775 	 macro_f1 0.5163
Epoch 27 	 train_loss 0.0960 	 val_acc 0.2780 	 macro_f1 0.5165
Epoch 28 	 train_loss 0.0959 	 val_acc 0.2776 	 macro_f1 0.5151
Epoch 29 	 train_loss 0.0959 	 val_acc 0.2790 	 macro_f1 0.5184
Epoch 30 	 train_loss 0.0959 	 val_acc 0.2779 	 macro_f1 0.5175
Epoch 31 	 train_loss 0.0959 	 val_acc 0.2775 	 macro_f1 0.5153
Epoch 32 	 train_loss 0.0958 	 val_acc 0.2784 	 macro_f1 0.5171
Epoch 33 	 train_loss 0.0959 	 val_acc 0.2784 	 macro_f1 0.5162
Epoch 34 	 train_loss 0.0958 	 val_acc 0.2784 	 macro_f1 0.5176
Epoch 35 	 train_loss 0.0958 	 val_acc 0.2788 	 macro_f1 0.5176
Epoch 36 	 train_loss 0.0958 	 val_acc 0.2790 	 macro_f1 0.5176
Epoch 37 	 train_loss 0.0958 	 val_acc 0.2787 	 macro_f1 0.5163
Epoch 38 	 train_loss 0.0958 	 val_acc 0.2787 	 macro_f1 0.5168
Epoch 39 	 train_loss 0.0957 	 val_acc 0.2789 	 macro_f1 0.5170
Epoch 40 	 train_loss 0.0958 	 val_acc 0.2792 	 macro_f1 0.5176
Epoch 41 	 train_loss 0.0957 	 val_acc 0.2787 	 macro_f1 0.5173
Epoch 42 	 train_loss 0.0958 	 val_acc 0.2787 	 macro_f1 0.5174
Epoch 43 	 train_loss 0.0958 	 val_acc 0.2790 	 macro_f1 0.5174
Epoch 44 	 train_loss 0.0957 	 val_acc 0.2791 	 macro_f1 0.5172
Epoch 45 	 train_loss 0.0957 	 val_acc 0.2789 	 macro_f1 0.5178
Epoch 46 	 train_loss 0.0957 	 val_acc 0.2790 	 macro_f1 0.5178
Epoch 47 	 train_loss 0.0957 	 val_acc 0.2791 	 macro_f1 0.5177
Epoch 48 	 train_loss 0.0957 	 val_acc 0.2791 	 macro_f1 0.5179
Epoch 49 	 train_loss 0.0957 	 val_acc 0.2790 	 macro_f1 0.5178
Epoch 50 	 train_loss 0.0957 	 val_acc 0.2790 	 macro_f1 0.5178
======
Best epoch 50 	 val_acc 0.2792 	 macro_f1 0.5176
