Epoch 00 	 train_loss 0.1364 	 val_acc 0.2051 	 macro_f1 0.3694
Epoch 01 	 train_loss 0.0946 	 val_acc 0.2393 	 macro_f1 0.4402
Epoch 02 	 train_loss 0.0911 	 val_acc 0.2517 	 macro_f1 0.4635
Epoch 03 	 train_loss 0.0896 	 val_acc 0.2564 	 macro_f1 0.4733
Epoch 04 	 train_loss 0.0887 	 val_acc 0.2603 	 macro_f1 0.4784
Epoch 05 	 train_loss 0.0881 	 val_acc 0.2639 	 macro_f1 0.4846
Epoch 06 	 train_loss 0.0877 	 val_acc 0.2658 	 macro_f1 0.4892
Epoch 07 	 train_loss 0.0873 	 val_acc 0.2679 	 macro_f1 0.4898
Epoch 08 	 train_loss 0.0871 	 val_acc 0.2681 	 macro_f1 0.4904
Epoch 09 	 train_loss 0.0868 	 val_acc 0.2688 	 macro_f1 0.4932
Epoch 10 	 train_loss 0.0867 	 val_acc 0.2691 	 macro_f1 0.4937
Epoch 11 	 train_loss 0.0865 	 val_acc 0.2709 	 macro_f1 0.4967
Epoch 12 	 train_loss 0.0864 	 val_acc 0.2720 	 macro_f1 0.4983
Epoch 13 	 train_loss 0.0863 	 val_acc 0.2720 	 macro_f1 0.4992
Epoch 14 	 train_loss 0.0862 	 val_acc 0.2726 	 macro_f1 0.4993
Epoch 15 	 train_loss 0.0861 	 val_acc 0.2716 	 macro_f1 0.4988
Epoch 16 	 train_loss 0.0860 	 val_acc 0.2733 	 macro_f1 0.4999
Epoch 17 	 train_loss 0.0860 	 val_acc 0.2733 	 macro_f1 0.4990
Epoch 18 	 train_loss 0.0859 	 val_acc 0.2738 	 macro_f1 0.4985
Epoch 19 	 train_loss 0.0859 	 val_acc 0.2737 	 macro_f1 0.5002
Epoch 20 	 train_loss 0.0858 	 val_acc 0.2742 	 macro_f1 0.5016
Epoch 21 	 train_loss 0.0858 	 val_acc 0.2741 	 macro_f1 0.5018
Epoch 22 	 train_loss 0.0858 	 val_acc 0.2744 	 macro_f1 0.5014
Epoch 23 	 train_loss 0.0857 	 val_acc 0.2741 	 macro_f1 0.5017
Epoch 24 	 train_loss 0.0857 	 val_acc 0.2746 	 macro_f1 0.5030
Epoch 25 	 train_loss 0.0857 	 val_acc 0.2751 	 macro_f1 0.5034
Epoch 26 	 train_loss 0.0856 	 val_acc 0.2757 	 macro_f1 0.5037
Epoch 27 	 train_loss 0.0856 	 val_acc 0.2751 	 macro_f1 0.5031
Epoch 28 	 train_loss 0.0856 	 val_acc 0.2747 	 macro_f1 0.5033
Epoch 29 	 train_loss 0.0855 	 val_acc 0.2749 	 macro_f1 0.5025
Epoch 30 	 train_loss 0.0855 	 val_acc 0.2759 	 macro_f1 0.5026
Epoch 31 	 train_loss 0.0855 	 val_acc 0.2755 	 macro_f1 0.5032
Epoch 32 	 train_loss 0.0855 	 val_acc 0.2755 	 macro_f1 0.5047
Epoch 33 	 train_loss 0.0855 	 val_acc 0.2756 	 macro_f1 0.5029
Epoch 34 	 train_loss 0.0854 	 val_acc 0.2756 	 macro_f1 0.5031
