Epoch 00 	 train_loss 0.1328 	 val_acc 0.1845 	 macro_f1 0.3150
Epoch 01 	 train_loss 0.1062 	 val_acc 0.1928 	 macro_f1 0.3303
Epoch 02 	 train_loss 0.1042 	 val_acc 0.1991 	 macro_f1 0.3415
Epoch 03 	 train_loss 0.1033 	 val_acc 0.1963 	 macro_f1 0.3387
Epoch 04 	 train_loss 0.1027 	 val_acc 0.2018 	 macro_f1 0.3536
Epoch 05 	 train_loss 0.1023 	 val_acc 0.2046 	 macro_f1 0.3571
Epoch 06 	 train_loss 0.1020 	 val_acc 0.2068 	 macro_f1 0.3598
Epoch 07 	 train_loss 0.1017 	 val_acc 0.2061 	 macro_f1 0.3611
Epoch 08 	 train_loss 0.1015 	 val_acc 0.2108 	 macro_f1 0.3628
Epoch 09 	 train_loss 0.1013 	 val_acc 0.2092 	 macro_f1 0.3673
Epoch 10 	 train_loss 0.1011 	 val_acc 0.2084 	 macro_f1 0.3587
Epoch 11 	 train_loss 0.1009 	 val_acc 0.2085 	 macro_f1 0.3635
Epoch 12 	 train_loss 0.1008 	 val_acc 0.2077 	 macro_f1 0.3673
Epoch 13 	 train_loss 0.1007 	 val_acc 0.2116 	 macro_f1 0.3673
Epoch 14 	 train_loss 0.1005 	 val_acc 0.2106 	 macro_f1 0.3630
Epoch 15 	 train_loss 0.1004 	 val_acc 0.2093 	 macro_f1 0.3663
Epoch 16 	 train_loss 0.1002 	 val_acc 0.2135 	 macro_f1 0.3725
Epoch 17 	 train_loss 0.1001 	 val_acc 0.2164 	 macro_f1 0.3763
Epoch 18 	 train_loss 0.1000 	 val_acc 0.2140 	 macro_f1 0.3761
Epoch 19 	 train_loss 0.0998 	 val_acc 0.2149 	 macro_f1 0.3796
Epoch 20 	 train_loss 0.0997 	 val_acc 0.2143 	 macro_f1 0.3778
Epoch 21 	 train_loss 0.0995 	 val_acc 0.2160 	 macro_f1 0.3781
Epoch 22 	 train_loss 0.0995 	 val_acc 0.2136 	 macro_f1 0.3780
Epoch 23 	 train_loss 0.0994 	 val_acc 0.2168 	 macro_f1 0.3802
Epoch 24 	 train_loss 0.0992 	 val_acc 0.2179 	 macro_f1 0.3820
Epoch 25 	 train_loss 0.0991 	 val_acc 0.2147 	 macro_f1 0.3767
Epoch 26 	 train_loss 0.0990 	 val_acc 0.2185 	 macro_f1 0.3807
Epoch 27 	 train_loss 0.0989 	 val_acc 0.2169 	 macro_f1 0.3850
Epoch 28 	 train_loss 0.0987 	 val_acc 0.2193 	 macro_f1 0.3864
Epoch 29 	 train_loss 0.0987 	 val_acc 0.2180 	 macro_f1 0.3838
Epoch 30 	 train_loss 0.0985 	 val_acc 0.2214 	 macro_f1 0.3892
Epoch 31 	 train_loss 0.0984 	 val_acc 0.2172 	 macro_f1 0.3850
Epoch 32 	 train_loss 0.0983 	 val_acc 0.2200 	 macro_f1 0.3864
Epoch 33 	 train_loss 0.0982 	 val_acc 0.2202 	 macro_f1 0.3853
Epoch 34 	 train_loss 0.0981 	 val_acc 0.2212 	 macro_f1 0.3846
Epoch 35 	 train_loss 0.0981 	 val_acc 0.2210 	 macro_f1 0.3902
Epoch 36 	 train_loss 0.0980 	 val_acc 0.2216 	 macro_f1 0.3900
Epoch 37 	 train_loss 0.0979 	 val_acc 0.2211 	 macro_f1 0.3868
Epoch 38 	 train_loss 0.0978 	 val_acc 0.2227 	 macro_f1 0.3903
Epoch 39 	 train_loss 0.0977 	 val_acc 0.2219 	 macro_f1 0.3877
Epoch 40 	 train_loss 0.0977 	 val_acc 0.2219 	 macro_f1 0.3889
Epoch 41 	 train_loss 0.0976 	 val_acc 0.2213 	 macro_f1 0.3921
Epoch 42 	 train_loss 0.0976 	 val_acc 0.2219 	 macro_f1 0.3907
Epoch 43 	 train_loss 0.0975 	 val_acc 0.2224 	 macro_f1 0.3920
Epoch 44 	 train_loss 0.0975 	 val_acc 0.2222 	 macro_f1 0.3904
Epoch 45 	 train_loss 0.0974 	 val_acc 0.2225 	 macro_f1 0.3906
Epoch 46 	 train_loss 0.0974 	 val_acc 0.2224 	 macro_f1 0.3908
Epoch 47 	 train_loss 0.0974 	 val_acc 0.2223 	 macro_f1 0.3902
Epoch 48 	 train_loss 0.0974 	 val_acc 0.2223 	 macro_f1 0.3907
======
Best epoch 38 	 val_acc 0.2227 	 macro_f1 0.3903
