Epoch 00 	 train_loss 0.1377 	 val_acc 0.1572 	 macro_f1 0.2610
Epoch 01 	 train_loss 0.1104 	 val_acc 0.1685 	 macro_f1 0.2828
Epoch 02 	 train_loss 0.1083 	 val_acc 0.1746 	 macro_f1 0.2940
Epoch 03 	 train_loss 0.1074 	 val_acc 0.1754 	 macro_f1 0.2957
Epoch 04 	 train_loss 0.1067 	 val_acc 0.1781 	 macro_f1 0.3048
Epoch 05 	 train_loss 0.1064 	 val_acc 0.1790 	 macro_f1 0.3060
Epoch 06 	 train_loss 0.1060 	 val_acc 0.1833 	 macro_f1 0.3135
Epoch 07 	 train_loss 0.1057 	 val_acc 0.1824 	 macro_f1 0.3153
Epoch 08 	 train_loss 0.1055 	 val_acc 0.1804 	 macro_f1 0.3152
Epoch 09 	 train_loss 0.1053 	 val_acc 0.1856 	 macro_f1 0.3214
Epoch 10 	 train_loss 0.1052 	 val_acc 0.1848 	 macro_f1 0.3186
Epoch 11 	 train_loss 0.1050 	 val_acc 0.1849 	 macro_f1 0.3151
Epoch 12 	 train_loss 0.1049 	 val_acc 0.1873 	 macro_f1 0.3188
Epoch 13 	 train_loss 0.1048 	 val_acc 0.1860 	 macro_f1 0.3237
Epoch 14 	 train_loss 0.1047 	 val_acc 0.1869 	 macro_f1 0.3292
Epoch 15 	 train_loss 0.1046 	 val_acc 0.1859 	 macro_f1 0.3270
Epoch 16 	 train_loss 0.1044 	 val_acc 0.1899 	 macro_f1 0.3265
Epoch 17 	 train_loss 0.1043 	 val_acc 0.1891 	 macro_f1 0.3301
Epoch 18 	 train_loss 0.1042 	 val_acc 0.1882 	 macro_f1 0.3248
Epoch 19 	 train_loss 0.1042 	 val_acc 0.1867 	 macro_f1 0.3223
Epoch 20 	 train_loss 0.1041 	 val_acc 0.1864 	 macro_f1 0.3243
Epoch 21 	 train_loss 0.1040 	 val_acc 0.1883 	 macro_f1 0.3228
Epoch 22 	 train_loss 0.1039 	 val_acc 0.1903 	 macro_f1 0.3301
Epoch 23 	 train_loss 0.1037 	 val_acc 0.1900 	 macro_f1 0.3320
Epoch 24 	 train_loss 0.1036 	 val_acc 0.1895 	 macro_f1 0.3285
Epoch 25 	 train_loss 0.1035 	 val_acc 0.1881 	 macro_f1 0.3248
Epoch 26 	 train_loss 0.1035 	 val_acc 0.1939 	 macro_f1 0.3362
Epoch 27 	 train_loss 0.1034 	 val_acc 0.1904 	 macro_f1 0.3287
Epoch 28 	 train_loss 0.1033 	 val_acc 0.1903 	 macro_f1 0.3284
Epoch 29 	 train_loss 0.1032 	 val_acc 0.1921 	 macro_f1 0.3343
Epoch 30 	 train_loss 0.1031 	 val_acc 0.1911 	 macro_f1 0.3337
Epoch 31 	 train_loss 0.1030 	 val_acc 0.1917 	 macro_f1 0.3311
Epoch 32 	 train_loss 0.1029 	 val_acc 0.1934 	 macro_f1 0.3323
Epoch 33 	 train_loss 0.1028 	 val_acc 0.1916 	 macro_f1 0.3346
Epoch 34 	 train_loss 0.1027 	 val_acc 0.1919 	 macro_f1 0.3327
Epoch 35 	 train_loss 0.1027 	 val_acc 0.1937 	 macro_f1 0.3375
Epoch 36 	 train_loss 0.1026 	 val_acc 0.1934 	 macro_f1 0.3364
======
Best epoch 26 	 val_acc 0.1939 	 macro_f1 0.3362
