Epoch 00 	 train_loss 0.1509 	 val_acc 0.1353 	 macro_f1 0.2017
Epoch 01 	 train_loss 0.1109 	 val_acc 0.1655 	 macro_f1 0.2599
Epoch 02 	 train_loss 0.1078 	 val_acc 0.1743 	 macro_f1 0.2810
Epoch 03 	 train_loss 0.1065 	 val_acc 0.1829 	 macro_f1 0.2968
Epoch 04 	 train_loss 0.1057 	 val_acc 0.1880 	 macro_f1 0.3094
Epoch 05 	 train_loss 0.1052 	 val_acc 0.1859 	 macro_f1 0.3059
Epoch 06 	 train_loss 0.1047 	 val_acc 0.1904 	 macro_f1 0.3163
Epoch 07 	 train_loss 0.1044 	 val_acc 0.1924 	 macro_f1 0.3230
Epoch 08 	 train_loss 0.1041 	 val_acc 0.1934 	 macro_f1 0.3254
Epoch 09 	 train_loss 0.1038 	 val_acc 0.1954 	 macro_f1 0.3312
Epoch 10 	 train_loss 0.1036 	 val_acc 0.1939 	 macro_f1 0.3274
Epoch 11 	 train_loss 0.1034 	 val_acc 0.1982 	 macro_f1 0.3352
Epoch 12 	 train_loss 0.1032 	 val_acc 0.1953 	 macro_f1 0.3315
Epoch 13 	 train_loss 0.1030 	 val_acc 0.1959 	 macro_f1 0.3317
Epoch 14 	 train_loss 0.1028 	 val_acc 0.1992 	 macro_f1 0.3387
Epoch 15 	 train_loss 0.1026 	 val_acc 0.2010 	 macro_f1 0.3410
Epoch 16 	 train_loss 0.1025 	 val_acc 0.1995 	 macro_f1 0.3412
Epoch 17 	 train_loss 0.1023 	 val_acc 0.1991 	 macro_f1 0.3378
Epoch 18 	 train_loss 0.1021 	 val_acc 0.2026 	 macro_f1 0.3473
Epoch 19 	 train_loss 0.1020 	 val_acc 0.2038 	 macro_f1 0.3502
Epoch 20 	 train_loss 0.1019 	 val_acc 0.2014 	 macro_f1 0.3475
Epoch 21 	 train_loss 0.1017 	 val_acc 0.2038 	 macro_f1 0.3495
Epoch 22 	 train_loss 0.1016 	 val_acc 0.2037 	 macro_f1 0.3504
Epoch 23 	 train_loss 0.1015 	 val_acc 0.2039 	 macro_f1 0.3496
Epoch 24 	 train_loss 0.1013 	 val_acc 0.2047 	 macro_f1 0.3509
Epoch 25 	 train_loss 0.1013 	 val_acc 0.2054 	 macro_f1 0.3552
Epoch 26 	 train_loss 0.1011 	 val_acc 0.2043 	 macro_f1 0.3494
Epoch 27 	 train_loss 0.1010 	 val_acc 0.2056 	 macro_f1 0.3553
Epoch 28 	 train_loss 0.1009 	 val_acc 0.2062 	 macro_f1 0.3538
Epoch 29 	 train_loss 0.1009 	 val_acc 0.2058 	 macro_f1 0.3547
Epoch 30 	 train_loss 0.1008 	 val_acc 0.2077 	 macro_f1 0.3564
Epoch 31 	 train_loss 0.1006 	 val_acc 0.2077 	 macro_f1 0.3579
Epoch 32 	 train_loss 0.1006 	 val_acc 0.2079 	 macro_f1 0.3546
Epoch 33 	 train_loss 0.1005 	 val_acc 0.2071 	 macro_f1 0.3565
Epoch 34 	 train_loss 0.1004 	 val_acc 0.2088 	 macro_f1 0.3612
Epoch 35 	 train_loss 0.1003 	 val_acc 0.2079 	 macro_f1 0.3569
Epoch 36 	 train_loss 0.1003 	 val_acc 0.2085 	 macro_f1 0.3590
Epoch 37 	 train_loss 0.1002 	 val_acc 0.2096 	 macro_f1 0.3604
Epoch 38 	 train_loss 0.1002 	 val_acc 0.2091 	 macro_f1 0.3607
Epoch 39 	 train_loss 0.1001 	 val_acc 0.2089 	 macro_f1 0.3602
Epoch 40 	 train_loss 0.1001 	 val_acc 0.2092 	 macro_f1 0.3622
Epoch 41 	 train_loss 0.1000 	 val_acc 0.2099 	 macro_f1 0.3621
Epoch 42 	 train_loss 0.1001 	 val_acc 0.2093 	 macro_f1 0.3611
Epoch 43 	 train_loss 0.1000 	 val_acc 0.2096 	 macro_f1 0.3612
Epoch 44 	 train_loss 0.1000 	 val_acc 0.2098 	 macro_f1 0.3626
Epoch 45 	 train_loss 0.1000 	 val_acc 0.2095 	 macro_f1 0.3616
Epoch 46 	 train_loss 0.0999 	 val_acc 0.2096 	 macro_f1 0.3618
Epoch 47 	 train_loss 0.1000 	 val_acc 0.2098 	 macro_f1 0.3620
Epoch 48 	 train_loss 0.0999 	 val_acc 0.2097 	 macro_f1 0.3621
Epoch 49 	 train_loss 0.0999 	 val_acc 0.2097 	 macro_f1 0.3621
Epoch 50 	 train_loss 0.1000 	 val_acc 0.2097 	 macro_f1 0.3621
Epoch 51 	 train_loss 0.0999 	 val_acc 0.2098 	 macro_f1 0.3623
======
Best epoch 51 	 val_acc 0.2099 	 macro_f1 0.3621
