Epoch 00 	 train_loss 0.1421 	 val_acc 0.1425 	 macro_f1 0.2184
Epoch 01 	 train_loss 0.1016 	 val_acc 0.1769 	 macro_f1 0.2824
Epoch 02 	 train_loss 0.0982 	 val_acc 0.1846 	 macro_f1 0.3019
Epoch 03 	 train_loss 0.0967 	 val_acc 0.1928 	 macro_f1 0.3181
Epoch 04 	 train_loss 0.0957 	 val_acc 0.1971 	 macro_f1 0.3300
Epoch 05 	 train_loss 0.0950 	 val_acc 0.2004 	 macro_f1 0.3385
Epoch 06 	 train_loss 0.0945 	 val_acc 0.2027 	 macro_f1 0.3437
Epoch 07 	 train_loss 0.0941 	 val_acc 0.2032 	 macro_f1 0.3480
Epoch 08 	 train_loss 0.0937 	 val_acc 0.2055 	 macro_f1 0.3500
Epoch 09 	 train_loss 0.0934 	 val_acc 0.2066 	 macro_f1 0.3528
Epoch 10 	 train_loss 0.0931 	 val_acc 0.2064 	 macro_f1 0.3517
Epoch 11 	 train_loss 0.0929 	 val_acc 0.2086 	 macro_f1 0.3585
Epoch 12 	 train_loss 0.0927 	 val_acc 0.2105 	 macro_f1 0.3585
Epoch 13 	 train_loss 0.0924 	 val_acc 0.2116 	 macro_f1 0.3604
Epoch 14 	 train_loss 0.0923 	 val_acc 0.2110 	 macro_f1 0.3618
Epoch 15 	 train_loss 0.0921 	 val_acc 0.2110 	 macro_f1 0.3605
Epoch 16 	 train_loss 0.0920 	 val_acc 0.2123 	 macro_f1 0.3623
Epoch 17 	 train_loss 0.0918 	 val_acc 0.2127 	 macro_f1 0.3665
Epoch 18 	 train_loss 0.0917 	 val_acc 0.2104 	 macro_f1 0.3610
Epoch 19 	 train_loss 0.0915 	 val_acc 0.2142 	 macro_f1 0.3684
Epoch 20 	 train_loss 0.0914 	 val_acc 0.2124 	 macro_f1 0.3654
Epoch 21 	 train_loss 0.0913 	 val_acc 0.2129 	 macro_f1 0.3664
Epoch 22 	 train_loss 0.0912 	 val_acc 0.2138 	 macro_f1 0.3704
Epoch 23 	 train_loss 0.0911 	 val_acc 0.2131 	 macro_f1 0.3698
Epoch 24 	 train_loss 0.0910 	 val_acc 0.2145 	 macro_f1 0.3697
Epoch 25 	 train_loss 0.0909 	 val_acc 0.2151 	 macro_f1 0.3679
Epoch 26 	 train_loss 0.0908 	 val_acc 0.2161 	 macro_f1 0.3739
Epoch 27 	 train_loss 0.0907 	 val_acc 0.2142 	 macro_f1 0.3691
Epoch 28 	 train_loss 0.0906 	 val_acc 0.2145 	 macro_f1 0.3712
Epoch 29 	 train_loss 0.0905 	 val_acc 0.2169 	 macro_f1 0.3740
Epoch 30 	 train_loss 0.0905 	 val_acc 0.2177 	 macro_f1 0.3741
Epoch 31 	 train_loss 0.0904 	 val_acc 0.2161 	 macro_f1 0.3735
Epoch 32 	 train_loss 0.0903 	 val_acc 0.2154 	 macro_f1 0.3722
Epoch 33 	 train_loss 0.0903 	 val_acc 0.2169 	 macro_f1 0.3749
Epoch 34 	 train_loss 0.0902 	 val_acc 0.2167 	 macro_f1 0.3744
Epoch 35 	 train_loss 0.0901 	 val_acc 0.2173 	 macro_f1 0.3744
Epoch 36 	 train_loss 0.0901 	 val_acc 0.2182 	 macro_f1 0.3759
Epoch 37 	 train_loss 0.0900 	 val_acc 0.2174 	 macro_f1 0.3760
Epoch 38 	 train_loss 0.0900 	 val_acc 0.2182 	 macro_f1 0.3761
Epoch 39 	 train_loss 0.0899 	 val_acc 0.2183 	 macro_f1 0.3745
Epoch 40 	 train_loss 0.0899 	 val_acc 0.2175 	 macro_f1 0.3741
Epoch 41 	 train_loss 0.0899 	 val_acc 0.2179 	 macro_f1 0.3762
Epoch 42 	 train_loss 0.0899 	 val_acc 0.2181 	 macro_f1 0.3764
Epoch 43 	 train_loss 0.0898 	 val_acc 0.2180 	 macro_f1 0.3762
Epoch 44 	 train_loss 0.0898 	 val_acc 0.2175 	 macro_f1 0.3761
Epoch 45 	 train_loss 0.0898 	 val_acc 0.2181 	 macro_f1 0.3760
Epoch 46 	 train_loss 0.0897 	 val_acc 0.2182 	 macro_f1 0.3762
Epoch 47 	 train_loss 0.0898 	 val_acc 0.2183 	 macro_f1 0.3761
Epoch 48 	 train_loss 0.0898 	 val_acc 0.2182 	 macro_f1 0.3761
Epoch 49 	 train_loss 0.0897 	 val_acc 0.2182 	 macro_f1 0.3760
======
Best epoch 49 	 val_acc 0.2183 	 macro_f1 0.3745
