Epoch 00 	 train_loss 0.1517 	 val_acc 0.1291 	 macro_f1 0.1927
Epoch 01 	 train_loss 0.1115 	 val_acc 0.1655 	 macro_f1 0.2587
Epoch 02 	 train_loss 0.1082 	 val_acc 0.1757 	 macro_f1 0.2823
Epoch 03 	 train_loss 0.1067 	 val_acc 0.1809 	 macro_f1 0.2954
Epoch 04 	 train_loss 0.1057 	 val_acc 0.1868 	 macro_f1 0.3064
Epoch 05 	 train_loss 0.1052 	 val_acc 0.1908 	 macro_f1 0.3164
Epoch 06 	 train_loss 0.1048 	 val_acc 0.1901 	 macro_f1 0.3180
Epoch 07 	 train_loss 0.1043 	 val_acc 0.1941 	 macro_f1 0.3250
Epoch 08 	 train_loss 0.1040 	 val_acc 0.1935 	 macro_f1 0.3237
Epoch 09 	 train_loss 0.1037 	 val_acc 0.1970 	 macro_f1 0.3308
Epoch 10 	 train_loss 0.1034 	 val_acc 0.1968 	 macro_f1 0.3331
Epoch 11 	 train_loss 0.1033 	 val_acc 0.1998 	 macro_f1 0.3383
Epoch 12 	 train_loss 0.1030 	 val_acc 0.2006 	 macro_f1 0.3401
Epoch 13 	 train_loss 0.1029 	 val_acc 0.1993 	 macro_f1 0.3368
Epoch 14 	 train_loss 0.1026 	 val_acc 0.1993 	 macro_f1 0.3386
Epoch 15 	 train_loss 0.1025 	 val_acc 0.1996 	 macro_f1 0.3407
Epoch 16 	 train_loss 0.1024 	 val_acc 0.2003 	 macro_f1 0.3424
Epoch 17 	 train_loss 0.1022 	 val_acc 0.2008 	 macro_f1 0.3401
Epoch 18 	 train_loss 0.1021 	 val_acc 0.2038 	 macro_f1 0.3458
Epoch 19 	 train_loss 0.1018 	 val_acc 0.2051 	 macro_f1 0.3476
Epoch 20 	 train_loss 0.1018 	 val_acc 0.2041 	 macro_f1 0.3496
Epoch 21 	 train_loss 0.1017 	 val_acc 0.2045 	 macro_f1 0.3480
Epoch 22 	 train_loss 0.1015 	 val_acc 0.2047 	 macro_f1 0.3487
Epoch 23 	 train_loss 0.1015 	 val_acc 0.2056 	 macro_f1 0.3524
Epoch 24 	 train_loss 0.1014 	 val_acc 0.2062 	 macro_f1 0.3554
Epoch 25 	 train_loss 0.1012 	 val_acc 0.2064 	 macro_f1 0.3534
Epoch 26 	 train_loss 0.1012 	 val_acc 0.2059 	 macro_f1 0.3537
Epoch 27 	 train_loss 0.1010 	 val_acc 0.2035 	 macro_f1 0.3485
Epoch 28 	 train_loss 0.1009 	 val_acc 0.2061 	 macro_f1 0.3537
Epoch 29 	 train_loss 0.1009 	 val_acc 0.2055 	 macro_f1 0.3537
Epoch 30 	 train_loss 0.1008 	 val_acc 0.2049 	 macro_f1 0.3543
Epoch 31 	 train_loss 0.1007 	 val_acc 0.2075 	 macro_f1 0.3570
Epoch 32 	 train_loss 0.1007 	 val_acc 0.2059 	 macro_f1 0.3550
Epoch 33 	 train_loss 0.1006 	 val_acc 0.2079 	 macro_f1 0.3583
Epoch 34 	 train_loss 0.1006 	 val_acc 0.2072 	 macro_f1 0.3564
Epoch 35 	 train_loss 0.1005 	 val_acc 0.2078 	 macro_f1 0.3567
Epoch 36 	 train_loss 0.1004 	 val_acc 0.2079 	 macro_f1 0.3573
Epoch 37 	 train_loss 0.1004 	 val_acc 0.2080 	 macro_f1 0.3597
Epoch 38 	 train_loss 0.1003 	 val_acc 0.2090 	 macro_f1 0.3591
