Epoch 00 	 train_loss 0.1408 	 val_acc 0.1920 	 macro_f1 0.2995
Epoch 01 	 train_loss 0.1006 	 val_acc 0.2449 	 macro_f1 0.4040
Epoch 02 	 train_loss 0.0967 	 val_acc 0.2616 	 macro_f1 0.4380
Epoch 03 	 train_loss 0.0949 	 val_acc 0.2721 	 macro_f1 0.4578
Epoch 04 	 train_loss 0.0939 	 val_acc 0.2787 	 macro_f1 0.4693
Epoch 05 	 train_loss 0.0931 	 val_acc 0.2822 	 macro_f1 0.4771
Epoch 06 	 train_loss 0.0926 	 val_acc 0.2867 	 macro_f1 0.4825
Epoch 07 	 train_loss 0.0921 	 val_acc 0.2909 	 macro_f1 0.4893
Epoch 08 	 train_loss 0.0917 	 val_acc 0.2938 	 macro_f1 0.4917
Epoch 09 	 train_loss 0.0914 	 val_acc 0.2943 	 macro_f1 0.4926
Epoch 10 	 train_loss 0.0911 	 val_acc 0.2987 	 macro_f1 0.5011
Epoch 11 	 train_loss 0.0909 	 val_acc 0.2980 	 macro_f1 0.4970
Epoch 12 	 train_loss 0.0906 	 val_acc 0.3013 	 macro_f1 0.5031
Epoch 13 	 train_loss 0.0904 	 val_acc 0.3014 	 macro_f1 0.5041
Epoch 14 	 train_loss 0.0903 	 val_acc 0.3007 	 macro_f1 0.5052
Epoch 15 	 train_loss 0.0902 	 val_acc 0.3018 	 macro_f1 0.5054
Epoch 16 	 train_loss 0.0902 	 val_acc 0.3029 	 macro_f1 0.5069
Epoch 17 	 train_loss 0.0900 	 val_acc 0.3031 	 macro_f1 0.5105
Epoch 18 	 train_loss 0.0898 	 val_acc 0.3038 	 macro_f1 0.5107
Epoch 19 	 train_loss 0.0897 	 val_acc 0.3033 	 macro_f1 0.5057
Epoch 20 	 train_loss 0.0896 	 val_acc 0.3038 	 macro_f1 0.5122
Epoch 21 	 train_loss 0.0895 	 val_acc 0.3067 	 macro_f1 0.5103
Epoch 22 	 train_loss 0.0894 	 val_acc 0.3067 	 macro_f1 0.5119
Epoch 23 	 train_loss 0.0893 	 val_acc 0.3089 	 macro_f1 0.5155
Epoch 24 	 train_loss 0.0891 	 val_acc 0.3076 	 macro_f1 0.5143
Epoch 25 	 train_loss 0.0890 	 val_acc 0.3069 	 macro_f1 0.5150
Epoch 26 	 train_loss 0.0890 	 val_acc 0.3079 	 macro_f1 0.5147
Epoch 27 	 train_loss 0.0888 	 val_acc 0.3103 	 macro_f1 0.5191
Epoch 28 	 train_loss 0.0888 	 val_acc 0.3096 	 macro_f1 0.5179
Epoch 29 	 train_loss 0.0888 	 val_acc 0.3094 	 macro_f1 0.5159
Epoch 30 	 train_loss 0.0887 	 val_acc 0.3092 	 macro_f1 0.5167
Epoch 31 	 train_loss 0.0886 	 val_acc 0.3097 	 macro_f1 0.5158
Epoch 32 	 train_loss 0.0885 	 val_acc 0.3105 	 macro_f1 0.5188
Epoch 33 	 train_loss 0.0885 	 val_acc 0.3117 	 macro_f1 0.5208
Epoch 34 	 train_loss 0.0884 	 val_acc 0.3115 	 macro_f1 0.5203
Epoch 35 	 train_loss 0.0884 	 val_acc 0.3099 	 macro_f1 0.5183
Epoch 36 	 train_loss 0.0883 	 val_acc 0.3110 	 macro_f1 0.5182
