Epoch 00 	 train_loss 0.1326 	 val_acc 0.2072 	 macro_f1 0.3263
Epoch 01 	 train_loss 0.0891 	 val_acc 0.2557 	 macro_f1 0.4282
Epoch 02 	 train_loss 0.0849 	 val_acc 0.2731 	 macro_f1 0.4631
Epoch 03 	 train_loss 0.0829 	 val_acc 0.2850 	 macro_f1 0.4812
Epoch 04 	 train_loss 0.0816 	 val_acc 0.2937 	 macro_f1 0.4955
Epoch 05 	 train_loss 0.0807 	 val_acc 0.3013 	 macro_f1 0.5072
Epoch 06 	 train_loss 0.0800 	 val_acc 0.3042 	 macro_f1 0.5111
Epoch 07 	 train_loss 0.0795 	 val_acc 0.3081 	 macro_f1 0.5170
Epoch 08 	 train_loss 0.0790 	 val_acc 0.3067 	 macro_f1 0.5177
Epoch 09 	 train_loss 0.0786 	 val_acc 0.3088 	 macro_f1 0.5161
Epoch 10 	 train_loss 0.0783 	 val_acc 0.3136 	 macro_f1 0.5263
Epoch 11 	 train_loss 0.0781 	 val_acc 0.3120 	 macro_f1 0.5229
Epoch 12 	 train_loss 0.0778 	 val_acc 0.3147 	 macro_f1 0.5278
Epoch 13 	 train_loss 0.0776 	 val_acc 0.3168 	 macro_f1 0.5291
Epoch 14 	 train_loss 0.0774 	 val_acc 0.3176 	 macro_f1 0.5343
Epoch 15 	 train_loss 0.0773 	 val_acc 0.3201 	 macro_f1 0.5352
Epoch 16 	 train_loss 0.0771 	 val_acc 0.3183 	 macro_f1 0.5310
Epoch 17 	 train_loss 0.0770 	 val_acc 0.3182 	 macro_f1 0.5330
Epoch 18 	 train_loss 0.0768 	 val_acc 0.3190 	 macro_f1 0.5342
Epoch 19 	 train_loss 0.0767 	 val_acc 0.3196 	 macro_f1 0.5338
Epoch 20 	 train_loss 0.0766 	 val_acc 0.3197 	 macro_f1 0.5342
Epoch 21 	 train_loss 0.0765 	 val_acc 0.3182 	 macro_f1 0.5324
Epoch 22 	 train_loss 0.0764 	 val_acc 0.3218 	 macro_f1 0.5392
Epoch 23 	 train_loss 0.0762 	 val_acc 0.3212 	 macro_f1 0.5385
Epoch 24 	 train_loss 0.0761 	 val_acc 0.3207 	 macro_f1 0.5372
Epoch 25 	 train_loss 0.0761 	 val_acc 0.3209 	 macro_f1 0.5371
Epoch 26 	 train_loss 0.0759 	 val_acc 0.3214 	 macro_f1 0.5381
Epoch 27 	 train_loss 0.0758 	 val_acc 0.3219 	 macro_f1 0.5387
Epoch 28 	 train_loss 0.0758 	 val_acc 0.3227 	 macro_f1 0.5397
Epoch 29 	 train_loss 0.0756 	 val_acc 0.3226 	 macro_f1 0.5376
Epoch 30 	 train_loss 0.0757 	 val_acc 0.3234 	 macro_f1 0.5390
Epoch 31 	 train_loss 0.0756 	 val_acc 0.3236 	 macro_f1 0.5408
Epoch 32 	 train_loss 0.0755 	 val_acc 0.3231 	 macro_f1 0.5418
Epoch 33 	 train_loss 0.0754 	 val_acc 0.3230 	 macro_f1 0.5397
Epoch 34 	 train_loss 0.0754 	 val_acc 0.3230 	 macro_f1 0.5407
Epoch 35 	 train_loss 0.0753 	 val_acc 0.3235 	 macro_f1 0.5413
Epoch 36 	 train_loss 0.0753 	 val_acc 0.3233 	 macro_f1 0.5413
Epoch 37 	 train_loss 0.0752 	 val_acc 0.3236 	 macro_f1 0.5414
Epoch 38 	 train_loss 0.0751 	 val_acc 0.3239 	 macro_f1 0.5408
Epoch 39 	 train_loss 0.0751 	 val_acc 0.3246 	 macro_f1 0.5420
Epoch 40 	 train_loss 0.0751 	 val_acc 0.3242 	 macro_f1 0.5419
Epoch 41 	 train_loss 0.0751 	 val_acc 0.3246 	 macro_f1 0.5428
Epoch 42 	 train_loss 0.0751 	 val_acc 0.3246 	 macro_f1 0.5427
Epoch 43 	 train_loss 0.0750 	 val_acc 0.3247 	 macro_f1 0.5423
Epoch 44 	 train_loss 0.0750 	 val_acc 0.3246 	 macro_f1 0.5417
Epoch 45 	 train_loss 0.0750 	 val_acc 0.3248 	 macro_f1 0.5426
Epoch 46 	 train_loss 0.0750 	 val_acc 0.3249 	 macro_f1 0.5425
Epoch 47 	 train_loss 0.0749 	 val_acc 0.3247 	 macro_f1 0.5423
Epoch 48 	 train_loss 0.0749 	 val_acc 0.3247 	 macro_f1 0.5423
Epoch 49 	 train_loss 0.0750 	 val_acc 0.3248 	 macro_f1 0.5424
Epoch 50 	 train_loss 0.0749 	 val_acc 0.3248 	 macro_f1 0.5424
Epoch 51 	 train_loss 0.0750 	 val_acc 0.3248 	 macro_f1 0.5423
Epoch 52 	 train_loss 0.0749 	 val_acc 0.3248 	 macro_f1 0.5426
Epoch 53 	 train_loss 0.0750 	 val_acc 0.3247 	 macro_f1 0.5424
Epoch 54 	 train_loss 0.0750 	 val_acc 0.3248 	 macro_f1 0.5423
Epoch 55 	 train_loss 0.0750 	 val_acc 0.3248 	 macro_f1 0.5421
Epoch 56 	 train_loss 0.0750 	 val_acc 0.3245 	 macro_f1 0.5415
======
Best epoch 56 	 val_acc 0.3249 	 macro_f1 0.5425
