Epoch 00 	 train_loss 0.1437 	 val_acc 0.1482 	 macro_f1 0.2292
Epoch 01 	 train_loss 0.1016 	 val_acc 0.1753 	 macro_f1 0.2791
Epoch 02 	 train_loss 0.0984 	 val_acc 0.1856 	 macro_f1 0.3058
Epoch 03 	 train_loss 0.0968 	 val_acc 0.1895 	 macro_f1 0.3152
Epoch 04 	 train_loss 0.0959 	 val_acc 0.1940 	 macro_f1 0.3292
Epoch 05 	 train_loss 0.0951 	 val_acc 0.1992 	 macro_f1 0.3356
Epoch 06 	 train_loss 0.0946 	 val_acc 0.1985 	 macro_f1 0.3380
Epoch 07 	 train_loss 0.0942 	 val_acc 0.2021 	 macro_f1 0.3430
Epoch 08 	 train_loss 0.0938 	 val_acc 0.2042 	 macro_f1 0.3492
Epoch 09 	 train_loss 0.0935 	 val_acc 0.2070 	 macro_f1 0.3532
Epoch 10 	 train_loss 0.0932 	 val_acc 0.2056 	 macro_f1 0.3533
Epoch 11 	 train_loss 0.0930 	 val_acc 0.2056 	 macro_f1 0.3525
Epoch 12 	 train_loss 0.0928 	 val_acc 0.2078 	 macro_f1 0.3531
Epoch 13 	 train_loss 0.0926 	 val_acc 0.2075 	 macro_f1 0.3554
Epoch 14 	 train_loss 0.0925 	 val_acc 0.2099 	 macro_f1 0.3583
Epoch 15 	 train_loss 0.0922 	 val_acc 0.2111 	 macro_f1 0.3626
Epoch 16 	 train_loss 0.0921 	 val_acc 0.2107 	 macro_f1 0.3603
Epoch 17 	 train_loss 0.0920 	 val_acc 0.2112 	 macro_f1 0.3624
Epoch 18 	 train_loss 0.0918 	 val_acc 0.2126 	 macro_f1 0.3639
Epoch 19 	 train_loss 0.0917 	 val_acc 0.2106 	 macro_f1 0.3609
Epoch 20 	 train_loss 0.0916 	 val_acc 0.2144 	 macro_f1 0.3677
Epoch 21 	 train_loss 0.0915 	 val_acc 0.2134 	 macro_f1 0.3667
Epoch 22 	 train_loss 0.0913 	 val_acc 0.2127 	 macro_f1 0.3667
Epoch 23 	 train_loss 0.0912 	 val_acc 0.2136 	 macro_f1 0.3696
Epoch 24 	 train_loss 0.0910 	 val_acc 0.2155 	 macro_f1 0.3707
Epoch 25 	 train_loss 0.0909 	 val_acc 0.2146 	 macro_f1 0.3704
Epoch 26 	 train_loss 0.0908 	 val_acc 0.2152 	 macro_f1 0.3705
Epoch 27 	 train_loss 0.0907 	 val_acc 0.2159 	 macro_f1 0.3696
Epoch 28 	 train_loss 0.0906 	 val_acc 0.2163 	 macro_f1 0.3737
Epoch 29 	 train_loss 0.0905 	 val_acc 0.2168 	 macro_f1 0.3753
Epoch 30 	 train_loss 0.0904 	 val_acc 0.2172 	 macro_f1 0.3743
Epoch 31 	 train_loss 0.0903 	 val_acc 0.2164 	 macro_f1 0.3716
Epoch 32 	 train_loss 0.0902 	 val_acc 0.2162 	 macro_f1 0.3720
Epoch 33 	 train_loss 0.0902 	 val_acc 0.2170 	 macro_f1 0.3735
Epoch 34 	 train_loss 0.0901 	 val_acc 0.2182 	 macro_f1 0.3757
Epoch 35 	 train_loss 0.0900 	 val_acc 0.2177 	 macro_f1 0.3753
Epoch 36 	 train_loss 0.0900 	 val_acc 0.2177 	 macro_f1 0.3750
Epoch 37 	 train_loss 0.0899 	 val_acc 0.2172 	 macro_f1 0.3739
Epoch 38 	 train_loss 0.0899 	 val_acc 0.2181 	 macro_f1 0.3770
Epoch 39 	 train_loss 0.0898 	 val_acc 0.2181 	 macro_f1 0.3756
Epoch 40 	 train_loss 0.0898 	 val_acc 0.2187 	 macro_f1 0.3767
Epoch 41 	 train_loss 0.0898 	 val_acc 0.2180 	 macro_f1 0.3765
Epoch 42 	 train_loss 0.0898 	 val_acc 0.2185 	 macro_f1 0.3770
Epoch 43 	 train_loss 0.0897 	 val_acc 0.2182 	 macro_f1 0.3760
Epoch 44 	 train_loss 0.0897 	 val_acc 0.2183 	 macro_f1 0.3759
Epoch 45 	 train_loss 0.0897 	 val_acc 0.2186 	 macro_f1 0.3768
Epoch 46 	 train_loss 0.0897 	 val_acc 0.2185 	 macro_f1 0.3770
Epoch 47 	 train_loss 0.0896 	 val_acc 0.2185 	 macro_f1 0.3768
Epoch 48 	 train_loss 0.0897 	 val_acc 0.2185 	 macro_f1 0.3768
Epoch 49 	 train_loss 0.0896 	 val_acc 0.2185 	 macro_f1 0.3768
Epoch 50 	 train_loss 0.0896 	 val_acc 0.2185 	 macro_f1 0.3768
======
Best epoch 50 	 val_acc 0.2187 	 macro_f1 0.3767
