Epoch 00 	 train_loss 0.1460 	 val_acc 0.1855 	 macro_f1 0.3081
Epoch 01 	 train_loss 0.0989 	 val_acc 0.2288 	 macro_f1 0.3951
Epoch 02 	 train_loss 0.0950 	 val_acc 0.2425 	 macro_f1 0.4217
Epoch 03 	 train_loss 0.0933 	 val_acc 0.2511 	 macro_f1 0.4381
Epoch 04 	 train_loss 0.0922 	 val_acc 0.2567 	 macro_f1 0.4461
Epoch 05 	 train_loss 0.0914 	 val_acc 0.2608 	 macro_f1 0.4556
Epoch 06 	 train_loss 0.0907 	 val_acc 0.2651 	 macro_f1 0.4626
Epoch 07 	 train_loss 0.0903 	 val_acc 0.2684 	 macro_f1 0.4653
Epoch 08 	 train_loss 0.0899 	 val_acc 0.2677 	 macro_f1 0.4663
Epoch 09 	 train_loss 0.0895 	 val_acc 0.2711 	 macro_f1 0.4707
Epoch 10 	 train_loss 0.0892 	 val_acc 0.2732 	 macro_f1 0.4735
Epoch 11 	 train_loss 0.0890 	 val_acc 0.2731 	 macro_f1 0.4734
Epoch 12 	 train_loss 0.0887 	 val_acc 0.2740 	 macro_f1 0.4759
Epoch 13 	 train_loss 0.0884 	 val_acc 0.2756 	 macro_f1 0.4799
Epoch 14 	 train_loss 0.0882 	 val_acc 0.2771 	 macro_f1 0.4792
Epoch 15 	 train_loss 0.0880 	 val_acc 0.2778 	 macro_f1 0.4828
Epoch 16 	 train_loss 0.0878 	 val_acc 0.2782 	 macro_f1 0.4830
Epoch 17 	 train_loss 0.0877 	 val_acc 0.2796 	 macro_f1 0.4835
Epoch 18 	 train_loss 0.0875 	 val_acc 0.2794 	 macro_f1 0.4835
Epoch 19 	 train_loss 0.0874 	 val_acc 0.2792 	 macro_f1 0.4829
Epoch 20 	 train_loss 0.0873 	 val_acc 0.2818 	 macro_f1 0.4875
Epoch 21 	 train_loss 0.0871 	 val_acc 0.2810 	 macro_f1 0.4870
Epoch 22 	 train_loss 0.0870 	 val_acc 0.2831 	 macro_f1 0.4889
Epoch 23 	 train_loss 0.0869 	 val_acc 0.2820 	 macro_f1 0.4891
Epoch 24 	 train_loss 0.0868 	 val_acc 0.2829 	 macro_f1 0.4903
Epoch 25 	 train_loss 0.0867 	 val_acc 0.2825 	 macro_f1 0.4895
Epoch 26 	 train_loss 0.0866 	 val_acc 0.2832 	 macro_f1 0.4900
Epoch 27 	 train_loss 0.0865 	 val_acc 0.2844 	 macro_f1 0.4909
Epoch 28 	 train_loss 0.0864 	 val_acc 0.2854 	 macro_f1 0.4920
Epoch 29 	 train_loss 0.0863 	 val_acc 0.2852 	 macro_f1 0.4919
Epoch 30 	 train_loss 0.0863 	 val_acc 0.2851 	 macro_f1 0.4914
Epoch 31 	 train_loss 0.0862 	 val_acc 0.2848 	 macro_f1 0.4906
Epoch 32 	 train_loss 0.0861 	 val_acc 0.2854 	 macro_f1 0.4920
Epoch 33 	 train_loss 0.0860 	 val_acc 0.2861 	 macro_f1 0.4930
Epoch 34 	 train_loss 0.0860 	 val_acc 0.2858 	 macro_f1 0.4924
Epoch 35 	 train_loss 0.0860 	 val_acc 0.2861 	 macro_f1 0.4928
Epoch 36 	 train_loss 0.0859 	 val_acc 0.2864 	 macro_f1 0.4922
Epoch 37 	 train_loss 0.0858 	 val_acc 0.2862 	 macro_f1 0.4936
Epoch 38 	 train_loss 0.0857 	 val_acc 0.2868 	 macro_f1 0.4942
Epoch 39 	 train_loss 0.0857 	 val_acc 0.2870 	 macro_f1 0.4939
Epoch 40 	 train_loss 0.0857 	 val_acc 0.2870 	 macro_f1 0.4935
Epoch 41 	 train_loss 0.0857 	 val_acc 0.2861 	 macro_f1 0.4931
Epoch 42 	 train_loss 0.0856 	 val_acc 0.2871 	 macro_f1 0.4941
Epoch 43 	 train_loss 0.0856 	 val_acc 0.2869 	 macro_f1 0.4935
Epoch 44 	 train_loss 0.0856 	 val_acc 0.2869 	 macro_f1 0.4936
Epoch 45 	 train_loss 0.0856 	 val_acc 0.2870 	 macro_f1 0.4939
Epoch 46 	 train_loss 0.0856 	 val_acc 0.2869 	 macro_f1 0.4941
Epoch 47 	 train_loss 0.0856 	 val_acc 0.2869 	 macro_f1 0.4941
Epoch 48 	 train_loss 0.0855 	 val_acc 0.2870 	 macro_f1 0.4943
Epoch 49 	 train_loss 0.0855 	 val_acc 0.2870 	 macro_f1 0.4943
Epoch 50 	 train_loss 0.0856 	 val_acc 0.2870 	 macro_f1 0.4943
Epoch 51 	 train_loss 0.0855 	 val_acc 0.2870 	 macro_f1 0.4942
Epoch 52 	 train_loss 0.0855 	 val_acc 0.2870 	 macro_f1 0.4943
======
Best epoch 52 	 val_acc 0.2871 	 macro_f1 0.4941
