Epoch 00 	 train_loss 0.1526 	 val_acc 0.1726 	 macro_f1 0.2849
Epoch 01 	 train_loss 0.1084 	 val_acc 0.2174 	 macro_f1 0.3744
Epoch 02 	 train_loss 0.1047 	 val_acc 0.2319 	 macro_f1 0.4040
Epoch 03 	 train_loss 0.1031 	 val_acc 0.2391 	 macro_f1 0.4161
Epoch 04 	 train_loss 0.1021 	 val_acc 0.2473 	 macro_f1 0.4317
Epoch 05 	 train_loss 0.1014 	 val_acc 0.2519 	 macro_f1 0.4366
Epoch 06 	 train_loss 0.1009 	 val_acc 0.2564 	 macro_f1 0.4448
Epoch 07 	 train_loss 0.1005 	 val_acc 0.2580 	 macro_f1 0.4485
Epoch 08 	 train_loss 0.1001 	 val_acc 0.2600 	 macro_f1 0.4508
Epoch 09 	 train_loss 0.0998 	 val_acc 0.2630 	 macro_f1 0.4567
Epoch 10 	 train_loss 0.0996 	 val_acc 0.2624 	 macro_f1 0.4562
Epoch 11 	 train_loss 0.0994 	 val_acc 0.2641 	 macro_f1 0.4575
Epoch 12 	 train_loss 0.0991 	 val_acc 0.2657 	 macro_f1 0.4649
Epoch 13 	 train_loss 0.0990 	 val_acc 0.2655 	 macro_f1 0.4653
Epoch 14 	 train_loss 0.0989 	 val_acc 0.2678 	 macro_f1 0.4653
Epoch 15 	 train_loss 0.0988 	 val_acc 0.2694 	 macro_f1 0.4690
Epoch 16 	 train_loss 0.0986 	 val_acc 0.2676 	 macro_f1 0.4654
Epoch 17 	 train_loss 0.0985 	 val_acc 0.2680 	 macro_f1 0.4653
Epoch 18 	 train_loss 0.0984 	 val_acc 0.2710 	 macro_f1 0.4701
Epoch 19 	 train_loss 0.0982 	 val_acc 0.2711 	 macro_f1 0.4716
Epoch 20 	 train_loss 0.0981 	 val_acc 0.2710 	 macro_f1 0.4707
Epoch 21 	 train_loss 0.0980 	 val_acc 0.2732 	 macro_f1 0.4754
Epoch 22 	 train_loss 0.0978 	 val_acc 0.2723 	 macro_f1 0.4728
Epoch 23 	 train_loss 0.0978 	 val_acc 0.2758 	 macro_f1 0.4776
Epoch 24 	 train_loss 0.0977 	 val_acc 0.2742 	 macro_f1 0.4754
Epoch 25 	 train_loss 0.0976 	 val_acc 0.2744 	 macro_f1 0.4772
Epoch 26 	 train_loss 0.0975 	 val_acc 0.2747 	 macro_f1 0.4798
Epoch 27 	 train_loss 0.0975 	 val_acc 0.2737 	 macro_f1 0.4755
Epoch 28 	 train_loss 0.0974 	 val_acc 0.2750 	 macro_f1 0.4776
Epoch 29 	 train_loss 0.0973 	 val_acc 0.2754 	 macro_f1 0.4772
Epoch 30 	 train_loss 0.0972 	 val_acc 0.2762 	 macro_f1 0.4796
Epoch 31 	 train_loss 0.0972 	 val_acc 0.2763 	 macro_f1 0.4790
Epoch 32 	 train_loss 0.0971 	 val_acc 0.2765 	 macro_f1 0.4806
Epoch 33 	 train_loss 0.0970 	 val_acc 0.2775 	 macro_f1 0.4812
Epoch 34 	 train_loss 0.0970 	 val_acc 0.2776 	 macro_f1 0.4807
Epoch 35 	 train_loss 0.0969 	 val_acc 0.2777 	 macro_f1 0.4814
Epoch 36 	 train_loss 0.0969 	 val_acc 0.2782 	 macro_f1 0.4815
Epoch 37 	 train_loss 0.0968 	 val_acc 0.2781 	 macro_f1 0.4828
Epoch 38 	 train_loss 0.0969 	 val_acc 0.2776 	 macro_f1 0.4819
Epoch 39 	 train_loss 0.0967 	 val_acc 0.2781 	 macro_f1 0.4820
Epoch 40 	 train_loss 0.0967 	 val_acc 0.2780 	 macro_f1 0.4828
Epoch 41 	 train_loss 0.0967 	 val_acc 0.2778 	 macro_f1 0.4817
Epoch 42 	 train_loss 0.0966 	 val_acc 0.2787 	 macro_f1 0.4832
Epoch 43 	 train_loss 0.0967 	 val_acc 0.2786 	 macro_f1 0.4827
Epoch 44 	 train_loss 0.0967 	 val_acc 0.2789 	 macro_f1 0.4832
Epoch 45 	 train_loss 0.0966 	 val_acc 0.2791 	 macro_f1 0.4836
Epoch 46 	 train_loss 0.0966 	 val_acc 0.2788 	 macro_f1 0.4835
Epoch 47 	 train_loss 0.0966 	 val_acc 0.2790 	 macro_f1 0.4835
Epoch 48 	 train_loss 0.0966 	 val_acc 0.2790 	 macro_f1 0.4834
Epoch 49 	 train_loss 0.0966 	 val_acc 0.2789 	 macro_f1 0.4833
Epoch 50 	 train_loss 0.0966 	 val_acc 0.2789 	 macro_f1 0.4833
Epoch 51 	 train_loss 0.0966 	 val_acc 0.2789 	 macro_f1 0.4832
Epoch 52 	 train_loss 0.0966 	 val_acc 0.2788 	 macro_f1 0.4831
Epoch 53 	 train_loss 0.0966 	 val_acc 0.2788 	 macro_f1 0.4830
Epoch 54 	 train_loss 0.0966 	 val_acc 0.2787 	 macro_f1 0.4832
Epoch 55 	 train_loss 0.0965 	 val_acc 0.2786 	 macro_f1 0.4829
======
Best epoch 55 	 val_acc 0.2791 	 macro_f1 0.4836
